;ENSCAFT00000005462_90_90;ENST00000341049_90_90;ENST00000393467_90_90;ENST00000393468_90_90;ENST00000393470_90_90;ENST00000405348_90_90;ENST00000451122_90_90;ENST00000456473_90_90;ENST00000614113_90_90;ENSMUST00000007799_90_90;ENSMUST00000115453_90_90;ENSMUST00000115454_90_90;ENSMUST00000115455_90_90;ENSMUST00000115456_90_90;ENSMUST00000123439_90_90;ENSMUST00000150901_90_90;ENSMUST00000177234_90_90
ENSCAFT00000005462_90_90;1.0;0.418;0.433;0.433;0.441;0.433;0.048;0.37;0.433;0.843;0.685;0.685;0.552;0.843;0.271;0.334;0.233
ENST00000341049_90_90;0.418;1.0;0.663;0.663;0.919;0.663;0.127;0.588;0.663;0.514;0.433;0.433;0.353;0.514;0.074;0.119;0.124
ENST00000393467_90_90;0.433;0.663;1.0;1.0;0.718;1.0;0.0;0.869;1.0;0.433;0.597;0.597;0.243;0.433;0.109;0.0;0.0
ENST00000393468_90_90;0.433;0.663;1.0;1.0;0.718;1.0;0.0;0.869;1.0;0.433;0.597;0.597;0.243;0.433;0.109;0.0;0.0
ENST00000393470_90_90;0.441;0.919;0.718;0.718;1.0;0.718;0.136;0.635;0.718;0.546;0.463;0.463;0.378;0.546;0.08;0.127;0.133
ENST00000405348_90_90;0.433;0.663;1.0;1.0;0.718;1.0;0.0;0.869;1.0;0.433;0.597;0.597;0.243;0.433;0.109;0.0;0.0
ENST00000451122_90_90;0.048;0.127;0.0;0.0;0.136;0.0;1.0;0.0;0.0;0.12;0.0;0.0;0.151;0.12;0.0;0.154;0.309
ENST00000456473_90_90;0.37;0.588;0.869;0.869;0.635;0.869;0.0;1.0;0.869;0.37;0.502;0.502;0.26;0.37;0.123;0.0;0.0
ENST00000614113_90_90;0.433;0.663;1.0;1.0;0.718;1.0;0.0;0.869;1.0;0.433;0.597;0.597;0.243;0.433;0.109;0.0;0.0
ENSMUST00000007799_90_90;0.843;0.514;0.433;0.433;0.546;0.433;0.12;0.37;0.433;1.0;0.685;0.685;0.688;1.0;0.271;0.45;0.332
ENSMUST00000115453_90_90;0.685;0.433;0.597;0.597;0.463;0.597;0.0;0.502;0.597;0.685;1.0;1.0;0.485;0.685;0.412;0.166;0.054
ENSMUST00000115454_90_90;0.685;0.433;0.597;0.597;0.463;0.597;0.0;0.502;0.597;0.685;1.0;1.0;0.485;0.685;0.412;0.166;0.054
ENSMUST00000115455_90_90;0.552;0.353;0.243;0.243;0.378;0.243;0.151;0.26;0.243;0.688;0.485;0.485;1.0;0.688;0.394;0.475;0.327
ENSMUST00000115456_90_90;0.843;0.514;0.433;0.433;0.546;0.433;0.12;0.37;0.433;1.0;0.685;0.685;0.688;1.0;0.271;0.45;0.332
ENSMUST00000123439_90_90;0.271;0.074;0.109;0.109;0.08;0.109;0.0;0.123;0.109;0.271;0.412;0.412;0.394;0.271;1.0;0.271;0.085
ENSMUST00000150901_90_90;0.334;0.119;0.0;0.0;0.127;0.0;0.154;0.0;0.0;0.45;0.166;0.166;0.475;0.45;0.271;1.0;0.49
ENSMUST00000177234_90_90;0.233;0.124;0.0;0.0;0.133;0.0;0.309;0.0;0.0;0.332;0.054;0.054;0.327;0.332;0.085;0.49;1.0
