;transcript7_ENSMSIG00000000513;transcript7_MGP-SPRETEiJ-G0021131;transcript7_ENSMUSG00000054036;transcript50_ENSMSIG00000000513;transcript50_MGP-CAROLIEiJ-G0020234;transcript50_MGP-PahariEiJ-G0020237;transcript55_ENSMSIG00000000513;transcript60_ENSMSIG00000000513;transcript60_MGP-CAROLIEiJ-G0020234;transcript64_ENSMSIG00000000513;transcript67_ENSMSIG00000000513;transcript59_MGP-SPRETEiJ-G0021131;transcript59_MGP-CAROLIEiJ-G0020234;transcript61_MGP-SPRETEiJ-G0021131;transcript61_MGP-CAROLIEiJ-G0020234;transcript62_MGP-SPRETEiJ-G0021131;transcript69_MGP-SPRETEiJ-G0021131;transcript70_MGP-SPRETEiJ-G0021131;transcript71_MGP-SPRETEiJ-G0021131;transcript72_MGP-SPRETEiJ-G0021131;transcript54_ENSMUSG00000054036;transcript57_MGP-PahariEiJ-G0020237
transcript7_ENSMSIG00000000513;1.0;0.997;0.996;0.806;0.802;0.805;0.837;0.794;0.794;0.798;0.835;0.758;0.758;0.755;0.755;0.763;0.755;0.712;0.747;0.781;0.78;0.718
transcript7_MGP-SPRETEiJ-G0021131;0.997;1.0;0.993;0.796;0.793;0.797;0.838;0.805;0.805;0.809;0.825;0.76;0.756;0.757;0.753;0.765;0.757;0.714;0.749;0.783;0.776;0.711
transcript7_ENSMUSG00000054036;0.996;0.993;1.0;0.808;0.805;0.809;0.851;0.794;0.794;0.824;0.837;0.813;0.813;0.81;0.81;0.841;0.833;0.785;0.824;0.846;0.786;0.746
transcript50_ENSMSIG00000000513;0.806;0.796;0.808;1.0;0.995;1.0;0.97;0.892;0.869;0.909;0.969;0.746;0.748;0.744;0.745;0.765;0.758;0.718;0.772;0.743;0.787;0.84
transcript50_MGP-CAROLIEiJ-G0020234;0.802;0.793;0.805;0.995;1.0;0.995;0.965;0.888;0.874;0.904;0.963;0.751;0.759;0.749;0.757;0.769;0.762;0.722;0.777;0.747;0.792;0.844
transcript50_MGP-PahariEiJ-G0020237;0.805;0.797;0.809;1.0;0.995;1.0;0.97;0.892;0.869;0.909;0.968;0.764;0.765;0.761;0.763;0.782;0.775;0.734;0.79;0.76;0.805;0.858
transcript55_ENSMSIG00000000513;0.837;0.838;0.851;0.97;0.965;0.97;1.0;0.865;0.854;0.94;0.998;0.735;0.736;0.733;0.734;0.801;0.794;0.753;0.787;0.779;0.811;0.863
transcript60_ENSMSIG00000000513;0.794;0.805;0.794;0.892;0.888;0.892;0.865;1.0;0.995;0.92;0.863;0.758;0.76;0.755;0.757;0.706;0.699;0.657;0.713;0.683;0.733;0.744
transcript60_MGP-CAROLIEiJ-G0020234;0.794;0.805;0.794;0.869;0.874;0.869;0.854;0.995;1.0;0.916;0.841;0.766;0.775;0.764;0.773;0.713;0.706;0.663;0.72;0.69;0.728;0.735
transcript64_ENSMSIG00000000513;0.798;0.809;0.824;0.909;0.904;0.909;0.94;0.92;0.916;1.0;0.937;0.706;0.708;0.704;0.705;0.774;0.767;0.725;0.759;0.751;0.758;0.809
transcript67_ENSMSIG00000000513;0.835;0.825;0.837;0.969;0.963;0.968;0.998;0.863;0.841;0.937;1.0;0.725;0.726;0.722;0.724;0.79;0.786;0.743;0.775;0.768;0.811;0.863
transcript59_MGP-SPRETEiJ-G0021131;0.758;0.76;0.813;0.746;0.751;0.764;0.735;0.758;0.766;0.706;0.725;1.0;0.989;0.997;0.987;0.93;0.922;0.879;0.94;0.906;0.908;0.865
transcript59_MGP-CAROLIEiJ-G0020234;0.758;0.756;0.813;0.748;0.759;0.765;0.736;0.76;0.775;0.708;0.726;0.989;1.0;0.987;0.997;0.92;0.913;0.87;0.93;0.897;0.905;0.862
transcript61_MGP-SPRETEiJ-G0021131;0.755;0.757;0.81;0.744;0.749;0.761;0.733;0.755;0.764;0.704;0.722;0.997;0.987;1.0;0.989;0.928;0.92;0.877;0.937;0.904;0.906;0.863
transcript61_MGP-CAROLIEiJ-G0020234;0.755;0.753;0.81;0.745;0.757;0.763;0.734;0.757;0.773;0.705;0.724;0.987;0.997;0.989;1.0;0.918;0.91;0.867;0.927;0.894;0.903;0.86
transcript62_MGP-SPRETEiJ-G0021131;0.763;0.765;0.841;0.765;0.769;0.782;0.801;0.706;0.713;0.774;0.79;0.93;0.92;0.928;0.918;1.0;0.992;0.949;0.985;0.976;0.933;0.93
transcript69_MGP-SPRETEiJ-G0021131;0.755;0.757;0.833;0.758;0.762;0.775;0.794;0.699;0.706;0.767;0.786;0.922;0.913;0.92;0.91;0.992;1.0;0.941;0.977;0.969;0.925;0.923
transcript70_MGP-SPRETEiJ-G0021131;0.712;0.714;0.785;0.718;0.722;0.734;0.753;0.657;0.663;0.725;0.743;0.879;0.87;0.877;0.867;0.949;0.941;1.0;0.934;0.926;0.882;0.883
transcript71_MGP-SPRETEiJ-G0021131;0.747;0.749;0.824;0.772;0.777;0.79;0.787;0.713;0.72;0.759;0.775;0.94;0.93;0.937;0.927;0.985;0.977;0.934;1.0;0.961;0.917;0.916
transcript72_MGP-SPRETEiJ-G0021131;0.781;0.783;0.846;0.743;0.747;0.76;0.779;0.683;0.69;0.751;0.768;0.906;0.897;0.904;0.894;0.976;0.969;0.926;0.961;1.0;0.909;0.908
transcript54_ENSMUSG00000054036;0.78;0.776;0.786;0.787;0.792;0.805;0.811;0.733;0.728;0.758;0.811;0.908;0.905;0.906;0.903;0.933;0.925;0.882;0.917;0.909;1.0;0.952
transcript57_MGP-PahariEiJ-G0020237;0.718;0.711;0.746;0.84;0.844;0.858;0.863;0.744;0.735;0.809;0.863;0.865;0.862;0.863;0.86;0.93;0.923;0.883;0.916;0.908;0.952;1.0
