;transcript1_ENSMLUG00000027828;transcript1_ENSSTOG00000019743;transcript1_ENSCCNG00000000226;transcript10_ENSMLUG00000027828;transcript16_ENSMLUG00000027828;transcript28_ENSMLUG00000027828;transcript9_ENSSTOG00000019743;transcript29_ENSSTOG00000019743;transcript29_ENSCPOG00000024843;transcript30_ENSSTOG00000019743;transcript30_ENSCCNG00000000226;transcript31_ENSSTOG00000019743;transcript35_ENSCPOG00000024843;transcript36_ENSCPOG00000024843;transcript37_ENSCPOG00000024843
transcript1_ENSMLUG00000027828;1.0;0.678;0.624;0.872;0.872;0.86;0.599;0.658;0.736;0.658;0.593;0.639;0.757;0.737;0.757
transcript1_ENSSTOG00000019743;0.678;1.0;0.651;0.601;0.601;0.597;0.858;0.951;0.727;0.951;0.615;0.929;0.763;0.748;0.763
transcript1_ENSCCNG00000000226;0.624;0.651;1.0;0.541;0.541;0.532;0.575;0.63;0.701;0.63;0.949;0.616;0.723;0.708;0.723
transcript10_ENSMLUG00000027828;0.872;0.601;0.541;1.0;1.0;0.987;0.673;0.628;0.692;0.628;0.56;0.607;0.66;0.64;0.66
transcript16_ENSMLUG00000027828;0.872;0.601;0.541;1.0;1.0;0.987;0.673;0.628;0.692;0.628;0.56;0.607;0.66;0.64;0.66
transcript28_ENSMLUG00000027828;0.86;0.597;0.532;0.987;0.987;1.0;0.668;0.623;0.683;0.623;0.55;0.614;0.651;0.646;0.651
transcript9_ENSSTOG00000019743;0.599;0.858;0.575;0.673;0.673;0.668;1.0;0.902;0.686;0.902;0.601;0.878;0.654;0.639;0.654
transcript29_ENSSTOG00000019743;0.658;0.951;0.63;0.628;0.628;0.623;0.902;1.0;0.75;1.0;0.641;0.976;0.726;0.711;0.726
transcript29_ENSCPOG00000024843;0.736;0.727;0.701;0.692;0.692;0.683;0.686;0.75;1.0;0.75;0.713;0.732;0.954;0.934;0.954
transcript30_ENSSTOG00000019743;0.658;0.951;0.63;0.628;0.628;0.623;0.902;1.0;0.75;1.0;0.641;0.976;0.726;0.711;0.726
transcript30_ENSCCNG00000000226;0.593;0.615;0.949;0.56;0.56;0.55;0.601;0.641;0.713;0.641;1.0;0.627;0.686;0.67;0.686
transcript31_ENSSTOG00000019743;0.639;0.929;0.616;0.607;0.607;0.614;0.878;0.976;0.732;0.976;0.627;1.0;0.709;0.723;0.709
transcript35_ENSCPOG00000024843;0.757;0.763;0.723;0.66;0.66;0.651;0.654;0.726;0.954;0.726;0.686;0.709;1.0;0.98;1.0
transcript36_ENSCPOG00000024843;0.737;0.748;0.708;0.64;0.64;0.646;0.639;0.711;0.934;0.711;0.67;0.723;0.98;1.0;0.98
transcript37_ENSCPOG00000024843;0.757;0.763;0.723;0.66;0.66;0.651;0.654;0.726;0.954;0.726;0.686;0.709;1.0;0.98;1.0
