;ENSCAFT00000022395_90_90;ENST00000319481_90_90;ENST00000357041_90_90;ENST00000399441_90_90;ENST00000399443_90_90;ENST00000578013_90_90;ENST00000578055_90_90;ENST00000578091_90_90;ENST00000579851_90_90;ENST00000582645_90_90;ENST00000584119_90_90;ENST00000638614_90_90;ENSMUST00000074352_90_90;ENSMUST00000117361_90_90;ENSMUST00000118313_90_90;ENSMUST00000119043_90_90;ENSMUST00000119512_90_90;ENSMUST00000121774_90_90;ENSMUST00000121808_90_90;ENSMUST00000121888_90_90;ENSMUST00000122175_90_90;ENSMUST00000124570_90_90;ENSMUST00000143077_90_90;ENSMUST00000147197_90_90;ENSMUST00000155650_90_90
ENSCAFT00000022395_90_90;;0.56;0.457;0.192;0.355;0.193;0.095;0.064;0.035;0.084;0.057;0.053;0.679;0.373;0.373;0.373;0.412;0.301;0.373;0.373;0.325;0.021;0.212;0.077;0.188
ENST00000319481_90_90;0.56;;;;;;;;;;;;0.405;0.355;0.355;0.355;0.353;0.301;0.355;0.355;0.137;0.021;0.194;0.077;0.158
ENST00000357041_90_90;0.457;;;;;;;;;;;;0.351;0.599;0.599;0.599;0.565;0.511;0.599;0.599;0.0;0.035;0.329;0.0;0.222
ENST00000399441_90_90;0.192;;;;;;;;;;;;0.219;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.481;0.0;0.0;0.467;0.0
ENST00000399443_90_90;0.355;;;;;;;;;;;;0.38;0.908;0.908;0.908;0.691;0.769;0.908;0.908;0.0;0.063;0.528;0.0;0.252
ENST00000578013_90_90;0.193;;;;;;;;;;;;0.201;0.476;0.476;0.476;0.362;0.597;0.476;0.476;0.0;0.0;0.087;0.0;0.0
ENST00000578055_90_90;0.095;;;;;;;;;;;;0.109;0.282;0.282;0.282;0.209;0.124;0.282;0.282;0.0;0.202;0.322;0.0;0.287
ENST00000578091_90_90;0.064;;;;;;;;;;;;0.072;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.161;0.0;0.0;0.47;0.0
ENST00000579851_90_90;0.035;;;;;;;;;;;;0.038;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.091;0.0;0.0;0.395;0.0
ENST00000582645_90_90;0.084;;;;;;;;;;;;0.096;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.218;0.0;0.0;0.47;0.0
ENST00000584119_90_90;0.057;;;;;;;;;;;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
ENST00000638614_90_90;0.053;;;;;;;;;;;;0.06;0.145;0.145;0.145;0.11;0.068;0.145;0.145;0.0;0.0;0.204;0.0;0.182
ENSMUST00000074352_90_90;0.679;0.405;0.351;0.219;0.38;0.201;0.109;0.072;0.038;0.096;0.0;0.06;;;;;;;;;;;;;
ENSMUST00000117361_90_90;0.373;0.355;0.599;0.0;0.908;0.476;0.282;0.0;0.0;0.0;0.0;0.145;;;;;;;;;;;;;
ENSMUST00000118313_90_90;0.373;0.355;0.599;0.0;0.908;0.476;0.282;0.0;0.0;0.0;0.0;0.145;;;;;;;;;;;;;
ENSMUST00000119043_90_90;0.373;0.355;0.599;0.0;0.908;0.476;0.282;0.0;0.0;0.0;0.0;0.145;;;;;;;;;;;;;
ENSMUST00000119512_90_90;0.412;0.353;0.565;0.0;0.691;0.362;0.209;0.0;0.0;0.0;0.0;0.11;;;;;;;;;;;;;
ENSMUST00000121774_90_90;0.301;0.301;0.511;0.0;0.769;0.597;0.124;0.0;0.0;0.0;0.0;0.068;;;;;;;;;;;;;
ENSMUST00000121808_90_90;0.373;0.355;0.599;0.0;0.908;0.476;0.282;0.0;0.0;0.0;0.0;0.145;;;;;;;;;;;;;
ENSMUST00000121888_90_90;0.373;0.355;0.599;0.0;0.908;0.476;0.282;0.0;0.0;0.0;0.0;0.145;;;;;;;;;;;;;
ENSMUST00000122175_90_90;0.325;0.137;0.0;0.481;0.0;0.0;0.0;0.161;0.091;0.218;0.0;0.0;;;;;;;;;;;;;
ENSMUST00000124570_90_90;0.021;0.021;0.035;0.0;0.063;0.0;0.202;0.0;0.0;0.0;0.0;0.0;;;;;;;;;;;;;
ENSMUST00000143077_90_90;0.212;0.194;0.329;0.0;0.528;0.087;0.322;0.0;0.0;0.0;0.0;0.204;;;;;;;;;;;;;
ENSMUST00000147197_90_90;0.077;0.077;0.0;0.467;0.0;0.0;0.0;0.47;0.395;0.47;0.0;0.0;;;;;;;;;;;;;
ENSMUST00000155650_90_90;0.188;0.158;0.222;0.0;0.252;0.0;0.287;0.0;0.0;0.0;0.0;0.182;;;;;;;;;;;;;
