;ENSCAFT00000020388_90_90;ENSCAFT00000043901_90_90;ENST00000256953_90_90;ENST00000393736_90_90;ENST00000536465_90_90;ENST00000537647_90_90;ENST00000538313_90_90;ENST00000545567_90_90;ENST00000546331_90_90;ENSMUST00000032347_90_90;ENSMUST00000117919_90_90;ENSMUST00000119610_90_90;ENSMUST00000149100_90_90;ENSMUST00000203003_90_90
ENSCAFT00000020388_90_90;1.0;0.657;0.026;0.057;0.026;0.03;0.026;0.0;0.035;0.046;0.046;0.051;0.043;0.0
ENSCAFT00000043901_90_90;0.657;1.0;0.026;0.057;0.026;0.03;0.026;0.0;0.035;0.046;0.046;0.051;0.043;0.0
ENST00000256953_90_90;0.026;0.026;1.0;0.291;1.0;0.524;1.0;0.514;0.814;0.427;0.427;0.459;0.31;0.171
ENST00000393736_90_90;0.057;0.057;0.291;1.0;0.291;0.51;0.291;0.186;0.139;0.116;0.116;0.126;0.349;0.0
ENST00000536465_90_90;0.026;0.026;1.0;0.291;1.0;0.524;1.0;0.514;0.814;0.427;0.427;0.459;0.31;0.171
ENST00000537647_90_90;0.03;0.03;0.524;0.51;0.524;1.0;0.524;0.462;0.347;0.084;0.084;0.089;0.54;0.0
ENST00000538313_90_90;0.026;0.026;1.0;0.291;1.0;0.524;1.0;0.514;0.814;0.427;0.427;0.459;0.31;0.171
ENST00000545567_90_90;0.0;0.0;0.514;0.186;0.514;0.462;0.514;1.0;0.342;0.086;0.086;0.092;0.26;0.16
ENST00000546331_90_90;0.035;0.035;0.814;0.139;0.814;0.347;0.814;0.342;1.0;0.487;0.487;0.527;0.242;0.202
ENSMUST00000032347_90_90;0.046;0.046;0.427;0.116;0.427;0.084;0.427;0.086;0.487;1.0;1.0;0.897;0.139;0.317
ENSMUST00000117919_90_90;0.046;0.046;0.427;0.116;0.427;0.084;0.427;0.086;0.487;1.0;1.0;0.897;0.139;0.317
ENSMUST00000119610_90_90;0.051;0.051;0.459;0.126;0.459;0.089;0.459;0.092;0.527;0.897;0.897;1.0;0.149;0.353
ENSMUST00000149100_90_90;0.043;0.043;0.31;0.349;0.31;0.54;0.31;0.26;0.242;0.139;0.139;0.149;1.0;0.0
ENSMUST00000203003_90_90;0.0;0.0;0.171;0.0;0.171;0.0;0.171;0.16;0.202;0.317;0.317;0.353;0.0;1.0
