;ENSCAFT00000030383_90_90;ENST00000392476_90_90;ENST00000430767_90_90;ENST00000431431_90_90;ENST00000436233_90_90;ENST00000443798_90_90;ENST00000561721_90_90;ENST00000585618_90_90;ENST00000586429_90_90;ENST00000587820_90_90;ENST00000588488_90_90;ENST00000588616_90_90;ENST00000588880_90_90;ENST00000589202_90_90;ENST00000589827_90_90;ENST00000590483_90_90;ENST00000591437_90_90;ENST00000591786_90_90;ENSMUST00000021177_90_90;ENSMUST00000090433_90_90;ENSMUST00000103026_90_90
ENSCAFT00000030383_90_90;1.0;0.923;0.962;0.808;0.962;0.923;0.038;0.962;0.231;0.192;0.077;0.308;0.077;0.308;0.731;0.308;0.808;0.269;0.962;1.0;0.962
ENST00000392476_90_90;0.923;1.0;0.929;0.786;0.929;1.0;0.037;0.929;0.222;0.185;0.074;0.333;0.074;0.321;0.778;0.241;0.786;0.259;0.96;0.885;0.92
ENST00000430767_90_90;0.962;0.929;1.0;0.852;1.0;0.929;0.037;1.0;0.222;0.185;0.074;0.333;0.074;0.321;0.778;0.241;0.852;0.259;0.885;0.96;0.92
ENST00000431431_90_90;0.808;0.786;0.852;1.0;0.852;0.786;0.0;0.852;0.074;0.037;0.087;0.391;0.0;0.375;0.63;0.231;1.0;0.111;0.731;0.8;0.76
ENST00000436233_90_90;0.962;0.929;1.0;0.852;1.0;0.929;0.037;1.0;0.222;0.185;0.074;0.333;0.074;0.321;0.778;0.241;0.852;0.259;0.885;0.96;0.92
ENST00000443798_90_90;0.923;1.0;0.929;0.786;0.929;1.0;0.037;0.929;0.222;0.185;0.074;0.333;0.074;0.321;0.778;0.241;0.786;0.259;0.96;0.885;0.92
ENST00000561721_90_90;0.038;0.037;0.037;0.0;0.037;0.037;1.0;0.037;0.167;0.2;0.0;0.0;0.5;0.0;0.048;0.0;0.0;0.143;0.04;0.04;0.042
ENST00000585618_90_90;0.962;0.929;1.0;0.852;1.0;0.929;0.037;1.0;0.222;0.185;0.074;0.333;0.074;0.321;0.778;0.241;0.852;0.259;0.885;0.96;0.92
ENST00000586429_90_90;0.231;0.222;0.222;0.074;0.222;0.222;0.167;0.222;1.0;0.833;0.0;0.154;0.333;0.0;0.286;0.25;0.074;0.857;0.24;0.24;0.25
ENST00000587820_90_90;0.192;0.185;0.185;0.037;0.185;0.185;0.2;0.185;0.833;1.0;0.0;0.077;0.4;0.0;0.238;0.167;0.037;0.714;0.2;0.2;0.208
ENST00000588488_90_90;0.077;0.074;0.074;0.087;0.074;0.074;0.0;0.074;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.087;0.0;0.08;0.08;0.083
ENST00000588616_90_90;0.308;0.333;0.333;0.391;0.333;0.333;0.0;0.333;0.154;0.077;0.0;1.0;0.0;0.118;0.429;0.5;0.391;0.231;0.32;0.32;0.333
ENST00000588880_90_90;0.077;0.074;0.074;0.0;0.074;0.074;0.5;0.074;0.333;0.4;0.0;0.0;1.0;0.0;0.095;0.0;0.0;0.286;0.08;0.08;0.083
ENST00000589202_90_90;0.308;0.321;0.321;0.375;0.321;0.321;0.0;0.321;0.0;0.0;0.0;0.118;0.0;1.0;0.409;0.056;0.375;0.0;0.28;0.28;0.292
ENST00000589827_90_90;0.731;0.778;0.778;0.63;0.778;0.778;0.048;0.778;0.286;0.238;0.0;0.429;0.095;0.409;1.0;0.304;0.63;0.333;0.72;0.72;0.75
ENST00000590483_90_90;0.308;0.241;0.241;0.231;0.241;0.241;0.0;0.241;0.25;0.167;0.0;0.5;0.0;0.056;0.304;1.0;0.231;0.333;0.32;0.32;0.333
ENST00000591437_90_90;0.808;0.786;0.852;1.0;0.852;0.786;0.0;0.852;0.074;0.037;0.087;0.391;0.0;0.375;0.63;0.231;1.0;0.111;0.731;0.8;0.76
ENST00000591786_90_90;0.269;0.259;0.259;0.111;0.259;0.259;0.143;0.259;0.857;0.714;0.0;0.231;0.286;0.0;0.333;0.333;0.111;1.0;0.28;0.28;0.292
ENSMUST00000021177_90_90;0.962;0.96;0.885;0.731;0.885;0.96;0.04;0.885;0.24;0.2;0.08;0.32;0.08;0.28;0.72;0.32;0.731;0.28;1.0;0.929;0.929
ENSMUST00000090433_90_90;1.0;0.885;0.96;0.8;0.96;0.885;0.04;0.96;0.24;0.2;0.08;0.32;0.08;0.28;0.72;0.32;0.8;0.28;0.929;1.0;0.929
ENSMUST00000103026_90_90;0.962;0.92;0.92;0.76;0.92;0.92;0.042;0.92;0.25;0.208;0.083;0.333;0.083;0.292;0.75;0.333;0.76;0.292;0.929;0.929;1.0
