;transcript24_ENSPEMG00000024651;transcript15_ENSPEMG00000024651;transcript22_ENSPEMG00000024651;transcript31_ENSPEMG00000024651;transcript29_ENSCGRG00001010245;transcript43_ENSCGRG00000018457;transcript37_ENSCGRG00001010245;transcript38_ENSCGRG00001010245;transcript7_ENSCGRG00001010245;transcript32_ENSCGRG00015005362;transcript22_ENSCGRG00000018457;transcript26_ENSCGRG00000018457;transcript26_ENSCGRG00001010245;transcript33_ENSCGRG00015005362;transcript42_ENSCGRG00000018457;transcript14_ENSSTOG00000019743;transcript12_ENSSTOG00000019743;transcript5_ENSSTOG00000019743;transcript13_ENSSTOG00000019743;transcript8_MGP-PahariEiJ-G0020237;transcript8_ENSRNOG00000031503;transcript20_ENSNGAG00000018584;transcript17_ENSNGAG00000018584;transcript37_MGP-PahariEiJ-G0020237;transcript36_MGP-PahariEiJ-G0020237;transcript38_MGP-PahariEiJ-G0020237;transcript5_ENSNGAG00000018584
transcript24_ENSPEMG00000024651;1.0;1.0;0.947;0.945;0.963;0.962;0.352;0.145;0.931;0.972;0.972;0.972;0.947;0.938;0.95;0.972;0.972;0.972;0.878;1.0;1.0;0.923;0.931;1.0;1.0;0.418;0.974
transcript15_ENSPEMG00000024651;1.0;1.0;0.947;0.945;0.963;0.962;0.352;0.145;0.931;0.972;0.972;0.972;0.947;0.938;0.95;0.972;0.972;0.972;0.878;1.0;1.0;0.923;0.931;1.0;1.0;0.418;0.974
transcript22_ENSPEMG00000024651;0.947;0.947;1.0;0.998;0.965;0.991;0.351;0.145;0.933;1.0;1.0;1.0;1.0;0.967;0.979;0.975;0.975;0.975;0.88;1.0;1.0;0.938;0.931;1.0;1.0;0.418;0.974
transcript31_ENSPEMG00000024651;0.945;0.945;0.998;1.0;0.963;0.988;0.352;0.145;0.931;0.998;0.998;0.998;0.998;0.964;0.976;0.972;0.972;0.972;0.878;1.0;1.0;0.934;0.927;1.0;1.0;0.418;0.971
transcript29_ENSCGRG00001010245;0.963;0.963;0.965;0.963;1.0;1.0;0.331;0.136;0.948;0.986;0.986;0.986;0.962;0.934;0.965;0.987;0.987;0.987;0.89;1.0;1.0;0.937;0.946;1.0;1.0;0.418;0.98
transcript43_ENSCGRG00000018457;0.962;0.962;0.991;0.988;1.0;1.0;0.34;0.139;0.947;0.986;0.986;0.986;0.986;0.934;0.965;0.986;0.986;0.986;0.888;1.0;1.0;0.944;0.944;1.0;1.0;0.418;0.979
transcript37_ENSCGRG00001010245;0.352;0.352;0.351;0.352;0.331;0.34;1.0;0.41;0.349;0.335;0.335;0.335;0.335;0.354;0.343;0.327;0.327;0.327;0.231;1.0;1.0;0.295;0.292;1.0;1.0;0.418;0.323
transcript38_ENSCGRG00001010245;0.145;0.145;0.145;0.145;0.136;0.139;0.41;1.0;0.143;0.138;0.138;0.138;0.138;0.145;0.141;0.134;0.134;0.134;0.038;0.418;0.436;0.098;0.097;0.418;0.418;1.0;0.129
transcript7_ENSCGRG00001010245;0.931;0.931;0.933;0.931;0.948;0.947;0.349;0.143;1.0;0.934;0.934;0.934;0.911;0.986;0.913;0.936;0.936;0.936;0.839;1.0;1.0;0.86;0.869;1.0;1.0;0.418;0.903
transcript32_ENSCGRG00015005362;0.972;0.972;1.0;0.998;0.986;0.986;0.335;0.138;0.934;1.0;1.0;1.0;1.0;0.948;0.979;1.0;1.0;1.0;0.901;1.0;1.0;0.965;0.965;1.0;1.0;0.418;1.0
