;ENSCAFT00000027907_90_90;ENST00000344626_90_90;ENST00000413806_90_90;ENST00000429416_90_90;ENST00000444061_90_90;ENST00000450717_90_90;ENST00000541122_90_90;ENST00000586985_90_90;ENST00000589677_90_90;ENST00000590574_90_90;ENST00000592158_90_90;ENSMUST00000034707_90_90;ENSMUST00000098948_90_90;ENSMUST00000172996_90_90;ENSMUST00000174008_90_90
ENSCAFT00000027907_90_90;;0.847;0.821;0.847;0.824;0.806;0.855;0.062;0.832;0.849;0.146;0.849;0.855;0.611;0.824
ENST00000344626_90_90;0.847;;;;;;;;;;;0.89;0.853;0.633;0.865
ENST00000413806_90_90;0.821;;;;;;;;;;;0.861;0.909;0.599;0.837
ENST00000429416_90_90;0.847;;;;;;;;;;;0.89;0.853;0.633;0.865
ENST00000444061_90_90;0.824;;;;;;;;;;;0.916;0.873;0.588;0.941
ENST00000450717_90_90;0.806;;;;;;;;;;;0.885;0.849;0.637;0.861
ENST00000541122_90_90;0.855;;;;;;;;;;;0.899;0.95;0.623;0.873
ENST00000586985_90_90;0.062;;;;;;;;;;;0.062;0.059;0.0;0.064
ENST00000589677_90_90;0.832;;;;;;;;;;;0.873;0.924;0.636;0.893
ENST00000590574_90_90;0.849;;;;;;;;;;;0.945;0.899;0.578;0.916
ENST00000592158_90_90;0.146;;;;;;;;;;;0.116;0.167;0.22;0.12
ENSMUST00000034707_90_90;0.849;0.89;0.861;0.89;0.916;0.885;0.899;0.062;0.873;0.945;0.116;;;;
ENSMUST00000098948_90_90;0.855;0.853;0.909;0.853;0.873;0.849;0.95;0.059;0.924;0.899;0.167;;;;
ENSMUST00000172996_90_90;0.611;0.633;0.599;0.633;0.588;0.637;0.623;0.0;0.636;0.578;0.22;;;;
ENSMUST00000174008_90_90;0.824;0.865;0.837;0.865;0.941;0.861;0.873;0.064;0.893;0.916;0.12;;;;
