;ENSCAFT00000044457_90_90;ENST00000295894_90_90;ENST00000450542_90_90;ENST00000460711_90_90;ENST00000465156_90_90;ENST00000468110_90_90;ENST00000472899_90_90;ENST00000478300_90_90;ENST00000479198_90_90;ENST00000498449_90_90;ENSMUST00000070323_90_90;ENSMUST00000112656_90_90;ENSMUST00000153954_90_90;ENSMUST00000223583_90_90
ENSCAFT00000044457_90_90;1.0;0.894;0.019;0.926;0.674;0.15;0.155;0.821;0.559;0.171;0.819;0.892;0.269;0.728
ENST00000295894_90_90;0.894;1.0;0.02;0.96;0.758;0.16;0.131;0.877;0.627;0.208;0.875;0.997;0.31;0.772
ENST00000450542_90_90;0.019;0.02;1.0;0.02;0.026;0.346;0.0;0.119;0.026;0.0;0.118;0.019;0.039;0.017
ENST00000460711_90_90;0.926;0.96;0.02;1.0;0.728;0.155;0.126;0.845;0.604;0.199;0.843;0.958;0.299;0.747
ENST00000465156_90_90;0.674;0.758;0.026;0.728;1.0;0.178;0.17;0.659;0.404;0.241;0.657;0.756;0.395;0.58
ENST00000468110_90_90;0.15;0.16;0.346;0.155;0.178;1.0;0.295;0.263;0.204;0.566;0.263;0.16;0.263;0.133
ENST00000472899_90_90;0.155;0.131;0.0;0.126;0.17;0.295;1.0;0.093;0.169;0.529;0.093;0.131;0.263;0.083
ENST00000478300_90_90;0.821;0.877;0.119;0.845;0.659;0.263;0.093;1.0;0.546;0.16;0.998;0.875;0.259;0.728
ENST00000479198_90_90;0.559;0.627;0.026;0.604;0.404;0.204;0.169;0.546;1.0;0.272;0.544;0.625;0.393;0.485
ENST00000498449_90_90;0.171;0.208;0.0;0.199;0.241;0.566;0.529;0.16;0.272;1.0;0.16;0.208;0.38;0.141
ENSMUST00000070323_90_90;0.819;0.875;0.118;0.843;0.657;0.263;0.093;0.998;0.544;0.16;1.0;0.877;0.259;0.728
ENSMUST00000112656_90_90;0.892;0.997;0.019;0.958;0.756;0.16;0.131;0.875;0.625;0.208;0.877;1.0;0.31;0.772
ENSMUST00000153954_90_90;0.269;0.31;0.039;0.299;0.395;0.263;0.263;0.259;0.393;0.38;0.259;0.31;1.0;0.352
ENSMUST00000223583_90_90;0.728;0.772;0.017;0.747;0.58;0.133;0.083;0.728;0.485;0.141;0.728;0.772;0.352;1.0
