id_transcript;block_sequence
ENSCAFT00000005773_90_90;1.2.5.6.7.14.15.16.17.18.19.20.21.22.23.24.25.26.27.28.29.30.31.32.33.34.35.36.37
ENST00000391851_90_90;1.2.3.12.14.15.16.17.18.19.20.21.22.23.24.25.26.27.28.29.30.31.32.33.34.35.36.37
ENST00000454376_90_90;1.2.3.6.12.14.15.16.17.18.19.20.21.22.23.24.25.26.27.28.29.30.31.32.33.34.35.36.37
ENST00000524771_90_90;2.3.4.6.12.14.15.16.17.18.19.20.21.22.23.24.25.26.27.28.29
ENST00000526224_90_90;16.17.18.19.20.21.22.23.24.25.26.27
ENST00000527382_90_90;16.17.18.19.20.21.22.23.24.25.26.27.28.29.30.31
ENST00000528623_90_90;11.12.14.15.16.17
ENST00000529284_90_90;16.17.18.19.20.21.22.23.24.25.26
ENST00000529836_90_90;11.12.14.15.16.17.18.19.20
ENST00000532489_90_90;16.17.18.19.20.21.22.23.24.25.26.27.28.29.30.31.32.33.34.35.36.37
ENST00000534280_90_90;1.2.3.6.7.8.10
ENST00000534465_90_90;16.17.18.19.20.21.22.23.24.25.26.27.28.29.30.31.32
ENST00000610806_90_90;1.2.3.12.14.15.16.17.18.19.20.21.22.23.24.33.34.35.36.37
ENSMUST00000045325_90_90;1.2.5.17.18.19.20.21.22.23.24.25.26.27.28.29.30.31.32.33.34.35.36.37
ENSMUST00000107843_90_90;1.2.5.6.13.14.15.16.17.18.19.20.21.22.23.24.25.26.27.28.29.30.31.32.33.34.35.36.37
ENSMUST00000207370_90_90;1.2.5.13.14.15.16.17.18.19.20.21.22.23.24.25.26.27.28.29.30.31.32.33.34.35.36.37
ENSMUST00000207522_90_90;1.2.5.6.7.8.9.10
ENSMUST00000207659_90_90;1.2.5.13.14.15.16.17.18.19.20.21.22.34.35.36.37
ENSMUST00000208312_90_90;1.2.5.13.14.15.16.17.18.19.20.21.22.23.24.33.34.35
ENSMUST00000208778_90_90;22.23.24.25.26.27.28.31.32.33.34.35.36
ENSMUST00000208829_90_90;1.2.5.35.36.37
ENSMUST00000208938_90_90;15.16.17.18.19.20.21.25
ENSMUST00000209056_90_90;0.13.14.15.16.17.18.20.21.22.23.24
ENSMUST00000209124_90_90;24.25.26.27.28.29.30.31.32.33.34.35.36.37
