;ENSCAFT00000005773_90_90;ENST00000391851_90_90;ENST00000454376_90_90;ENST00000524771_90_90;ENST00000526224_90_90;ENST00000527382_90_90;ENST00000528623_90_90;ENST00000529284_90_90;ENST00000529836_90_90;ENST00000532489_90_90;ENST00000534280_90_90;ENST00000534465_90_90;ENST00000610806_90_90;ENSMUST00000045325_90_90;ENSMUST00000107843_90_90;ENSMUST00000207370_90_90;ENSMUST00000207522_90_90;ENSMUST00000207659_90_90;ENSMUST00000208312_90_90;ENSMUST00000208778_90_90;ENSMUST00000208829_90_90;ENSMUST00000208938_90_90;ENSMUST00000209056_90_90;ENSMUST00000209124_90_90
ENSCAFT00000005773_90_90;1.0;0.929;0.964;0.643;0.429;0.571;0.143;0.393;0.25;0.786;0.143;0.607;0.643;0.828;0.966;0.931;0.172;0.552;0.586;0.448;0.207;0.276;0.345;0.483
ENST00000391851_90_90;0.929;1.0;0.966;0.633;0.429;0.571;0.172;0.393;0.276;0.786;0.094;0.607;0.714;0.885;0.963;1.0;0.067;0.577;0.615;0.5;0.192;0.308;0.385;0.538
ENST00000454376_90_90;0.964;0.966;1.0;0.667;0.414;0.552;0.167;0.379;0.267;0.759;0.125;0.586;0.69;0.852;1.0;0.963;0.1;0.556;0.593;0.481;0.185;0.296;0.37;0.519
ENST00000524771_90_90;0.643;0.633;0.667;1.0;0.571;0.609;0.227;0.524;0.364;0.483;0.12;0.583;0.519;0.519;0.667;0.63;0.091;0.435;0.545;0.292;0.045;0.444;0.556;0.231
ENST00000526224_90_90;0.429;0.429;0.414;0.571;1.0;0.75;0.125;0.917;0.312;0.545;0.0;0.706;0.391;0.458;0.444;0.462;0.0;0.35;0.474;0.316;0.0;0.538;0.571;0.182
ENST00000527382_90_90;0.571;0.571;0.552;0.609;0.75;1.0;0.1;0.688;0.25;0.727;0.0;0.941;0.333;0.625;0.593;0.615;0.0;0.292;0.391;0.381;0.0;0.412;0.444;0.364
ENST00000528623_90_90;0.143;0.172;0.167;0.227;0.125;0.1;1.0;0.133;0.667;0.077;0.0;0.095;0.238;0.038;0.148;0.154;0.0;0.267;0.25;0.0;0.0;0.333;0.4;0.0
ENST00000529284_90_90;0.393;0.393;0.379;0.524;0.917;0.688;0.133;1.0;0.333;0.5;0.0;0.647;0.409;0.417;0.407;0.423;0.0;0.368;0.5;0.263;0.0;0.583;0.615;0.136
ENST00000529836_90_90;0.25;0.276;0.267;0.364;0.312;0.25;0.667;0.333;1.0;0.192;0.0;0.238;0.381;0.154;0.259;0.269;0.0;0.467;0.438;0.0;0.0;0.667;0.545;0.0
ENST00000532489_90_90;0.786;0.786;0.759;0.483;0.545;0.727;0.077;0.5;0.192;1.0;0.0;0.773;0.5;0.875;0.815;0.846;0.0;0.423;0.462;0.591;0.125;0.304;0.333;0.636
