;ENSCAFT00000007417_90_90;ENST00000283628_90_90;ENST00000283629_90_90;ENST00000411650_90_90;ENST00000447368_90_90;ENST00000456378_90_90;ENSMUST00000009885_90_90;ENSMUST00000084885_90_90;ENSMUST00000116492_90_90;ENSMUST00000214095_90_90;ENSMUST00000216558_90_90
ENSCAFT00000007417_90_90;1.0;0.7;0.7;0.333;0.6;0.125;0.778;0.889;0.778;0.778;0.889
ENST00000283628_90_90;0.7;1.0;1.0;0.182;0.889;0.111;0.7;0.8;0.7;0.7;0.8
ENST00000283629_90_90;0.7;1.0;1.0;0.182;0.889;0.111;0.7;0.8;0.7;0.7;0.8
ENST00000411650_90_90;0.333;0.182;0.182;1.0;0.2;0.0;0.333;0.3;0.333;0.333;0.3
ENST00000447368_90_90;0.6;0.889;0.889;0.2;1.0;0.125;0.778;0.7;0.778;0.778;0.7
ENST00000456378_90_90;0.125;0.111;0.111;0.0;0.125;1.0;0.125;0.111;0.125;0.125;0.111
ENSMUST00000009885_90_90;0.778;0.7;0.7;0.333;0.778;0.125;1.0;0.889;1.0;1.0;0.889
ENSMUST00000084885_90_90;0.889;0.8;0.8;0.3;0.7;0.111;0.889;1.0;0.889;0.889;1.0
ENSMUST00000116492_90_90;0.778;0.7;0.7;0.333;0.778;0.125;1.0;0.889;1.0;1.0;0.889
ENSMUST00000214095_90_90;0.778;0.7;0.7;0.333;0.778;0.125;1.0;0.889;1.0;1.0;0.889
ENSMUST00000216558_90_90;0.889;0.8;0.8;0.3;0.7;0.111;0.889;1.0;0.889;0.889;1.0
