;ENSCAFT00000017676_90_90;ENST00000249647_90_90;ENST00000349777_90_90;ENST00000397138_90_90;ENST00000561526_90_90;ENST00000563765_90_90;ENST00000563830_90_90;ENST00000563873_90_90;ENST00000564153_90_90;ENST00000566035_90_90;ENST00000566327_90_90;ENST00000567094_90_90;ENST00000568331_90_90;ENST00000568451_90_90;ENST00000568841_90_90;ENST00000568859_90_90;ENST00000626061_90_90;ENST00000627440_90_90;ENSMUST00000028743_90_90;ENSMUST00000110711_90_90;ENSMUST00000116437_90_90;ENSMUST00000142278_90_90;ENSMUST00000150611_90_90;ENSMUST00000153580_90_90
ENSCAFT00000017676_90_90;1.0;0.968;0.687;0.687;0.545;0.109;0.645;0.248;0.477;0.109;0.648;0.43;0.43;0.43;0.645;0.478;0.109;0.109;0.966;0.966;1.0;0.75;0.411;0.37
ENST00000249647_90_90;0.968;1.0;0.687;0.687;0.577;0.101;0.637;0.21;0.446;0.104;0.68;0.345;0.345;0.345;0.645;0.509;0.101;0.104;0.999;0.999;0.933;0.777;0.391;0.383
ENST00000349777_90_90;0.687;0.687;1.0;1.0;0.459;0.138;0.343;0.287;0.631;0.143;0.367;0.467;0.467;0.467;0.347;0.498;0.138;0.143;0.733;0.733;0.686;0.511;0.517;0.521
ENST00000397138_90_90;0.687;0.687;1.0;1.0;0.459;0.138;0.343;0.287;0.631;0.143;0.367;0.467;0.467;0.467;0.347;0.498;0.138;0.143;0.733;0.733;0.686;0.511;0.517;0.521
ENST00000561526_90_90;0.545;0.577;0.459;0.459;1.0;0.164;0.343;0.327;0.544;0.171;0.436;0.547;0.547;0.547;0.347;0.882;0.164;0.171;0.583;0.583;0.545;0.749;0.634;0.656
ENST00000563765_90_90;0.109;0.101;0.138;0.138;0.164;1.0;0.0;0.0;0.168;0.424;0.0;0.182;0.182;0.182;0.0;0.183;1.0;0.424;0.114;0.114;0.109;0.147;0.233;0.292
ENST00000563830_90_90;0.645;0.637;0.343;0.343;0.343;0.0;1.0;0.231;0.137;0.0;0.808;0.141;0.141;0.141;0.858;0.273;0.0;0.0;0.637;0.637;0.595;0.549;0.161;0.13
ENST00000563873_90_90;0.248;0.21;0.287;0.287;0.327;0.0;0.231;1.0;0.34;0.0;0.223;0.337;0.337;0.337;0.218;0.359;0.0;0.0;0.25;0.25;0.231;0.316;0.45;0.451
ENST00000564153_90_90;0.477;0.446;0.631;0.631;0.544;0.168;0.137;0.34;1.0;0.175;0.196;0.558;0.558;0.558;0.139;0.6;0.168;0.175;0.492;0.492;0.46;0.473;0.665;0.697
ENST00000566035_90_90;0.109;0.104;0.143;0.143;0.171;0.424;0.0;0.0;0.175;1.0;0.0;0.195;0.195;0.195;0.0;0.193;0.424;1.0;0.114;0.114;0.109;0.147;0.233;0.292
ENST00000566327_90_90;0.648;0.68;0.367;0.367;0.436;0.0;0.808;0.223;0.196;0.0;1.0;0.197;0.197;0.197;0.822;0.358;0.0;0.0;0.657;0.657;0.614;0.655;0.226;0.2
ENST00000567094_90_90;0.43;0.345;0.467;0.467;0.547;0.182;0.141;0.337;0.558;0.195;0.197;1.0;1.0;1.0;0.143;0.608;0.182;0.195;0.37;0.37;0.428;0.461;0.885;0.692
ENST00000568331_90_90;0.43;0.345;0.467;0.467;0.547;0.182;0.141;0.337;0.558;0.195;0.197;1.0;1.0;1.0;0.143;0.608;0.182;0.195;0.37;0.37;0.428;0.461;0.885;0.692
ENST00000568451_90_90;0.43;0.345;0.467;0.467;0.547;0.182;0.141;0.337;0.558;0.195;0.197;1.0;1.0;1.0;0.143;0.608;0.182;0.195;0.37;0.37;0.428;0.461;0.885;0.692
ENST00000568841_90_90;0.645;0.645;0.347;0.347;0.347;0.0;0.858;0.218;0.139;0.0;0.822;0.143;0.143;0.143;1.0;0.276;0.0;0.0;0.644;0.644;0.602;0.556;0.164;0.132
ENST00000568859_90_90;0.478;0.509;0.498;0.498;0.882;0.183;0.273;0.359;0.6;0.193;0.358;0.608;0.608;0.608;0.276;1.0;0.183;0.193;0.51;0.51;0.477;0.655;0.713;0.75
ENST00000626061_90_90;0.109;0.101;0.138;0.138;0.164;1.0;0.0;0.0;0.168;0.424;0.0;0.182;0.182;0.182;0.0;0.183;1.0;0.424;0.114;0.114;0.109;0.147;0.233;0.292
ENST00000627440_90_90;0.109;0.104;0.143;0.143;0.171;0.424;0.0;0.0;0.175;1.0;0.0;0.195;0.195;0.195;0.0;0.193;0.424;1.0;0.114;0.114;0.109;0.147;0.233;0.292
ENSMUST00000028743_90_90;0.966;0.999;0.733;0.733;0.583;0.114;0.637;0.25;0.492;0.114;0.657;0.37;0.37;0.37;0.644;0.51;0.114;0.114;1.0;1.0;0.891;0.785;0.36;0.37
ENSMUST00000110711_90_90;0.966;0.999;0.733;0.733;0.583;0.114;0.637;0.25;0.492;0.114;0.657;0.37;0.37;0.37;0.644;0.51;0.114;0.114;1.0;1.0;0.891;0.785;0.36;0.37
ENSMUST00000116437_90_90;1.0;0.933;0.686;0.686;0.545;0.109;0.595;0.231;0.46;0.109;0.614;0.428;0.428;0.428;0.602;0.477;0.109;0.109;0.891;0.891;1.0;0.7;0.329;0.333
ENSMUST00000142278_90_90;0.75;0.777;0.511;0.511;0.749;0.147;0.549;0.316;0.473;0.147;0.655;0.461;0.461;0.461;0.556;0.655;0.147;0.147;0.785;0.785;0.7;1.0;0.447;0.474
ENSMUST00000150611_90_90;0.411;0.391;0.517;0.517;0.634;0.233;0.161;0.45;0.665;0.233;0.226;0.885;0.885;0.885;0.164;0.713;0.233;0.233;0.36;0.36;0.329;0.447;1.0;0.687
ENSMUST00000153580_90_90;0.37;0.383;0.521;0.521;0.656;0.292;0.13;0.451;0.697;0.292;0.2;0.692;0.692;0.692;0.132;0.75;0.292;0.292;0.37;0.37;0.333;0.474;0.687;1.0
