;ENSCAFT00000031982_90_90;ENST00000373064_90_90;ENST00000373066_90_90;ENST00000373068_90_90;ENST00000373069_90_90;ENST00000432073_90_90;ENST00000466983_90_90;ENST00000472769_90_90;ENSMUST00000028160_90_90;ENSMUST00000052119_90_90;ENSMUST00000113307_90_90;ENSMUST00000113308_90_90;ENSMUST00000113310_90_90;ENSMUST00000127961_90_90;ENSMUST00000136361_90_90;ENSMUST00000153886_90_90
ENSCAFT00000031982_90_90;;0.578;0.591;0.822;0.794;0.611;0.223;0.0;0.81;0.633;0.638;0.655;0.839;0.233;0.375;0.236
ENST00000373064_90_90;0.578;;;;;;;;0.561;0.625;0.726;0.647;0.578;0.247;0.398;0.253
ENST00000373066_90_90;0.591;;;;;;;;0.627;0.921;0.655;0.871;0.591;0.329;0.423;0.279
ENST00000373068_90_90;0.822;;;;;;;;0.881;0.578;0.588;0.597;0.914;0.227;0.366;0.229
ENST00000373069_90_90;0.794;;;;;;;;0.918;0.613;0.57;0.578;0.881;0.264;0.353;0.22
ENST00000432073_90_90;0.611;;;;;;;;0.591;0.871;0.682;0.915;0.611;0.279;0.445;0.296
ENST00000466983_90_90;0.223;;;;;;;;0.215;0.246;0.248;0.258;0.223;0.068;0.142;0.226
ENST00000472769_90_90;0.0;;;;;;;;0.0;0.0;0.061;0.0;0.0;0.0;0.0;0.0
ENSMUST00000028160_90_90;0.81;0.561;0.627;0.881;0.918;0.591;0.215;0.0;;;;;;;;
ENSMUST00000052119_90_90;0.633;0.625;0.921;0.578;0.613;0.871;0.246;0.0;;;;;;;;
ENSMUST00000113307_90_90;0.638;0.726;0.655;0.588;0.57;0.682;0.248;0.061;;;;;;;;
ENSMUST00000113308_90_90;0.655;0.647;0.871;0.597;0.578;0.915;0.258;0.0;;;;;;;;
ENSMUST00000113310_90_90;0.839;0.578;0.591;0.914;0.881;0.611;0.223;0.0;;;;;;;;
ENSMUST00000127961_90_90;0.233;0.247;0.329;0.227;0.264;0.279;0.068;0.0;;;;;;;;
ENSMUST00000136361_90_90;0.375;0.398;0.423;0.366;0.353;0.445;0.142;0.0;;;;;;;;
ENSMUST00000153886_90_90;0.236;0.253;0.279;0.229;0.22;0.296;0.226;0.0;;;;;;;;
