;ENSCAFT00000028998_90_90;ENST00000587805_90_90;ENST00000588116_90_90;ENST00000589774_90_90;ENST00000590432_90_90;ENST00000590538_90_90;ENST00000591610_90_90;ENST00000592167_90_90;ENST00000593014_90_90;ENST00000610402_90_90;ENST00000612035_90_90;ENST00000612116_90_90;ENST00000614600_90_90;ENST00000616681_90_90;ENST00000616784_90_90;ENST00000618940_90_90;ENST00000620039_90_90;ENST00000621668_90_90;ENST00000621914_90_90;ENST00000628168_90_90;ENSMUST00000018875_90_90;ENSMUST00000065692_90_90;ENSMUST00000142680_90_90;ENSMUST00000176430_90_90;ENSMUST00000176523_90_90;ENSMUST00000176944_90_90
ENSCAFT00000028998_90_90;1.0;0.111;0.138;0.263;0.121;0.104;0.104;0.104;0.228;0.973;0.776;0.776;0.776;0.927;0.742;0.973;0.077;0.73;0.94;0.104;1.0;0.968;0.049;0.962;0.955;0.33
ENST00000587805_90_90;0.111;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.126;0.153;0.153;0.153;0.132;0.159;0.126;0.0;0.162;0.13;0.0;0.111;0.114;0.0;0.115;0.116;0.0
ENST00000588116_90_90;0.138;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.133;0.172;0.172;0.172;0.139;0.177;0.133;0.0;0.182;0.137;0.0;0.138;0.142;0.0;0.143;0.144;0.0
ENST00000589774_90_90;0.263;0.0;0.0;1.0;0.515;0.243;0.243;0.243;0.877;0.28;0.334;0.334;0.334;0.234;0.349;0.28;0.268;0.278;0.291;0.243;0.263;0.275;0.218;0.276;0.217;0.767
ENST00000590432_90_90;0.121;0.0;0.0;0.515;1.0;0.416;0.416;0.416;0.587;0.142;0.17;0.17;0.17;0.149;0.178;0.142;0.493;0.18;0.148;0.416;0.121;0.126;0.445;0.127;0.127;0.367
ENST00000590538_90_90;0.104;0.0;0.0;0.243;0.416;1.0;1.0;1.0;0.272;0.07;0.085;0.085;0.085;0.073;0.087;0.07;0.571;0.089;0.073;1.0;0.104;0.109;0.629;0.11;0.11;0.287
ENST00000591610_90_90;0.104;0.0;0.0;0.243;0.416;1.0;1.0;1.0;0.272;0.07;0.085;0.085;0.085;0.073;0.087;0.07;0.571;0.089;0.073;1.0;0.104;0.109;0.629;0.11;0.11;0.287
ENST00000592167_90_90;0.104;0.0;0.0;0.243;0.416;1.0;1.0;1.0;0.272;0.07;0.085;0.085;0.085;0.073;0.087;0.07;0.571;0.089;0.073;1.0;0.104;0.109;0.629;0.11;0.11;0.287
ENST00000593014_90_90;0.228;0.0;0.0;0.877;0.587;0.272;0.272;0.272;1.0;0.245;0.292;0.292;0.292;0.2;0.306;0.245;0.303;0.237;0.255;0.272;0.228;0.237;0.251;0.238;0.181;0.665
ENST00000610402_90_90;0.973;0.126;0.133;0.28;0.142;0.07;0.07;0.07;0.245;1.0;0.806;0.806;0.806;0.955;0.773;1.0;0.073;0.761;0.968;0.07;0.973;0.94;0.052;0.934;0.927;0.315
