;ENSCAFT00000030441_90_90;ENSCAFT00000047641_90_90;ENST00000359786_90_90;ENST00000361007_90_90;ENST00000438665_90_90;ENST00000545534_90_90;ENST00000570490_90_90;ENST00000570984_90_90;ENST00000571715_90_90;ENST00000573853_90_90;ENST00000574790_90_90;ENST00000575011_90_90;ENST00000575158_90_90;ENST00000575335_90_90;ENSMUST00000069057_90_90;ENSMUST00000102504_90_90;ENSMUST00000102505_90_90;ENSMUST00000108431_90_90;ENSMUST00000136935_90_90
ENSCAFT00000030441_90_90;1.0;0.8;0.765;0.688;0.706;0.706;0.294;0.467;0.133;0.4;0.333;0.176;0.688;0.2;0.8;0.8;0.875;0.812;0.111
ENSCAFT00000047641_90_90;0.8;1.0;0.688;0.846;0.733;0.733;0.267;0.583;0.167;0.5;0.417;0.214;0.846;0.25;1.0;1.0;0.8;0.857;0.062
ENST00000359786_90_90;0.765;0.688;1.0;0.8;0.812;0.812;0.294;0.467;0.133;0.4;0.333;0.176;0.8;0.2;0.688;0.688;0.875;0.706;0.111
ENST00000361007_90_90;0.688;0.846;0.8;1.0;0.857;0.857;0.267;0.583;0.167;0.5;0.417;0.214;1.0;0.25;0.846;0.846;0.688;0.733;0.062
ENST00000438665_90_90;0.706;0.733;0.812;0.857;1.0;0.867;0.312;0.5;0.143;0.429;0.357;0.188;0.857;0.214;0.733;0.733;0.706;0.867;0.118
ENST00000545534_90_90;0.706;0.733;0.812;0.857;0.867;1.0;0.312;0.5;0.143;0.429;0.357;0.188;0.857;0.214;0.733;0.733;0.706;0.75;0.118
ENST00000570490_90_90;0.294;0.267;0.294;0.267;0.312;0.312;1.0;0.4;0.286;0.444;0.5;0.0;0.267;0.429;0.267;0.267;0.294;0.312;0.333
ENST00000570984_90_90;0.467;0.583;0.467;0.583;0.5;0.5;0.4;1.0;0.286;0.857;0.714;0.0;0.583;0.429;0.583;0.583;0.467;0.5;0.091
ENST00000571715_90_90;0.133;0.167;0.133;0.167;0.143;0.143;0.286;0.286;1.0;0.333;0.4;0.0;0.167;0.667;0.167;0.167;0.133;0.143;0.167
ENST00000573853_90_90;0.4;0.5;0.4;0.5;0.429;0.429;0.444;0.857;0.333;1.0;0.833;0.0;0.5;0.5;0.5;0.5;0.4;0.429;0.1
ENST00000574790_90_90;0.333;0.417;0.333;0.417;0.357;0.357;0.5;0.714;0.4;0.833;1.0;0.0;0.417;0.6;0.417;0.417;0.333;0.357;0.111
ENST00000575011_90_90;0.176;0.214;0.176;0.214;0.188;0.188;0.0;0.0;0.0;0.0;0.0;1.0;0.214;0.0;0.214;0.214;0.176;0.188;0.0
ENST00000575158_90_90;0.688;0.846;0.8;1.0;0.857;0.857;0.267;0.583;0.167;0.5;0.417;0.214;1.0;0.25;0.846;0.846;0.688;0.733;0.062
ENST00000575335_90_90;0.2;0.25;0.2;0.25;0.214;0.214;0.429;0.429;0.667;0.5;0.6;0.0;0.25;1.0;0.25;0.25;0.2;0.214;0.143
ENSMUST00000069057_90_90;0.8;1.0;0.688;0.846;0.733;0.733;0.267;0.583;0.167;0.5;0.417;0.214;0.846;0.25;1.0;1.0;0.8;0.857;0.062
ENSMUST00000102504_90_90;0.8;1.0;0.688;0.846;0.733;0.733;0.267;0.583;0.167;0.5;0.417;0.214;0.846;0.25;1.0;1.0;0.8;0.857;0.062
ENSMUST00000102505_90_90;0.875;0.8;0.875;0.688;0.706;0.706;0.294;0.467;0.133;0.4;0.333;0.176;0.688;0.2;0.8;0.8;1.0;0.812;0.111
ENSMUST00000108431_90_90;0.812;0.857;0.706;0.733;0.867;0.75;0.312;0.5;0.143;0.429;0.357;0.188;0.733;0.214;0.857;0.857;0.812;1.0;0.118
ENSMUST00000136935_90_90;0.111;0.062;0.111;0.062;0.118;0.118;0.333;0.091;0.167;0.1;0.111;0.0;0.062;0.143;0.062;0.062;0.111;0.118;1.0
