;transcript7_ENSMSIG00000000513;transcript7_ENSMUSG00000054036;transcript43_MGP-CAROLIEiJ-G0020234;transcript26_MGP-PahariEiJ-G0020237;transcript33_ENSRNOG00000031503;transcript26_ENSMSIG00000000513;transcript47_ENSMSIG00000000513;transcript49_ENSMSIG00000000513;transcript41_ENSMSIG00000000513;transcript43_ENSMSIG00000000513;transcript46_ENSMSIG00000000513;transcript48_ENSMSIG00000000513;transcript22_MGP-CAROLIEiJ-G0020234;transcript8_MGP-CAROLIEiJ-G0020234;transcript32_MGP-CAROLIEiJ-G0020234;transcript42_MGP-CAROLIEiJ-G0020234;transcript33_MGP-CAROLIEiJ-G0020234;transcript41_MGP-SPRETEiJ-G0021131;transcript22_MGP-SPRETEiJ-G0021131;transcript36_ENSMUSG00000054036;transcript34_ENSMUGG00000013592;transcript35_ENSMUGG00000013592;transcript18_ENSMUGG00000013592;transcript33_ENSMUGG00000013592;transcript32_ENSMUGG00000013592;transcript23_ENSRNOG00000031503;transcript21_ENSRNOG00000031503;transcript19_ENSRNOG00000031503;transcript18_ENSRNOG00000031503;transcript32_ENSRNOG00000031503;transcript9_ENSRNOG00000031503
transcript7_ENSMSIG00000000513;1.0;0.792;0.553;0.623;0.289;0.683;0.683;0.695;0.652;0.652;0.612;0.612;0.284;0.287;0.293;0.293;0.3;0.583;0.302;0.309;0.366;0.366;0.357;0.323;0.316;0.268;0.268;0.265;0.322;0.286;0.247
transcript7_ENSMUSG00000054036;0.792;1.0;0.604;0.635;0.325;0.615;0.615;0.625;0.633;0.633;0.596;0.596;0.312;0.316;0.309;0.309;0.315;0.667;0.344;0.379;0.377;0.377;0.368;0.351;0.344;0.317;0.317;0.313;0.337;0.321;0.267
transcript43_MGP-CAROLIEiJ-G0020234;0.553;0.604;1.0;0.5;0.328;0.508;0.508;0.517;0.861;0.861;0.795;0.795;0.395;0.383;0.358;0.358;0.367;0.861;0.365;0.372;0.286;0.286;0.277;0.341;0.333;0.357;0.357;0.352;0.294;0.324;0.323
transcript26_MGP-PahariEiJ-G0020237;0.623;0.635;0.5;1.0;0.25;0.903;0.903;0.887;0.525;0.525;0.574;0.574;0.299;0.29;0.271;0.271;0.252;0.55;0.327;0.333;0.518;0.518;0.509;0.284;0.303;0.301;0.301;0.312;0.447;0.275;0.241
transcript33_ENSRNOG00000031503;0.289;0.325;0.328;0.25;1.0;0.258;0.258;0.261;0.353;0.353;0.338;0.338;0.624;0.631;0.646;0.646;0.662;0.353;0.621;0.607;0.509;0.509;0.514;0.695;0.679;0.905;0.905;0.891;0.731;0.949;0.726
transcript26_ENSMSIG00000000513;0.683;0.615;0.508;0.903;0.258;1.0;1.0;0.983;0.583;0.583;0.633;0.633;0.318;0.308;0.29;0.29;0.271;0.532;0.333;0.339;0.536;0.536;0.527;0.291;0.309;0.309;0.309;0.319;0.468;0.283;0.264
transcript47_ENSMSIG00000000513;0.683;0.615;0.508;0.903;0.258;1.0;1.0;0.983;0.583;0.583;0.633;0.633;0.318;0.308;0.29;0.29;0.271;0.532;0.333;0.339;0.536;0.536;0.527;0.291;0.309;0.309;0.309;0.319;0.468;0.283;0.264
transcript49_ENSMSIG00000000513;0.695;0.625;0.517;0.887;0.261;0.983;0.983;1.0;0.593;0.593;0.617;0.617;0.308;0.299;0.28;0.28;0.274;0.541;0.324;0.33;0.527;0.527;0.518;0.294;0.3;0.298;0.298;0.309;0.457;0.272;0.253
transcript41_ENSMSIG00000000513;0.652;0.633;0.861;0.525;0.353;0.583;0.583;0.593;1.0;1.0;0.921;0.921;0.381;0.369;0.345;0.345;0.354;0.892;0.4;0.407;0.312;0.312;0.304;0.376;0.368;0.38;0.38;0.375;0.314;0.348;0.328
transcript43_ENSMSIG00000000513;0.652;0.633;0.861;0.525;0.353;0.583;0.583;0.593;1.0;1.0;0.921;0.921;0.381;0.369;0.345;0.345;0.354;0.892;0.4;0.407;0.312;0.312;0.304;0.376;0.368;0.38;0.38;0.375;0.314;0.348;0.328
transcript46_ENSMSIG00000000513;0.612;0.596;0.795;0.574;0.338;0.633;0.633;0.617;0.921;0.921;1.0;1.0;0.4;0.388;0.365;0.365;0.341;0.825;0.419;0.425;0.339;0.339;0.33;0.364;0.386;0.403;0.403;0.417;0.349;0.371;0.354
transcript48_ENSMSIG00000000513;0.612;0.596;0.795;0.574;0.338;0.633;0.633;0.617;0.921;0.921;1.0;1.0;0.4;0.388;0.365;0.365;0.341;0.825;0.419;0.425;0.339;0.339;0.33;0.364;0.386;0.403;0.403;0.417;0.349;0.371;0.354
transcript22_MGP-CAROLIEiJ-G0020234;0.284;0.312;0.395;0.299;0.624;0.318;0.318;0.308;0.381;0.381;0.4;0.4;1.0;0.988;0.963;0.963;0.938;0.365;0.897;0.876;0.723;0.723;0.714;0.874;0.897;0.674;0.674;0.667;0.574;0.635;0.578
transcript8_MGP-CAROLIEiJ-G0020234;0.287;0.316;0.383;0.29;0.631;0.308;0.308;0.299;0.369;0.369;0.388;0.388;0.988;1.0;0.975;0.975;0.95;0.353;0.885;0.865;0.714;0.714;0.705;0.884;0.907;0.663;0.663;0.655;0.564;0.643;0.566
transcript32_MGP-CAROLIEiJ-G0020234;0.293;0.309;0.358;0.271;0.646;0.29;0.29;0.28;0.345;0.345;0.365;0.365;0.963;0.975;1.0;1.0;0.974;0.329;0.862;0.843;0.696;0.696;0.688;0.905;0.929;0.64;0.64;0.632;0.545;0.659;0.542
transcript42_MGP-CAROLIEiJ-G0020234;0.293;0.309;0.358;0.271;0.646;0.29;0.29;0.28;0.345;0.345;0.365;0.365;0.963;0.975;1.0;1.0;0.974;0.329;0.862;0.843;0.696;0.696;0.688;0.905;0.929;0.64;0.64;0.632;0.545;0.659;0.542
transcript33_MGP-CAROLIEiJ-G0020234;0.3;0.315;0.367;0.252;0.662;0.271;0.271;0.274;0.354;0.354;0.341;0.341;0.938;0.95;0.974;0.974;1.0;0.337;0.839;0.82;0.679;0.679;0.67;0.927;0.905;0.616;0.616;0.609;0.525;0.634;0.518
transcript41_MGP-SPRETEiJ-G0021131;0.583;0.667;0.861;0.55;0.353;0.532;0.532;0.541;0.892;0.892;0.825;0.825;0.365;0.353;0.329;0.329;0.337;1.0;0.417;0.407;0.312;0.312;0.304;0.376;0.368;0.38;0.38;0.375;0.314;0.348;0.308
transcript22_MGP-SPRETEiJ-G0021131;0.302;0.344;0.365;0.327;0.621;0.333;0.333;0.324;0.4;0.4;0.419;0.419;0.897;0.885;0.862;0.862;0.839;0.417;1.0;0.91;0.75;0.75;0.741;0.908;0.931;0.67;0.67;0.663;0.573;0.632;0.54
