;ENSCAFT00000000383_90_90;ENSCAFT00000035671_90_90;ENST00000353331_90_90;ENST00000392348_90_90;ENST00000527536_90_90;ENST00000527613_90_90;ENST00000527759_90_90;ENST00000529826_90_90;ENST00000530429_90_90;ENST00000530767_90_90;ENST00000531224_90_90;ENST00000532384_90_90;ENST00000533422_90_90;ENST00000533621_90_90;ENST00000534269_90_90;ENST00000534762_90_90;ENST00000628517_90_90;ENST00000640069_90_90;ENSMUST00000043881_90_90;ENSMUST00000092678_90_90;ENSMUST00000185800_90_90;ENSMUST00000186100_90_90;ENSMUST00000189158_90_90;ENSMUST00000190156_90_90;ENSMUST00000191438_90_90
ENSCAFT00000000383_90_90;1.0;0.976;0.943;0.943;0.945;0.805;0.996;0.788;0.803;0.81;0.998;0.805;0.137;0.128;0.48;0.203;0.805;0.742;0.998;0.945;0.996;0.804;0.02;0.802;0.633
ENSCAFT00000035671_90_90;0.976;1.0;0.922;0.922;0.925;0.787;0.975;0.77;0.785;0.79;0.978;0.787;0.137;0.123;0.463;0.204;0.787;0.724;0.978;0.924;0.975;0.786;0.02;0.784;0.629
ENST00000353331_90_90;0.943;0.922;1.0;1.0;0.998;0.835;0.947;0.831;0.837;0.757;0.945;0.835;0.145;0.136;0.495;0.15;0.835;0.764;0.944;0.998;0.947;0.835;0.021;0.837;0.671
ENST00000392348_90_90;0.943;0.922;1.0;1.0;0.998;0.835;0.947;0.831;0.837;0.757;0.945;0.835;0.145;0.136;0.495;0.15;0.835;0.764;0.944;0.998;0.947;0.835;0.021;0.837;0.671
ENST00000527536_90_90;0.945;0.925;0.998;0.998;1.0;0.837;0.945;0.833;0.835;0.759;0.947;0.837;0.144;0.135;0.494;0.149;0.837;0.766;0.947;1.0;0.944;0.837;0.021;0.835;0.67
ENST00000527613_90_90;0.805;0.787;0.835;0.835;0.837;1.0;0.791;0.965;0.997;0.608;0.793;1.0;0.0;0.157;0.57;0.031;1.0;0.884;0.793;0.837;0.791;1.0;0.024;0.997;0.511
ENST00000527759_90_90;0.996;0.975;0.947;0.947;0.945;0.791;1.0;0.787;0.793;0.81;0.998;0.791;0.137;0.129;0.469;0.203;0.791;0.724;0.998;0.944;1.0;0.791;0.019;0.792;0.635
ENST00000529826_90_90;0.788;0.77;0.831;0.831;0.833;0.965;0.787;1.0;0.962;0.601;0.789;0.965;0.0;0.163;0.59;0.017;0.965;0.913;0.788;0.833;0.786;0.965;0.024;0.962;0.502
ENST00000530429_90_90;0.803;0.785;0.837;0.837;0.835;0.997;0.793;0.962;1.0;0.606;0.791;0.997;0.0;0.157;0.571;0.031;0.997;0.881;0.791;0.835;0.792;0.997;0.024;1.0;0.513
ENST00000530767_90_90;0.81;0.79;0.757;0.757;0.759;0.608;0.81;0.601;0.606;1.0;0.812;0.608;0.168;0.137;0.573;0.249;0.608;0.542;0.812;0.758;0.809;0.607;0.024;0.605;0.446
ENST00000531224_90_90;0.998;0.978;0.945;0.945;0.947;0.793;0.998;0.789;0.791;0.812;1.0;0.793;0.137;0.128;0.468;0.203;0.793;0.726;1.0;0.947;0.998;0.793;0.019;0.791;0.634
ENST00000532384_90_90;0.805;0.787;0.835;0.835;0.837;1.0;0.791;0.965;0.997;0.608;0.793;1.0;0.0;0.157;0.57;0.031;1.0;0.884;0.793;0.837;0.791;1.0;0.024;0.997;0.511
ENST00000533422_90_90;0.137;0.137;0.145;0.145;0.144;0.0;0.137;0.0;0.0;0.168;0.137;0.0;1.0;0.0;0.0;0.539;0.0;0.0;0.137;0.145;0.137;0.0;0.0;0.0;0.216
ENST00000533621_90_90;0.128;0.123;0.136;0.136;0.135;0.157;0.129;0.163;0.157;0.137;0.128;0.157;0.0;1.0;0.217;0.0;0.157;0.168;0.127;0.135;0.128;0.156;0.0;0.156;0.144
ENST00000534269_90_90;0.48;0.463;0.495;0.495;0.494;0.57;0.469;0.59;0.571;0.573;0.468;0.57;0.0;0.217;1.0;0.0;0.57;0.608;0.467;0.493;0.468;0.568;0.092;0.57;0.174
ENST00000534762_90_90;0.203;0.204;0.15;0.15;0.149;0.031;0.203;0.017;0.031;0.249;0.203;0.031;0.539;0.0;0.0;1.0;0.031;0.0;0.203;0.15;0.203;0.031;0.0;0.031;0.218
ENST00000628517_90_90;0.805;0.787;0.835;0.835;0.837;1.0;0.791;0.965;0.997;0.608;0.793;1.0;0.0;0.157;0.57;0.031;1.0;0.884;0.793;0.837;0.791;1.0;0.024;0.997;0.511
ENST00000640069_90_90;0.742;0.724;0.764;0.764;0.766;0.884;0.724;0.913;0.881;0.542;0.726;0.884;0.0;0.168;0.608;0.0;0.884;1.0;0.741;0.783;0.739;0.908;0.026;0.905;0.453
ENSMUST00000043881_90_90;0.998;0.978;0.944;0.944;0.947;0.793;0.998;0.788;0.791;0.812;1.0;0.793;0.137;0.127;0.467;0.203;0.793;0.741;1.0;0.947;0.998;0.792;0.019;0.79;0.634
ENSMUST00000092678_90_90;0.945;0.924;0.998;0.998;1.0;0.837;0.944;0.833;0.835;0.758;0.947;0.837;0.145;0.135;0.493;0.15;0.837;0.783;0.947;1.0;0.945;0.836;0.02;0.834;0.67
ENSMUST00000185800_90_90;0.996;0.975;0.947;0.947;0.944;0.791;1.0;0.786;0.792;0.809;0.998;0.791;0.137;0.128;0.468;0.203;0.791;0.739;0.998;0.945;1.0;0.79;0.019;0.792;0.636
ENSMUST00000186100_90_90;0.804;0.786;0.835;0.835;0.837;1.0;0.791;0.965;0.997;0.607;0.793;1.0;0.0;0.156;0.568;0.031;1.0;0.908;0.792;0.836;0.79;1.0;0.024;0.997;0.511
ENSMUST00000189158_90_90;0.02;0.02;0.021;0.021;0.021;0.024;0.019;0.024;0.024;0.024;0.019;0.024;0.0;0.0;0.092;0.0;0.024;0.026;0.019;0.02;0.019;0.024;1.0;0.024;0.03
ENSMUST00000190156_90_90;0.802;0.784;0.837;0.837;0.835;0.997;0.792;0.962;1.0;0.605;0.791;0.997;0.0;0.156;0.57;0.031;0.997;0.905;0.79;0.834;0.792;0.997;0.024;1.0;0.512
ENSMUST00000191438_90_90;0.633;0.629;0.671;0.671;0.67;0.511;0.635;0.502;0.513;0.446;0.634;0.511;0.216;0.144;0.174;0.218;0.511;0.453;0.634;0.67;0.636;0.511;0.03;0.512;1.0
