;ENSCAFT00000028867_90_90;ENST00000348628_90_90;ENST00000398376_90_90;ENST00000510347_90_90;ENST00000515758_90_90;ENSMUST00000025519_90_90;ENSMUST00000039904_90_90;ENSMUST00000102888_90_90;ENSMUST00000115295_90_90;ENSMUST00000115297_90_90;ENSMUST00000137805_90_90
ENSCAFT00000028867_90_90;1.0;0.997;0.975;0.188;0.051;0.972;0.326;0.994;0.319;0.099;0.297
ENST00000348628_90_90;0.997;1.0;0.978;0.19;0.051;0.975;0.326;0.997;0.319;0.097;0.299
ENST00000398376_90_90;0.975;0.978;1.0;0.185;0.05;0.997;0.319;0.975;0.34;0.095;0.293
ENST00000510347_90_90;0.188;0.19;0.185;1.0;0.0;0.185;0.0;0.189;0.0;0.355;0.355
ENST00000515758_90_90;0.051;0.051;0.05;0.0;1.0;0.05;0.0;0.051;0.0;0.0;0.138
ENSMUST00000025519_90_90;0.972;0.975;0.997;0.185;0.05;1.0;0.318;0.978;0.34;0.096;0.293
ENSMUST00000039904_90_90;0.326;0.326;0.319;0.0;0.0;0.318;1.0;0.325;0.945;0.0;0.0
ENSMUST00000102888_90_90;0.994;0.997;0.975;0.189;0.051;0.978;0.325;1.0;0.318;0.098;0.299
ENSMUST00000115295_90_90;0.319;0.319;0.34;0.0;0.0;0.34;0.945;0.318;1.0;0.0;0.0
ENSMUST00000115297_90_90;0.099;0.097;0.095;0.355;0.0;0.096;0.0;0.098;0.0;1.0;0.125
ENSMUST00000137805_90_90;0.297;0.299;0.293;0.355;0.138;0.293;0.0;0.299;0.0;0.125;1.0
