;transcript7_ENSMSIG00000000513;transcript38_ENSMSIG00000000513;transcript38_MGP-SPRETEiJ-G0021131;transcript38_ENSMUSG00000054036;transcript52_ENSMSIG00000000513;transcript52_MGP-SPRETEiJ-G0021131;transcript58_ENSMSIG00000000513;transcript58_ENSMUSG00000054036;transcript63_MGP-SPRETEiJ-G0021131;transcript54_ENSMUSG00000054036;transcript55_ENSMUSG00000054036;transcript8_MGP-CAROLIEiJ-G0020234;transcript8_ENSRNOG00000031503;transcript47_MGP-CAROLIEiJ-G0020234;transcript39_MGP-PahariEiJ-G0020237;transcript39_ENSRNOG00000031503;transcript31_ENSRNOG00000031503;transcript32_ENSRNOG00000031503;transcript32_ENSMUGG00000013649;transcript32_ENSMUGG00000013592;transcript50_ENSRNOG00000031503;transcript50_ENSMUGG00000013649;transcript12_ENSMUGG00000013649
transcript7_ENSMSIG00000000513;1.0;0.352;0.341;0.352;0.391;0.379;0.58;0.58;0.248;0.658;0.603;0.601;0.504;0.716;0.516;0.452;0.469;0.469;0.55;0.545;0.489;0.571;0.562
transcript38_ENSMSIG00000000513;0.352;1.0;0.976;1.0;0.8;0.776;0.392;0.392;0.607;0.303;0.388;0.198;0.177;0.323;0.317;0.305;0.323;0.323;0.326;0.323;0.28;0.289;0.304
transcript38_MGP-SPRETEiJ-G0021131;0.341;0.976;1.0;0.976;0.776;0.796;0.378;0.378;0.615;0.294;0.379;0.188;0.167;0.314;0.308;0.295;0.314;0.314;0.319;0.316;0.27;0.281;0.297
transcript38_ENSMUSG00000054036;0.352;1.0;0.976;1.0;0.8;0.776;0.392;0.392;0.607;0.303;0.388;0.198;0.177;0.323;0.317;0.305;0.323;0.323;0.326;0.323;0.28;0.289;0.304
transcript52_ENSMSIG00000000513;0.391;0.8;0.776;0.8;1.0;0.973;0.452;0.452;0.47;0.33;0.303;0.213;0.193;0.351;0.247;0.232;0.25;0.25;0.259;0.257;0.229;0.241;0.238
transcript52_MGP-SPRETEiJ-G0021131;0.379;0.776;0.796;0.776;0.973;1.0;0.435;0.435;0.478;0.32;0.294;0.203;0.181;0.342;0.239;0.223;0.24;0.24;0.252;0.249;0.22;0.234;0.23
transcript58_ENSMSIG00000000513;0.58;0.392;0.378;0.392;0.452;0.435;1.0;1.0;0.288;0.536;0.488;0.4;0.351;0.506;0.378;0.35;0.344;0.344;0.383;0.38;0.326;0.368;0.362
transcript58_ENSMUSG00000054036;0.58;0.392;0.378;0.392;0.452;0.435;1.0;1.0;0.288;0.536;0.488;0.4;0.351;0.506;0.378;0.35;0.344;0.344;0.383;0.38;0.326;0.368;0.362
transcript63_MGP-SPRETEiJ-G0021131;0.248;0.607;0.615;0.607;0.47;0.478;0.288;0.288;1.0;0.521;0.607;0.386;0.354;0.482;0.475;0.455;0.447;0.447;0.476;0.472;0.405;0.44;0.456
transcript54_ENSMUSG00000054036;0.658;0.303;0.294;0.303;0.33;0.32;0.536;0.536;0.521;1.0;0.913;0.804;0.696;0.9;0.688;0.619;0.609;0.609;0.717;0.71;0.596;0.707;0.696
transcript55_ENSMUSG00000054036;0.603;0.388;0.379;0.388;0.303;0.294;0.488;0.488;0.607;0.913;1.0;0.737;0.633;0.826;0.757;0.689;0.677;0.677;0.784;0.777;0.638;0.746;0.763
transcript8_MGP-CAROLIEiJ-G0020234;0.601;0.198;0.188;0.198;0.213;0.203;0.4;0.4;0.386;0.804;0.737;1.0;0.777;0.861;0.603;0.543;0.534;0.534;0.634;0.629;0.536;0.639;0.63
transcript8_ENSRNOG00000031503;0.504;0.177;0.167;0.177;0.193;0.181;0.351;0.351;0.354;0.696;0.633;0.777;1.0;0.669;0.514;0.679;0.666;0.666;0.536;0.532;0.674;0.539;0.53
transcript47_MGP-CAROLIEiJ-G0020234;0.716;0.323;0.314;0.323;0.351;0.342;0.506;0.506;0.482;0.9;0.826;0.861;0.669;1.0;0.679;0.598;0.613;0.613;0.735;0.728;0.602;0.725;0.714
transcript39_MGP-PahariEiJ-G0020237;0.516;0.317;0.308;0.317;0.247;0.239;0.378;0.378;0.475;0.688;0.757;0.603;0.514;0.679;1.0;0.777;0.764;0.764;0.932;0.924;0.726;0.895;0.911
transcript39_ENSRNOG00000031503;0.452;0.305;0.295;0.305;0.232;0.223;0.35;0.35;0.455;0.619;0.689;0.543;0.679;0.598;0.777;1.0;0.98;0.98;0.804;0.798;0.935;0.767;0.782
transcript31_ENSRNOG00000031503;0.469;0.323;0.314;0.323;0.25;0.24;0.344;0.344;0.447;0.609;0.677;0.534;0.666;0.613;0.764;0.98;1.0;1.0;0.819;0.813;0.954;0.782;0.799
transcript32_ENSRNOG00000031503;0.469;0.323;0.314;0.323;0.25;0.24;0.344;0.344;0.447;0.609;0.677;0.534;0.666;0.613;0.764;0.98;1.0;1.0;0.819;0.813;0.954;0.782;0.799
transcript32_ENSMUGG00000013649;0.55;0.326;0.319;0.326;0.259;0.252;0.383;0.383;0.476;0.717;0.784;0.634;0.536;0.735;0.932;0.804;0.819;0.819;1.0;0.992;0.782;0.964;0.979
transcript32_ENSMUGG00000013592;0.545;0.323;0.316;0.323;0.257;0.249;0.38;0.38;0.472;0.71;0.777;0.629;0.532;0.728;0.924;0.798;0.813;0.813;0.992;1.0;0.776;0.955;0.97
transcript50_ENSRNOG00000031503;0.489;0.28;0.27;0.28;0.229;0.22;0.326;0.326;0.405;0.596;0.638;0.536;0.674;0.602;0.726;0.935;0.954;0.954;0.782;0.776;1.0;0.812;0.799
transcript50_ENSMUGG00000013649;0.571;0.289;0.281;0.289;0.241;0.234;0.368;0.368;0.44;0.707;0.746;0.639;0.539;0.725;0.895;0.767;0.782;0.782;0.964;0.955;0.812;1.0;0.984
transcript12_ENSMUGG00000013649;0.562;0.304;0.297;0.304;0.238;0.23;0.362;0.362;0.456;0.696;0.763;0.63;0.53;0.714;0.911;0.782;0.799;0.799;0.979;0.97;0.799;0.984;1.0
