;ENSCAFT00000032187_90_90;ENST00000299980_90_90;ENST00000393512_90_90;ENST00000450149_90_90;ENST00000563104_90_90;ENST00000563259_90_90;ENST00000564155_90_90;ENST00000565009_90_90;ENST00000565412_90_90;ENST00000566179_90_90;ENST00000567583_90_90;ENST00000568327_90_90;ENST00000569185_90_90;ENST00000569748_90_90;ENST00000569975_90_90;ENST00000570017_90_90;ENSMUST00000034171_90_90;ENSMUST00000093157_90_90;ENSMUST00000179104_90_90
ENSCAFT00000032187_90_90;1.0;0.955;0.955;0.364;0.273;0.455;0.091;0.5;0.136;0.091;0.182;0.591;0.227;0.955;0.091;0.045;0.962;1.0;0.0
ENST00000299980_90_90;0.955;1.0;0.963;0.25;0.231;0.423;0.077;0.4;0.115;0.077;0.154;0.536;0.192;1.0;0.077;0.038;0.957;0.88;0.0
ENST00000393512_90_90;0.955;0.963;1.0;0.241;0.222;0.407;0.074;0.387;0.111;0.074;0.148;0.517;0.185;0.963;0.074;0.037;0.957;0.88;0.0
ENST00000450149_90_90;0.364;0.25;0.241;1.0;0.667;0.538;0.0;0.389;0.333;0.0;0.444;0.368;0.556;0.25;0.222;0.111;0.348;0.32;0.0
ENST00000563104_90_90;0.273;0.231;0.222;0.667;1.0;0.545;0.0;0.375;0.5;0.0;0.667;0.353;0.833;0.231;0.333;0.167;0.261;0.24;0.0
ENST00000563259_90_90;0.455;0.423;0.407;0.538;0.545;1.0;0.083;0.688;0.273;0.0;0.364;0.647;0.455;0.423;0.182;0.091;0.435;0.4;0.0
ENST00000564155_90_90;0.091;0.077;0.074;0.0;0.0;0.083;1.0;0.059;0.0;0.0;0.0;0.056;0.0;0.077;0.0;0.0;0.087;0.08;0.0
ENST00000565009_90_90;0.5;0.4;0.387;0.389;0.375;0.688;0.059;1.0;0.188;0.0;0.25;0.571;0.312;0.4;0.125;0.062;0.458;0.48;0.0
ENST00000565412_90_90;0.136;0.115;0.111;0.333;0.5;0.273;0.0;0.188;1.0;0.0;0.75;0.176;0.6;0.115;0.667;0.333;0.13;0.12;0.0
ENST00000566179_90_90;0.091;0.077;0.074;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.077;0.0;0.0;0.087;0.08;0.0
ENST00000567583_90_90;0.182;0.154;0.148;0.444;0.667;0.364;0.0;0.25;0.75;0.0;1.0;0.235;0.8;0.154;0.5;0.25;0.174;0.16;0.0
ENST00000568327_90_90;0.591;0.536;0.517;0.368;0.353;0.647;0.056;0.571;0.176;0.0;0.235;1.0;0.294;0.536;0.118;0.059;0.583;0.6;0.0
ENST00000569185_90_90;0.227;0.192;0.185;0.556;0.833;0.455;0.0;0.312;0.6;0.0;0.8;0.294;1.0;0.192;0.4;0.2;0.217;0.2;0.0
ENST00000569748_90_90;0.955;1.0;0.963;0.25;0.231;0.423;0.077;0.4;0.115;0.077;0.154;0.536;0.192;1.0;0.077;0.038;0.957;0.88;0.0
ENST00000569975_90_90;0.091;0.077;0.074;0.222;0.333;0.182;0.0;0.125;0.667;0.0;0.5;0.118;0.4;0.077;1.0;0.5;0.087;0.08;0.0
ENST00000570017_90_90;0.045;0.038;0.037;0.111;0.167;0.091;0.0;0.062;0.333;0.0;0.25;0.059;0.2;0.038;0.5;1.0;0.043;0.04;0.0
ENSMUST00000034171_90_90;0.962;0.957;0.957;0.348;0.261;0.435;0.087;0.458;0.13;0.087;0.174;0.583;0.217;0.957;0.087;0.043;1.0;0.897;0.0
ENSMUST00000093157_90_90;1.0;0.88;0.88;0.32;0.24;0.4;0.08;0.48;0.12;0.08;0.16;0.6;0.2;0.88;0.08;0.04;0.897;1.0;0.0
ENSMUST00000179104_90_90;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0
