id_transcript;block_sequence
ENSCAFT00000015696_90_90;0.2.5.6.7.8.10.12.13.14.15.16.17.18.19.20.21.22.24.26.27.28.29.30
ENST00000370183_90_90;7.8.10.12.13.14.15.16.17.18.19.20.21.22.24.26.27.28.29
ENST00000370187_90_90;1.2.3.6.7.8.10.12.13.14.15.16.17.18.19.20.21.22.24.26.27.28.29.30
ENST00000393441_90_90;1.2.3.6.7.15.16.17.18.19.20.21.22.24.26.27.28.29.30
ENST00000408038_90_90;1.2.3.8.10.12.13.14.15.16.17.18.19.20.21.22.24.26.27.28.29.30
ENSMUST00000065601_90_90;1.2.4.13.14.15.17.31.32.33.34.35
ENSMUST00000111936_90_90;1.2.4.31.32.33.34.35
ENSMUST00000223684_90_90;32.33
ENSMUST00000223764_90_90;1.2.4.33.34
ENSMUST00000224102_90_90;1.2.4.8.9.10.11.12.13.14.15.17.18.20.22.23.24.25.26.28
ENSMUST00000224318_90_90;14.15.17
ENSMUST00000224478_90_90;32.33.34.35
