;ENSCAFT00000000625_90_90;ENST00000367378_90_90;ENST00000367380_90_90;ENST00000367384_90_90;ENST00000460828_90_90;ENST00000464889_90_90;ENST00000484601_90_90;ENST00000486585_90_90;ENST00000494411_90_90;ENST00000495487_90_90;ENST00000544496_90_90;ENSMUST00000159917_90_90;ENSMUST00000159977_90_90;ENSMUST00000161123_90_90;ENSMUST00000161428_90_90;ENSMUST00000162606_90_90;ENSMUST00000162682_90_90;ENSMUST00000163085_90_90
ENSCAFT00000000625_90_90;1.0;0.194;0.171;0.194;0.293;0.194;0.289;0.236;0.283;0.004;0.209;0.028;0.0;0.007;0.0;0.027;0.0;0.003
ENST00000367378_90_90;0.194;1.0;0.877;0.98;0.379;1.0;0.374;0.154;0.367;0.337;0.877;0.591;0.0;0.064;0.36;0.579;0.142;0.556
ENST00000367380_90_90;0.171;0.877;1.0;0.859;0.26;0.877;0.256;0.174;0.251;0.271;0.754;0.493;0.0;0.0;0.404;0.482;0.16;0.511
ENST00000367384_90_90;0.194;0.98;0.859;1.0;0.378;0.98;0.373;0.154;0.365;0.336;0.859;0.579;0.0;0.063;0.359;0.592;0.141;0.544
ENST00000460828_90_90;0.293;0.379;0.26;0.378;1.0;0.379;0.839;0.337;0.803;0.115;0.43;0.123;0.0;0.168;0.0;0.122;0.0;0.087
ENST00000464889_90_90;0.194;1.0;0.877;0.98;0.379;1.0;0.374;0.154;0.367;0.337;0.877;0.591;0.0;0.064;0.36;0.579;0.142;0.556
ENST00000484601_90_90;0.289;0.374;0.256;0.373;0.839;0.374;1.0;0.327;0.78;0.113;0.424;0.134;0.0;0.189;0.0;0.134;0.0;0.099
ENST00000486585_90_90;0.236;0.154;0.174;0.154;0.337;0.154;0.327;1.0;0.314;0.0;0.174;0.0;0.0;0.0;0.0;0.0;0.0;0.0
ENST00000494411_90_90;0.283;0.367;0.251;0.365;0.803;0.367;0.78;0.314;1.0;0.11;0.414;0.093;0.0;0.111;0.0;0.093;0.0;0.06
ENST00000495487_90_90;0.004;0.337;0.271;0.336;0.115;0.337;0.113;0.0;0.11;1.0;0.214;0.347;0.0;0.124;0.435;0.345;0.37;0.363
ENST00000544496_90_90;0.209;0.877;0.754;0.859;0.43;0.877;0.424;0.174;0.414;0.214;1.0;0.491;0.0;0.07;0.25;0.48;0.035;0.456
ENSMUST00000159917_90_90;0.028;0.591;0.493;0.579;0.123;0.591;0.134;0.0;0.093;0.347;0.491;1.0;0.078;0.33;0.48;0.98;0.23;0.951
ENSMUST00000159977_90_90;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.078;1.0;0.21;0.126;0.078;0.335;0.082
ENSMUST00000161123_90_90;0.007;0.064;0.0;0.063;0.168;0.064;0.189;0.0;0.111;0.124;0.07;0.33;0.21;1.0;0.139;0.329;0.145;0.342
ENSMUST00000161428_90_90;0.0;0.36;0.404;0.359;0.0;0.36;0.0;0.0;0.0;0.435;0.25;0.48;0.126;0.139;1.0;0.478;0.372;0.502
ENSMUST00000162606_90_90;0.027;0.579;0.482;0.592;0.122;0.579;0.134;0.0;0.093;0.345;0.48;0.98;0.078;0.329;0.478;1.0;0.23;0.932
ENSMUST00000162682_90_90;0.0;0.142;0.16;0.141;0.0;0.142;0.0;0.0;0.0;0.37;0.035;0.23;0.335;0.145;0.372;0.23;1.0;0.242
ENSMUST00000163085_90_90;0.003;0.556;0.511;0.544;0.087;0.556;0.099;0.0;0.06;0.363;0.456;0.951;0.082;0.342;0.502;0.932;0.242;1.0
