;ENSCAFT00000031982_90_90;ENST00000373064_90_90;ENST00000373066_90_90;ENST00000373068_90_90;ENST00000373069_90_90;ENST00000432073_90_90;ENST00000466983_90_90;ENST00000472769_90_90;ENSMUST00000028160_90_90;ENSMUST00000052119_90_90;ENSMUST00000113307_90_90;ENSMUST00000113308_90_90;ENSMUST00000113310_90_90;ENSMUST00000127961_90_90;ENSMUST00000136361_90_90;ENSMUST00000153886_90_90
ENSCAFT00000031982_90_90;1.0;0.735;0.771;0.964;1.0;0.735;0.252;0.0;1.0;0.808;0.772;0.772;0.964;0.313;0.439;0.255
ENST00000373064_90_90;0.735;1.0;0.742;0.698;0.655;0.807;0.303;0.092;0.66;0.732;1.0;0.8;0.708;0.323;0.541;0.347
ENST00000373066_90_90;0.771;0.742;1.0;0.643;0.706;0.916;0.274;0.0;0.718;1.0;0.732;0.91;0.648;0.406;0.479;0.304
ENST00000373068_90_90;0.964;0.698;0.643;1.0;0.933;0.684;0.257;0.0;0.925;0.648;0.708;0.695;1.0;0.279;0.46;0.29
ENST00000373069_90_90;1.0;0.655;0.706;0.933;1.0;0.643;0.242;0.0;1.0;0.718;0.66;0.648;0.925;0.353;0.424;0.265
ENST00000432073_90_90;0.735;0.807;0.916;0.684;0.643;1.0;0.297;0.0;0.648;0.91;0.8;1.0;0.695;0.319;0.533;0.342
ENST00000466983_90_90;0.252;0.303;0.274;0.257;0.242;0.297;1.0;0.0;0.235;0.261;0.291;0.285;0.252;0.074;0.178;0.257
ENST00000472769_90_90;0.0;0.092;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.1;0.0;0.0;0.0;0.0;0.0
ENSMUST00000028160_90_90;1.0;0.66;0.718;0.925;1.0;0.648;0.235;0.0;1.0;0.726;0.672;0.66;0.929;0.328;0.388;0.256
ENSMUST00000052119_90_90;0.808;0.732;1.0;0.648;0.718;0.91;0.261;0.0;0.726;1.0;0.742;0.916;0.66;0.37;0.427;0.29
ENSMUST00000113307_90_90;0.772;1.0;0.732;0.708;0.66;0.8;0.291;0.1;0.672;0.742;1.0;0.807;0.719;0.296;0.472;0.328
ENSMUST00000113308_90_90;0.772;0.8;0.91;0.695;0.648;1.0;0.285;0.0;0.66;0.916;0.807;1.0;0.706;0.291;0.464;0.323
ENSMUST00000113310_90_90;0.964;0.708;0.648;1.0;0.925;0.695;0.252;0.0;0.929;0.66;0.719;0.706;1.0;0.261;0.414;0.278
ENSMUST00000127961_90_90;0.313;0.323;0.406;0.279;0.353;0.319;0.074;0.0;0.328;0.37;0.296;0.291;0.261;1.0;0.586;0.422
ENSMUST00000136361_90_90;0.439;0.541;0.479;0.46;0.424;0.533;0.178;0.0;0.388;0.427;0.472;0.464;0.414;0.586;1.0;0.491
ENSMUST00000153886_90_90;0.255;0.347;0.304;0.29;0.265;0.342;0.257;0.0;0.256;0.29;0.328;0.323;0.278;0.422;0.491;1.0
