;ENSCAFT00000002127_90_90;ENSCAFT00000010587_90_90;ENST00000360332_90_90;ENST00000374174_90_90;ENST00000374176_90_90;ENST00000374179_90_90;ENST00000374182_90_90;ENST00000374189_90_90;ENST00000395611_90_90;ENST00000426557_90_90;ENST00000429041_90_90;ENST00000432379_90_90;ENST00000229794_90_90;ENST00000229795_90_90;ENST00000310795_90_90;ENST00000468133_90_90;ENST00000472333_90_90;ENST00000474429_90_90;ENST00000491957_90_90;ENST00000622903_90_90;ENSMUST00000022504_90_90;ENSMUST00000111942_90_90;ENSMUST00000111943_90_90;ENSMUST00000111944_90_90;ENSMUST00000111945_90_90;ENSMUST00000004990_90_90;ENSMUST00000062694_90_90;ENSMUST00000114752_90_90;ENSMUST00000114754_90_90;ENSMUST00000114758_90_90;ENSMUST00000124886_90_90
ENSCAFT00000002127_90_90;1.0;0.51;0.429;0.532;0.459;0.499;0.44;0.406;0.459;0.384;0.261;0.386;0.994;0.857;0.851;0.783;0.369;0.242;0.447;0.447;0.465;0.429;0.505;0.41;0.445;0.854;0.991;0.783;0.783;0.693;0.56
ENSCAFT00000010587_90_90;0.51;1.0;0.802;0.518;0.876;0.981;0.882;0.792;0.876;0.37;0.251;0.372;0.509;0.432;0.57;0.356;0.339;0.227;0.414;0.414;0.883;0.801;0.99;0.797;0.889;0.507;0.507;0.356;0.356;0.656;0.515
ENST00000360332_90_90;0.429;0.802;1.0;0.64;0.715;0.802;0.802;0.715;0.715;0.461;0.313;0.463;0.428;0.428;0.483;0.266;0.393;0.283;0.513;0.513;0.713;0.998;0.801;0.713;0.801;0.444;0.426;0.266;0.266;0.562;0.641
ENST00000374174_90_90;0.532;0.518;0.64;1.0;0.467;0.518;0.518;0.467;0.467;0.651;0.441;0.654;0.53;0.53;0.617;0.33;0.549;0.399;0.715;0.715;0.466;0.639;0.516;0.466;0.516;0.528;0.528;0.33;0.33;0.723;0.901
ENST00000374176_90_90;0.459;0.876;0.715;0.467;1.0;0.892;0.792;0.894;1.0;0.333;0.226;0.334;0.458;0.394;0.508;0.318;0.3;0.205;0.373;0.373;0.989;0.713;0.882;0.885;0.784;0.461;0.457;0.318;0.318;0.577;0.464
ENST00000374179_90_90;0.499;0.981;0.802;0.518;0.892;1.0;0.882;0.792;0.892;0.37;0.251;0.372;0.498;0.426;0.557;0.346;0.333;0.227;0.414;0.414;0.882;0.801;0.988;0.784;0.873;0.501;0.496;0.346;0.346;0.641;0.515
ENST00000374182_90_90;0.44;0.882;0.802;0.518;0.792;0.882;1.0;0.892;0.792;0.37;0.251;0.372;0.439;0.373;0.489;0.293;0.323;0.227;0.414;0.414;0.784;0.801;0.873;0.883;0.99;0.442;0.437;0.293;0.293;0.56;0.515
ENST00000374189_90_90;0.406;0.792;0.715;0.467;0.894;0.792;0.892;1.0;0.894;0.333;0.226;0.334;0.405;0.345;0.448;0.27;0.291;0.205;0.373;0.373;0.885;0.713;0.784;0.991;0.883;0.408;0.404;0.27;0.27;0.507;0.464
ENST00000395611_90_90;0.459;0.876;0.715;0.467;1.0;0.892;0.792;0.894;1.0;0.333;0.226;0.334;0.458;0.394;0.508;0.318;0.3;0.205;0.373;0.373;0.989;0.713;0.882;0.885;0.784;0.461;0.457;0.318;0.318;0.577;0.464
ENST00000426557_90_90;0.384;0.37;0.461;0.651;0.333;0.37;0.37;0.333;0.333;1.0;0.319;0.995;0.383;0.383;0.448;0.174;0.298;0.61;0.79;0.79;0.332;0.459;0.369;0.332;0.369;0.38;0.38;0.174;0.174;0.529;0.668
