;transcript18_ENSPCIG00000036398;transcript8_ENSMUNG00000002377;transcript23_ENSMUNG00000002377;transcript15_ENSMUNG00000002377;transcript16_ENSMUNG00000002377;transcript22_ENSMUNG00000002377;transcript3_ENSPCIG00000036398;transcript15_ENSPCIG00000036398;transcript7_ENSPCIG00000036398;transcript8_ENSPCIG00000036398;transcript7_ENSHGLG00100006079;transcript10_ENSHGLG00100006079;transcript10_ENSMUNG00000002391;transcript3_ENSMUNG00000002391;transcript11_ENSHGLG00000019563;transcript26_ENSHGLG00000019563;transcript27_ENSHGLG00000019563;transcript8_ENSHGLG00100003156;transcript10_ENSHGLG00100003156;transcript20_ENSHGLG00100003156;transcript8_ENSHGLG00000019563;transcript10_ENSHGLG00000019563;transcript13_ENSHGLG00000019563;transcript28_ENSHGLG00000019563;transcript3_ENSMUNG00000007775
transcript18_ENSPCIG00000036398;1.0;0.839;0.276;0.276;0.263;0.265;0.266;0.294;1.0;1.0;0.85;0.85;0.841;0.252;0.736;0.573;0.736;0.841;0.841;0.841;0.841;0.841;0.841;0.829;0.252
transcript8_ENSMUNG00000002377;0.839;1.0;0.325;0.325;0.311;0.313;0.255;0.281;0.839;0.839;0.944;0.944;0.981;0.293;0.642;0.5;0.642;0.981;0.981;0.981;0.981;0.981;0.981;0.969;0.292
transcript23_ENSMUNG00000002377;0.276;0.325;1.0;1.0;0.86;0.852;0.859;0.945;0.276;0.276;0.31;0.31;0.323;0.9;0.209;0.163;0.209;0.323;0.323;0.323;0.323;0.323;0.323;0.319;0.9
transcript15_ENSMUNG00000002377;0.276;0.325;1.0;1.0;0.86;0.852;0.859;0.945;0.276;0.276;0.31;0.31;0.323;0.9;0.209;0.163;0.209;0.323;0.323;0.323;0.323;0.323;0.323;0.319;0.9
transcript16_ENSMUNG00000002377;0.263;0.311;0.86;0.86;1.0;0.895;0.901;0.811;0.263;0.263;0.296;0.296;0.309;0.942;0.199;0.155;0.199;0.309;0.309;0.309;0.309;0.309;0.309;0.305;0.942
transcript22_ENSMUNG00000002377;0.265;0.313;0.852;0.852;0.895;1.0;0.894;0.803;0.265;0.265;0.299;0.299;0.311;0.935;0.201;0.157;0.201;0.311;0.311;0.311;0.311;0.311;0.311;0.308;0.935
transcript3_ENSPCIG00000036398;0.266;0.255;0.859;0.859;0.901;0.894;1.0;0.905;0.266;0.266;0.254;0.254;0.258;0.952;0.197;0.153;0.197;0.258;0.258;0.258;0.258;0.258;0.258;0.254;0.953
transcript15_ENSPCIG00000036398;0.294;0.281;0.945;0.945;0.811;0.803;0.905;1.0;0.294;0.294;0.28;0.28;0.283;0.862;0.217;0.169;0.217;0.283;0.283;0.283;0.283;0.283;0.283;0.28;0.862
transcript7_ENSPCIG00000036398;1.0;0.839;0.276;0.276;0.263;0.265;0.266;0.294;1.0;1.0;0.85;0.85;0.841;0.252;0.736;0.573;0.736;0.841;0.841;0.841;0.841;0.841;0.841;0.829;0.252
transcript8_ENSPCIG00000036398;1.0;0.839;0.276;0.276;0.263;0.265;0.266;0.294;1.0;1.0;0.85;0.85;0.841;0.252;0.736;0.573;0.736;0.841;0.841;0.841;0.841;0.841;0.841;0.829;0.252
