;transcript7_ENSMPUG00000020072;transcript7_ENSMLUG00000027828;transcript7_ENSSTOG00000019743;transcript7_ENSCCNG00000000226;transcript25_ENSMPUG00000020072;transcript25_ENSMLUG00000027828;transcript28_ENSMPUG00000020072;transcript12_ENSECAG00000007947;transcript12_ENSMLUG00000027828;transcript23_ENSECAG00000007947;transcript31_ENSECAG00000007947;transcript32_ENSECAG00000007947;transcript33_ENSECAG00000007947;transcript15_ENSMLUG00000027828;transcript16_ENSMLUG00000027828;transcript26_ENSMLUG00000027828;transcript27_ENSMLUG00000027828
transcript7_ENSMPUG00000020072;1.0;0.86;0.846;0.914;0.068;0.062;0.057;0.051;0.047;0.051;0.051;0.054;0.051;0.048;0.061;0.064;0.067
transcript7_ENSMLUG00000027828;0.86;1.0;0.788;0.857;0.061;0.065;0.051;0.048;0.049;0.048;0.048;0.05;0.048;0.05;0.063;0.067;0.07
transcript7_ENSSTOG00000019743;0.846;0.788;1.0;0.914;0.062;0.061;0.052;0.051;0.046;0.051;0.051;0.054;0.051;0.047;0.059;0.063;0.066
transcript7_ENSCCNG00000000226;0.914;0.857;0.914;1.0;0.068;0.067;0.056;0.056;0.051;0.056;0.056;0.059;0.056;0.052;0.065;0.069;0.072
transcript25_ENSMPUG00000020072;0.068;0.061;0.062;0.068;1.0;0.849;0.751;0.702;0.695;0.702;0.702;0.732;0.708;0.675;0.827;0.823;0.737
transcript25_ENSMLUG00000027828;0.062;0.065;0.061;0.067;0.849;1.0;0.653;0.693;0.757;0.693;0.693;0.692;0.699;0.734;0.912;0.97;0.859
transcript28_ENSMPUG00000020072;0.057;0.051;0.052;0.056;0.751;0.653;1.0;0.855;0.833;0.855;0.855;0.892;0.862;0.813;0.639;0.632;0.566
transcript12_ENSECAG00000007947;0.051;0.048;0.051;0.056;0.702;0.693;0.855;1.0;0.916;1.0;1.0;0.951;0.989;0.898;0.719;0.673;0.649
transcript12_ENSMLUG00000027828;0.047;0.049;0.046;0.051;0.695;0.757;0.833;0.916;1.0;0.916;0.916;0.874;0.911;0.977;0.782;0.734;0.703
transcript23_ENSECAG00000007947;0.051;0.048;0.051;0.056;0.702;0.693;0.855;1.0;0.916;1.0;1.0;0.951;0.989;0.898;0.719;0.673;0.649
transcript31_ENSECAG00000007947;0.051;0.048;0.051;0.056;0.702;0.693;0.855;1.0;0.916;1.0;1.0;0.951;0.989;0.898;0.719;0.673;0.649
transcript32_ENSECAG00000007947;0.054;0.05;0.054;0.059;0.732;0.692;0.892;0.951;0.874;0.951;0.951;1.0;0.96;0.855;0.676;0.672;0.606
transcript33_ENSECAG00000007947;0.051;0.048;0.051;0.056;0.708;0.699;0.862;0.989;0.911;0.989;0.989;0.96;1.0;0.893;0.713;0.68;0.643
transcript15_ENSMLUG00000027828;0.048;0.05;0.047;0.052;0.675;0.734;0.813;0.898;0.977;0.898;0.898;0.855;0.893;1.0;0.8;0.751;0.719
transcript16_ENSMLUG00000027828;0.061;0.063;0.059;0.065;0.827;0.912;0.639;0.719;0.782;0.719;0.719;0.676;0.713;0.8;1.0;0.939;0.899
transcript26_ENSMLUG00000027828;0.064;0.067;0.063;0.069;0.823;0.97;0.632;0.673;0.734;0.673;0.673;0.672;0.68;0.751;0.939;1.0;0.884
transcript27_ENSMLUG00000027828;0.067;0.07;0.066;0.072;0.737;0.859;0.566;0.649;0.703;0.649;0.649;0.606;0.643;0.719;0.899;0.884;1.0
