;transcript5_ENSHGLG00100003156;transcript18_ENSHGLG00100003156;transcript33_ENSHGLG00100003156;transcript34_ENSHGLG00100003156;transcript35_ENSHGLG00100003156;transcript36_ENSHGLG00100003156;transcript5_ENSHGLG00100006079;transcript30_ENSHGLG00100006079;transcript5_ENSPCIG00000036398;transcript5_ENSXMAG00000026005;transcript7_ENSXMAG00000026005
transcript5_ENSHGLG00100003156;1.0;1.0;0.962;0.962;0.192;0.962;0.615;0.192;1.0;1.0;1.0
transcript18_ENSHGLG00100003156;1.0;1.0;0.962;0.962;0.192;0.962;0.615;0.192;1.0;1.0;1.0
transcript33_ENSHGLG00100003156;0.962;0.962;1.0;0.923;0.154;0.923;0.577;0.154;0.962;0.962;0.962
transcript34_ENSHGLG00100003156;0.962;0.962;0.923;1.0;0.154;0.923;0.577;0.154;0.962;0.962;0.962
transcript35_ENSHGLG00100003156;0.192;0.192;0.154;0.154;1.0;0.154;0.312;1.0;0.192;0.192;0.192
transcript36_ENSHGLG00100003156;0.962;0.962;0.923;0.923;0.154;1.0;0.577;0.154;0.962;0.962;0.962
transcript5_ENSHGLG00100006079;0.615;0.615;0.577;0.577;0.312;0.577;1.0;0.312;0.615;0.615;0.615
transcript30_ENSHGLG00100006079;0.192;0.192;0.154;0.154;1.0;0.154;0.312;1.0;0.192;0.192;0.192
transcript5_ENSPCIG00000036398;1.0;1.0;0.962;0.962;0.192;0.962;0.615;0.192;1.0;1.0;1.0
transcript5_ENSXMAG00000026005;1.0;1.0;0.962;0.962;0.192;0.962;0.615;0.192;1.0;1.0;1.0
transcript7_ENSXMAG00000026005;1.0;1.0;0.962;0.962;0.192;0.962;0.615;0.192;1.0;1.0;1.0
