;transcript40_ENSRNOG00000031503;transcript47_ENSRNOG00000031503;transcript20_ENSMUGG00000013649;transcript47_ENSMUGG00000013649;transcript20_ENSMUGG00000013592;transcript19_ENSPEMG00000024651;transcript38_ENSPEMG00000024651;transcript47_ENSPEMG00000024651;transcript27_ENSNGAG00000018584;transcript7_ENSSTOG00000019743;transcript24_ENSSTOG00000019743;transcript25_ENSSTOG00000019743;transcript32_ENSSTOG00000019743
transcript40_ENSRNOG00000031503;1.0;0.984;1.0;0.922;1.0;1.0;1.0;0.925;1.0;1.0;0.922;1.0;1.0
transcript47_ENSRNOG00000031503;0.984;1.0;0.984;0.906;0.983;0.981;0.981;0.906;0.977;0.984;0.906;0.984;0.984
transcript20_ENSMUGG00000013649;1.0;0.984;1.0;0.92;1.0;1.0;1.0;0.935;1.0;1.0;0.92;1.0;1.0
transcript47_ENSMUGG00000013649;0.922;0.906;0.92;1.0;0.985;0.935;0.935;1.0;1.0;0.92;1.0;0.92;0.92
transcript20_ENSMUGG00000013592;1.0;0.983;1.0;0.985;1.0;1.0;1.0;0.982;1.0;1.0;0.985;1.0;1.0
transcript19_ENSPEMG00000024651;1.0;0.981;1.0;0.935;1.0;1.0;1.0;0.935;1.0;1.0;0.935;1.0;1.0
transcript38_ENSPEMG00000024651;1.0;0.981;1.0;0.935;1.0;1.0;1.0;0.935;1.0;1.0;0.935;1.0;1.0
transcript47_ENSPEMG00000024651;0.925;0.906;0.935;1.0;0.982;0.935;0.935;1.0;1.0;0.935;1.0;0.935;0.935
transcript27_ENSNGAG00000018584;1.0;0.977;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0
transcript7_ENSSTOG00000019743;1.0;0.984;1.0;0.92;1.0;1.0;1.0;0.935;1.0;1.0;0.92;1.0;1.0
transcript24_ENSSTOG00000019743;0.922;0.906;0.92;1.0;0.985;0.935;0.935;1.0;1.0;0.92;1.0;0.92;0.92
transcript25_ENSSTOG00000019743;1.0;0.984;1.0;0.92;1.0;1.0;1.0;0.935;1.0;1.0;0.92;1.0;1.0
transcript32_ENSSTOG00000019743;1.0;0.984;1.0;0.92;1.0;1.0;1.0;0.935;1.0;1.0;0.92;1.0;1.0
