;ENSCAFT00000002475_90_90;ENST00000341376_90_90;ENST00000353205_90_90;ENSMUST00000046719_90_90;ENSMUST00000078800_90_90;ENSMUST00000159063_90_90;ENSMUST00000159237_90_90;ENSMUST00000159535_90_90;ENSMUST00000160319_90_90;ENSMUST00000161117_90_90;ENSMUST00000161256_90_90;ENSMUST00000162460_90_90
ENSCAFT00000002475_90_90;1.0;0.965;0.817;0.903;0.871;0.683;0.459;0.551;0.833;0.609;0.504;0.758
ENST00000341376_90_90;0.965;1.0;0.792;0.936;0.903;0.667;0.445;0.584;0.865;0.589;0.491;0.739
ENST00000353205_90_90;0.817;0.792;1.0;0.739;0.758;0.807;0.55;0.475;0.667;0.558;0.604;0.908
ENSMUST00000046719_90_90;0.903;0.936;0.739;1.0;0.965;0.716;0.445;0.635;0.925;0.643;0.537;0.792
ENSMUST00000078800_90_90;0.871;0.903;0.758;0.965;1.0;0.736;0.459;0.657;0.89;0.666;0.555;0.817
ENSMUST00000159063_90_90;0.683;0.667;0.807;0.716;0.736;1.0;0.459;0.575;0.765;0.531;0.661;0.891
ENSMUST00000159237_90_90;0.459;0.445;0.55;0.445;0.459;0.459;1.0;0.189;0.378;0.351;0.668;0.55
ENSMUST00000159535_90_90;0.551;0.584;0.475;0.635;0.657;0.575;0.189;1.0;0.686;0.63;0.312;0.528
ENSMUST00000160319_90_90;0.833;0.865;0.667;0.925;0.89;0.765;0.378;0.686;1.0;0.567;0.514;0.716
ENSMUST00000161117_90_90;0.609;0.589;0.558;0.643;0.666;0.531;0.351;0.63;0.567;1.0;0.454;0.623
ENSMUST00000161256_90_90;0.504;0.491;0.604;0.537;0.555;0.661;0.668;0.312;0.514;0.454;1.0;0.682
ENSMUST00000162460_90_90;0.758;0.739;0.908;0.792;0.817;0.891;0.55;0.528;0.716;0.623;0.682;1.0
