;transcript33_ENSMUSG00000054036;transcript33_MGP-PahariEiJ-G0020237;transcript27_ENSRNOG00000031503;transcript27_ENSMUGG00000013649;transcript34_ENSRNOG00000031503;transcript37_ENSMUGG00000013649;transcript38_ENSMUGG00000013649;transcript40_ENSMUGG00000013649;transcript45_ENSMUGG00000013649;transcript46_ENSMUGG00000013649;transcript49_ENSMUGG00000013649;transcript39_ENSMUGG00000013592
transcript33_ENSMUSG00000054036;1.0;0.865;0.65;0.857;0.65;0.158;0.897;0.857;0.897;0.868;0.872;0.857
transcript33_MGP-PahariEiJ-G0020237;0.865;1.0;0.575;0.786;0.575;0.171;0.821;0.786;0.821;0.789;0.795;0.786
transcript27_ENSRNOG00000031503;0.65;0.575;1.0;0.714;1.0;0.226;0.7;0.714;0.7;0.625;0.675;0.714
transcript27_ENSMUGG00000013649;0.857;0.786;0.714;1.0;0.714;0.19;0.905;1.0;0.905;0.833;0.881;1.0
transcript34_ENSRNOG00000031503;0.65;0.575;1.0;0.714;1.0;0.226;0.7;0.714;0.7;0.625;0.675;0.714
transcript37_ENSMUGG00000013649;0.158;0.171;0.226;0.19;0.226;1.0;0.122;0.19;0.122;0.075;0.098;0.19
transcript38_ENSMUGG00000013649;0.897;0.821;0.7;0.905;0.7;0.122;1.0;0.905;1.0;0.921;0.974;0.905
transcript40_ENSMUGG00000013649;0.857;0.786;0.714;1.0;0.714;0.19;0.905;1.0;0.905;0.833;0.881;1.0
transcript45_ENSMUGG00000013649;0.897;0.821;0.7;0.905;0.7;0.122;1.0;0.905;1.0;0.921;0.974;0.905
transcript46_ENSMUGG00000013649;0.868;0.789;0.625;0.833;0.625;0.075;0.921;0.833;0.921;1.0;0.946;0.833
transcript49_ENSMUGG00000013649;0.872;0.795;0.675;0.881;0.675;0.098;0.974;0.881;0.974;0.946;1.0;0.881
transcript39_ENSMUGG00000013592;0.857;0.786;0.714;1.0;0.714;0.19;0.905;1.0;0.905;0.833;0.881;1.0
