;ENSCAFT00000047985_90_90;ENST00000320280_90_90;ENST00000510030_90_90;ENST00000511551_90_90;ENST00000614488_90_90;ENST00000618166_90_90;ENST00000621999_90_90;ENSMUST00000022197_90_90;ENSMUST00000138255_90_90;ENSMUST00000152555_90_90;ENSMUST00000153558_90_90
ENSCAFT00000047985_90_90;;0.451;0.091;0.424;0.415;0.66;0.78;0.691;0.319;0.658;0.658
ENST00000320280_90_90;0.451;;;;;;;0.496;0.352;0.671;0.671
ENST00000510030_90_90;0.091;;;;;;;0.101;0.281;0.136;0.136
ENST00000511551_90_90;0.424;;;;;;;0.233;0.256;0.162;0.162
ENST00000614488_90_90;0.415;;;;;;;0.377;0.512;0.309;0.309
ENST00000618166_90_90;0.66;;;;;;;0.732;0.436;0.859;0.859
ENST00000621999_90_90;0.78;;;;;;;0.753;0.364;0.73;0.73
ENSMUST00000022197_90_90;0.691;0.496;0.101;0.233;0.377;0.732;0.753;;;;
ENSMUST00000138255_90_90;0.319;0.352;0.281;0.256;0.512;0.436;0.364;;;;
ENSMUST00000152555_90_90;0.658;0.671;0.136;0.162;0.309;0.859;0.73;;;;
ENSMUST00000153558_90_90;0.658;0.671;0.136;0.162;0.309;0.859;0.73;;;;
