;ENSCAFT00000005965_90_90;ENSCAFT00000045237_90_90;ENST00000323906_90_90;ENST00000391859_90_90;ENST00000426897_90_90;ENST00000535669_90_90;ENST00000594743_90_90;ENST00000595660_90_90;ENST00000595725_90_90;ENST00000597602_90_90;ENST00000598095_90_90;ENSMUST00000033063_90_90;ENSMUST00000098461_90_90;ENSMUST00000209779_90_90;ENSMUST00000210078_90_90;ENSMUST00000210226_90_90;ENSMUST00000210372_90_90;ENSMUST00000211373_90_90
ENSCAFT00000005965_90_90;1.0;0.944;0.458;0.2;0.556;0.385;0.368;0.259;0.261;0.056;0.45;0.423;0.458;0.32;0.375;0.158;0.0;0.4
ENSCAFT00000045237_90_90;0.944;1.0;0.478;0.208;0.588;0.4;0.389;0.269;0.273;0.059;0.474;0.44;0.478;0.333;0.391;0.167;0.0;0.417
ENST00000323906_90_90;0.458;0.478;1.0;0.611;0.588;0.842;0.389;0.435;0.647;0.059;0.474;0.8;0.889;0.684;0.684;0.167;0.227;0.789
ENST00000391859_90_90;0.2;0.208;0.611;1.0;0.222;0.579;0.111;0.556;0.769;0.083;0.211;0.476;0.526;0.588;0.5;0.0;0.294;0.526
ENST00000426897_90_90;0.556;0.588;0.588;0.222;1.0;0.474;0.636;0.13;0.312;0.1;0.75;0.526;0.588;0.389;0.471;0.273;0.0;0.5
ENST00000535669_90_90;0.385;0.4;0.842;0.579;0.474;1.0;0.368;0.417;0.611;0.056;0.611;0.682;0.75;0.65;0.65;0.222;0.217;0.842
ENST00000594743_90_90;0.368;0.389;0.389;0.111;0.636;0.368;1.0;0.043;0.188;0.0;0.583;0.35;0.389;0.278;0.353;0.333;0.0;0.389
ENST00000595660_90_90;0.259;0.269;0.435;0.556;0.13;0.417;0.043;1.0;0.5;0.062;0.125;0.346;0.375;0.409;0.348;0.0;0.368;0.375
ENST00000595725_90_90;0.261;0.273;0.647;0.769;0.312;0.611;0.188;0.5;1.0;0.091;0.294;0.5;0.556;0.625;0.529;0.0;0.235;0.556
ENST00000597602_90_90;0.056;0.059;0.059;0.083;0.1;0.056;0.0;0.062;0.091;1.0;0.091;0.053;0.059;0.067;0.067;0.0;0.0;0.059
ENST00000598095_90_90;0.45;0.474;0.474;0.211;0.75;0.611;0.583;0.125;0.294;0.091;1.0;0.429;0.474;0.368;0.444;0.364;0.0;0.556
ENSMUST00000033063_90_90;0.423;0.44;0.8;0.476;0.526;0.682;0.35;0.346;0.5;0.053;0.429;1.0;0.895;0.7;0.789;0.15;0.261;0.8
ENSMUST00000098461_90_90;0.458;0.478;0.889;0.526;0.588;0.75;0.389;0.375;0.556;0.059;0.474;0.895;1.0;0.778;0.778;0.167;0.286;0.889
ENSMUST00000209779_90_90;0.32;0.333;0.684;0.588;0.389;0.65;0.278;0.409;0.625;0.067;0.368;0.7;0.778;1.0;0.765;0.056;0.316;0.778
ENSMUST00000210078_90_90;0.375;0.391;0.684;0.5;0.471;0.65;0.353;0.348;0.529;0.067;0.444;0.789;0.778;0.765;1.0;0.118;0.25;0.778
ENSMUST00000210226_90_90;0.158;0.167;0.167;0.0;0.273;0.222;0.333;0.0;0.0;0.0;0.364;0.15;0.167;0.056;0.118;1.0;0.0;0.235
ENSMUST00000210372_90_90;0.0;0.0;0.227;0.294;0.0;0.217;0.0;0.368;0.235;0.0;0.0;0.261;0.286;0.316;0.25;0.0;1.0;0.286
ENSMUST00000211373_90_90;0.4;0.417;0.789;0.526;0.5;0.842;0.389;0.375;0.556;0.059;0.556;0.8;0.889;0.778;0.778;0.235;0.286;1.0
