;ENSCAFT00000017839_90_90;ENSCAFT00000046942_90_90;ENST00000229395_90_90;ENST00000327214_90_90;ENST00000544111_90_90;ENST00000546072_90_90;ENSMUST00000037836_90_90;ENSMUST00000058245_90_90;ENSMUST00000067404_90_90;ENSMUST00000111663_90_90
ENSCAFT00000017839_90_90;;;0.634;0.744;0.24;0.475;0.475;0.475;0.744;0.634
ENSCAFT00000046942_90_90;;;0.78;0.634;0.202;0.62;0.62;0.62;0.634;0.78
ENST00000229395_90_90;0.634;0.78;;;;;0.548;0.548;0.67;0.829
ENST00000327214_90_90;0.744;0.634;;;;;0.402;0.402;0.794;0.67
ENST00000544111_90_90;0.24;0.202;;;;;0.274;0.274;0.265;0.218
ENST00000546072_90_90;0.475;0.62;;;;;1.0;1.0;0.402;0.548
ENSMUST00000037836_90_90;0.475;0.62;0.548;0.402;0.274;1.0;;;;
ENSMUST00000058245_90_90;0.475;0.62;0.548;0.402;0.274;1.0;;;;
ENSMUST00000067404_90_90;0.744;0.634;0.67;0.794;0.265;0.402;;;;
ENSMUST00000111663_90_90;0.634;0.78;0.829;0.67;0.218;0.548;;;;
