;ENSCAFT00000018602_90_90;ENST00000248933_90_90;ENST00000343706_90_90;ENST00000360929_90_90;ENST00000402979_90_90;ENST00000403121_90_90;ENST00000404234_90_90;ENST00000529632_90_90;ENST00000629590_90_90;ENSMUST00000075387_90_90;ENSMUST00000079491_90_90;ENSMUST00000197425_90_90;ENSMUST00000200575_90_90;ENSMUST00000212480_90_90;ENSMUST00000212758_90_90
ENSCAFT00000018602_90_90;1.0;0.972;0.899;0.9;0.536;0.463;0.953;0.911;0.948;0.952;0.976;0.893;0.49;1.0;0.889
ENST00000248933_90_90;0.972;1.0;0.931;0.931;0.518;0.449;0.984;0.945;0.978;0.917;0.944;0.858;0.504;0.971;0.853
ENST00000343706_90_90;0.899;0.931;1.0;0.903;0.449;0.483;0.914;0.917;0.952;0.826;0.853;0.878;0.412;0.879;0.939
ENST00000360929_90_90;0.9;0.931;0.903;1.0;0.449;0.408;0.915;0.917;0.952;0.826;0.853;0.768;0.505;0.88;0.821
ENST00000402979_90_90;0.536;0.518;0.449;0.449;1.0;0.828;0.522;0.483;0.496;0.578;0.606;0.516;0.81;0.595;0.511
ENST00000403121_90_90;0.463;0.449;0.483;0.408;0.828;1.0;0.452;0.441;0.456;0.482;0.511;0.516;0.619;0.503;0.56
ENST00000404234_90_90;0.953;0.984;0.914;0.915;0.522;0.452;1.0;0.961;0.962;0.942;0.97;0.881;0.512;0.944;0.877
ENST00000529632_90_90;0.911;0.945;0.917;0.917;0.483;0.441;0.961;1.0;0.966;0.935;0.909;0.873;0.451;0.885;0.877
ENST00000629590_90_90;0.948;0.978;0.952;0.952;0.496;0.456;0.962;0.966;1.0;0.885;0.912;0.826;0.472;0.939;0.881
ENSMUST00000075387_90_90;0.952;0.917;0.826;0.826;0.578;0.482;0.942;0.935;0.885;1.0;0.978;0.944;0.457;0.958;0.895
ENSMUST00000079491_90_90;0.976;0.944;0.853;0.853;0.606;0.511;0.97;0.909;0.912;0.978;1.0;0.922;0.479;0.978;0.917
ENSMUST00000197425_90_90;0.893;0.858;0.878;0.768;0.516;0.516;0.881;0.873;0.826;0.944;0.922;1.0;0.402;0.903;0.948
ENSMUST00000200575_90_90;0.49;0.504;0.412;0.505;0.81;0.619;0.512;0.451;0.472;0.457;0.479;0.402;1.0;0.474;0.396
ENSMUST00000212480_90_90;1.0;0.971;0.879;0.88;0.595;0.503;0.944;0.885;0.939;0.958;0.978;0.903;0.474;1.0;0.897
ENSMUST00000212758_90_90;0.889;0.853;0.939;0.821;0.511;0.56;0.877;0.877;0.881;0.895;0.917;0.948;0.396;0.897;1.0
