;transcript18_ENSPCIG00000036398;transcript8_ENSMUNG00000002377;transcript23_ENSMUNG00000002377;transcript15_ENSMUNG00000002377;transcript16_ENSMUNG00000002377;transcript22_ENSMUNG00000002377;transcript3_ENSPCIG00000036398;transcript15_ENSPCIG00000036398;transcript7_ENSPCIG00000036398;transcript8_ENSPCIG00000036398;transcript7_ENSHGLG00100006079;transcript10_ENSHGLG00100006079;transcript10_ENSMUNG00000002391;transcript3_ENSMUNG00000002391;transcript11_ENSHGLG00000019563;transcript26_ENSHGLG00000019563;transcript27_ENSHGLG00000019563;transcript8_ENSHGLG00100003156;transcript10_ENSHGLG00100003156;transcript20_ENSHGLG00100003156;transcript8_ENSHGLG00000019563;transcript10_ENSHGLG00000019563;transcript13_ENSHGLG00000019563;transcript28_ENSHGLG00000019563;transcript3_ENSMUNG00000007775
transcript18_ENSPCIG00000036398;1.0;0.984;0.423;0.423;0.423;0.423;0.427;0.427;1.0;1.0;0.978;0.978;0.982;0.425;0.997;0.996;0.997;0.984;0.984;0.984;0.984;0.984;0.984;0.971;0.426
transcript8_ENSMUNG00000002377;0.984;1.0;0.457;0.457;0.457;0.457;0.422;0.422;0.984;0.984;0.982;0.982;1.0;0.457;0.982;0.977;0.982;1.0;1.0;1.0;1.0;1.0;1.0;0.988;0.456
transcript23_ENSMUNG00000002377;0.423;0.457;1.0;1.0;1.0;1.0;1.0;1.0;0.423;0.423;0.612;0.612;0.625;1.0;0.344;0.29;0.344;0.546;0.546;0.546;0.452;0.452;0.452;0.447;1.0
transcript15_ENSMUNG00000002377;0.423;0.457;1.0;1.0;1.0;1.0;1.0;1.0;0.423;0.423;0.612;0.612;0.625;1.0;0.344;0.29;0.344;0.546;0.546;0.546;0.452;0.452;0.452;0.447;1.0
transcript16_ENSMUNG00000002377;0.423;0.457;1.0;1.0;1.0;1.0;1.0;1.0;0.423;0.423;0.612;0.612;0.625;1.0;0.374;0.318;0.374;0.546;0.546;0.546;0.485;0.485;0.485;0.479;1.0
transcript22_ENSMUNG00000002377;0.423;0.457;1.0;1.0;1.0;1.0;1.0;1.0;0.423;0.423;0.612;0.612;0.625;1.0;0.342;0.288;0.342;0.546;0.546;0.546;0.449;0.449;0.449;0.444;1.0
transcript3_ENSPCIG00000036398;0.427;0.422;1.0;1.0;1.0;1.0;1.0;1.0;0.427;0.427;0.585;0.585;0.59;0.999;0.342;0.288;0.342;0.514;0.514;0.514;0.417;0.417;0.417;0.412;1.0
transcript15_ENSPCIG00000036398;0.427;0.422;1.0;1.0;1.0;1.0;1.0;1.0;0.427;0.427;0.585;0.585;0.59;0.999;0.344;0.29;0.344;0.514;0.514;0.514;0.42;0.42;0.42;0.414;1.0
transcript7_ENSPCIG00000036398;1.0;0.984;0.423;0.423;0.423;0.423;0.427;0.427;1.0;1.0;0.978;0.978;0.982;0.425;0.997;0.996;0.997;0.984;0.984;0.984;0.984;0.984;0.984;0.971;0.426
transcript8_ENSPCIG00000036398;1.0;0.984;0.423;0.423;0.423;0.423;0.427;0.427;1.0;1.0;0.978;0.978;0.982;0.425;0.997;0.996;0.997;0.984;0.984;0.984;0.984;0.984;0.984;0.971;0.426
transcript7_ENSHGLG00100006079;0.978;0.982;0.612;0.612;0.612;0.612;0.585;0.585;0.978;0.978;1.0;1.0;0.979;0.609;0.985;0.981;0.985;0.979;0.979;0.979;0.979;0.979;0.979;0.967;0.609
transcript10_ENSHGLG00100006079;0.978;0.982;0.612;0.612;0.612;0.612;0.585;0.585;0.978;0.978;1.0;1.0;0.979;0.609;0.985;0.981;0.985;0.979;0.979;0.979;0.979;0.979;0.979;0.967;0.609
transcript10_ENSMUNG00000002391;0.982;1.0;0.625;0.625;0.625;0.625;0.59;0.59;0.982;0.982;0.979;0.979;1.0;0.625;0.982;0.977;0.982;1.0;1.0;1.0;1.0;1.0;1.0;0.989;0.625
transcript3_ENSMUNG00000002391;0.425;0.457;1.0;1.0;1.0;1.0;0.999;0.999;0.425;0.425;0.609;0.609;0.625;1.0;0.342;0.288;0.342;0.551;0.551;0.551;0.454;0.454;0.454;0.449;1.0
transcript11_ENSHGLG00000019563;0.997;0.982;0.344;0.344;0.374;0.342;0.342;0.344;0.997;0.997;0.985;0.985;0.982;0.342;1.0;1.0;1.0;0.982;0.982;0.982;0.982;0.982;0.982;0.964;0.342
transcript26_ENSHGLG00000019563;0.996;0.977;0.29;0.29;0.318;0.288;0.288;0.29;0.996;0.996;0.981;0.981;0.977;0.288;1.0;1.0;1.0;0.977;0.977;0.977;0.977;0.977;0.977;0.954;0.288
transcript27_ENSHGLG00000019563;0.997;0.982;0.344;0.344;0.374;0.342;0.342;0.344;0.997;0.997;0.985;0.985;0.982;0.342;1.0;1.0;1.0;0.982;0.982;0.982;0.982;0.982;0.982;0.964;0.342
