;transcript52_ENSMUSG00000054036;transcript57_ENSMUSG00000054036;transcript64_ENSMUSG00000054036;transcript67_ENSMUSG00000054036;transcript9_MGP-CAROLIEiJ-G0020234;transcript52_MGP-CAROLIEiJ-G0020234;transcript62_MGP-CAROLIEiJ-G0020234;transcript63_MGP-CAROLIEiJ-G0020234;transcript7_MGP-PahariEiJ-G0020237;transcript9_MGP-PahariEiJ-G0020237;transcript48_MGP-PahariEiJ-G0020237;transcript8_ENSRNOG00000031503;transcript40_ENSRNOG00000031503;transcript49_ENSRNOG00000031503;transcript53_ENSRNOG00000031503;transcript54_ENSRNOG00000031503;transcript55_ENSRNOG00000031503;transcript41_ENSMUGG00000013649
transcript52_ENSMUSG00000054036;1.0;0.8;1.0;0.875;0.76;0.928;0.776;0.713;0.751;0.752;0.802;0.774;0.758;0.946;0.454;0.806;0.806;0.749
transcript57_ENSMUSG00000054036;0.8;1.0;0.8;0.9;0.883;0.793;0.669;0.837;0.942;0.948;0.99;0.964;0.952;0.71;0.661;0.992;0.992;0.957
transcript64_ENSMUSG00000054036;1.0;0.8;1.0;0.875;0.76;0.928;0.776;0.713;0.751;0.752;0.802;0.774;0.758;0.946;0.454;0.806;0.806;0.749
transcript67_ENSMUSG00000054036;0.875;0.9;0.875;1.0;0.883;0.793;0.669;0.837;0.866;0.87;0.914;0.871;0.858;0.791;0.565;0.899;0.899;0.856
transcript9_MGP-CAROLIEiJ-G0020234;0.76;0.883;0.76;0.883;1.0;0.718;0.613;0.963;0.714;0.935;0.766;0.872;0.923;0.839;0.78;0.765;0.765;0.932
transcript52_MGP-CAROLIEiJ-G0020234;0.928;0.793;0.928;0.793;0.718;1.0;0.841;0.68;0.731;0.66;0.796;0.705;0.666;0.731;0.514;0.803;0.803;0.658
transcript62_MGP-CAROLIEiJ-G0020234;0.776;0.669;0.776;0.669;0.613;0.841;1.0;0.576;0.717;0.561;0.671;0.576;0.545;0.593;0.385;0.651;0.651;0.559
transcript63_MGP-CAROLIEiJ-G0020234;0.713;0.837;0.713;0.837;0.963;0.68;0.576;1.0;0.677;0.898;0.73;0.825;0.877;0.792;0.814;0.718;0.718;0.896
transcript7_MGP-PahariEiJ-G0020237;0.751;0.942;0.751;0.866;0.714;0.731;0.717;0.677;1.0;0.831;0.952;0.848;0.812;0.621;0.566;0.927;0.927;0.823
transcript9_MGP-PahariEiJ-G0020237;0.752;0.948;0.752;0.87;0.935;0.66;0.561;0.898;0.831;1.0;0.872;0.944;0.982;0.794;0.74;0.867;0.867;0.991
transcript48_MGP-PahariEiJ-G0020237;0.802;0.99;0.802;0.914;0.766;0.796;0.671;0.73;0.952;0.872;1.0;0.899;0.861;0.669;0.615;0.982;0.982;0.863
transcript8_ENSRNOG00000031503;0.774;0.964;0.774;0.871;0.872;0.705;0.576;0.825;0.848;0.944;0.899;1.0;0.966;0.755;0.711;0.925;0.925;0.956
transcript40_ENSRNOG00000031503;0.758;0.952;0.758;0.858;0.923;0.666;0.545;0.877;0.812;0.982;0.861;0.966;1.0;0.79;0.746;0.894;0.894;0.991
transcript49_ENSRNOG00000031503;0.946;0.71;0.946;0.791;0.839;0.731;0.593;0.792;0.621;0.794;0.669;0.755;0.79;1.0;0.528;0.68;0.68;0.781
transcript53_ENSRNOG00000031503;0.454;0.661;0.454;0.565;0.78;0.514;0.385;0.814;0.566;0.74;0.615;0.711;0.746;0.528;1.0;0.637;0.637;0.738
transcript54_ENSRNOG00000031503;0.806;0.992;0.806;0.899;0.765;0.803;0.651;0.718;0.927;0.867;0.982;0.925;0.894;0.68;0.637;1.0;1.0;0.885
transcript55_ENSRNOG00000031503;0.806;0.992;0.806;0.899;0.765;0.803;0.651;0.718;0.927;0.867;0.982;0.925;0.894;0.68;0.637;1.0;1.0;0.885
transcript41_ENSMUGG00000013649;0.749;0.957;0.749;0.856;0.932;0.658;0.559;0.896;0.823;0.991;0.863;0.956;0.991;0.781;0.738;0.885;0.885;1.0
