;ENSCAFT00000014940_90_90;ENSCAFT00000016916_90_90;ENSCAFT00000023521_90_90;ENST00000342558_90_90;ENST00000360663_90_90;ENST00000394828_90_90;ENST00000394829_90_90;ENST00000430762_90_90;ENST00000323055_90_90;ENST00000394853_90_90;ENST00000394854_90_90;ENST00000492351_90_90;ENST00000507176_90_90;ENST00000512215_90_90;ENST00000525819_90_90;ENST00000529324_90_90;ENSMUST00000022355_90_90;ENSMUST00000159027_90_90;ENSMUST00000161445_90_90;ENSMUST00000161989_90_90;ENSMUST00000056758_90_90;ENSMUST00000070198_90_90
ENSCAFT00000014940_90_90;1.0;0.923;0.571;0.448;0.517;0.63;0.586;0.31;0.84;0.92;0.852;0.038;0.692;0.704;0.16;0.2;0.692;0.643;0.571;0.571;0.815;0.88
ENSCAFT00000016916_90_90;0.923;1.0;0.643;0.467;0.533;0.586;0.6;0.333;0.778;0.852;0.926;0.036;0.769;0.778;0.148;0.185;0.643;0.655;0.586;0.586;0.889;0.815
ENSCAFT00000023521_90_90;0.571;0.643;1.0;0.727;0.818;0.818;0.826;0.36;0.448;0.517;0.586;0.045;0.481;0.448;0.19;0.238;0.818;0.826;0.818;0.739;0.667;0.593
ENST00000342558_90_90;0.448;0.467;0.727;1.0;0.727;0.727;0.667;0.231;0.333;0.4;0.419;0.05;0.31;0.29;0.211;0.263;0.652;0.6;0.652;0.81;0.483;0.464
ENST00000360663_90_90;0.517;0.533;0.818;0.727;1.0;0.818;0.909;0.417;0.4;0.467;0.484;0.045;0.379;0.355;0.19;0.238;0.739;0.75;0.818;0.6;0.552;0.536
ENST00000394828_90_90;0.63;0.586;0.818;0.727;0.818;1.0;0.909;0.417;0.5;0.571;0.533;0.045;0.429;0.4;0.19;0.238;0.905;0.826;0.739;0.739;0.607;0.654
ENST00000394829_90_90;0.586;0.6;0.826;0.667;0.909;0.909;1.0;0.5;0.467;0.533;0.548;0.042;0.448;0.419;0.174;0.217;0.826;0.833;0.75;0.68;0.621;0.607
ENST00000430762_90_90;0.31;0.333;0.36;0.231;0.417;0.417;0.5;1.0;0.286;0.31;0.333;0.0;0.417;0.385;0.0;0.0;0.417;0.44;0.36;0.308;0.345;0.321
ENST00000323055_90_90;0.84;0.778;0.448;0.333;0.4;0.5;0.467;0.286;1.0;0.917;0.846;0.087;0.615;0.692;0.227;0.273;0.556;0.517;0.448;0.448;0.679;0.731
ENST00000394853_90_90;0.92;0.852;0.517;0.4;0.467;0.571;0.533;0.31;0.917;1.0;0.923;0.08;0.692;0.769;0.208;0.25;0.63;0.586;0.517;0.517;0.75;0.808
ENST00000394854_90_90;0.852;0.926;0.586;0.419;0.484;0.533;0.548;0.333;0.846;0.923;1.0;0.074;0.769;0.846;0.192;0.231;0.586;0.6;0.533;0.533;0.821;0.75
ENST00000492351_90_90;0.038;0.036;0.045;0.05;0.045;0.045;0.042;0.0;0.087;0.08;0.074;1.0;0.0;0.087;0.333;0.286;0.045;0.042;0.045;0.045;0.037;0.04
ENST00000507176_90_90;0.692;0.769;0.481;0.31;0.379;0.429;0.448;0.417;0.615;0.692;0.769;0.0;1.0;0.68;0.042;0.083;0.481;0.5;0.429;0.429;0.667;0.593
ENST00000512215_90_90;0.704;0.778;0.448;0.29;0.355;0.4;0.419;0.385;0.692;0.769;0.846;0.087;0.68;1.0;0.125;0.12;0.448;0.467;0.4;0.4;0.679;0.607
ENST00000525819_90_90;0.16;0.148;0.19;0.211;0.19;0.19;0.174;0.0;0.227;0.208;0.192;0.333;0.042;0.125;1.0;0.833;0.19;0.174;0.19;0.19;0.154;0.167
ENST00000529324_90_90;0.2;0.185;0.238;0.263;0.238;0.238;0.217;0.0;0.273;0.25;0.231;0.286;0.083;0.12;0.833;1.0;0.238;0.217;0.238;0.238;0.192;0.208
ENSMUST00000022355_90_90;0.692;0.643;0.818;0.652;0.739;0.905;0.826;0.417;0.556;0.63;0.586;0.045;0.481;0.448;0.19;0.238;1.0;0.909;0.818;0.818;0.667;0.72
ENSMUST00000159027_90_90;0.643;0.655;0.826;0.6;0.75;0.826;0.833;0.44;0.517;0.586;0.6;0.042;0.5;0.467;0.174;0.217;0.909;1.0;0.909;0.75;0.679;0.667
ENSMUST00000161445_90_90;0.571;0.586;0.818;0.652;0.818;0.739;0.75;0.36;0.448;0.517;0.533;0.045;0.429;0.4;0.19;0.238;0.818;0.909;1.0;0.667;0.607;0.593
ENSMUST00000161989_90_90;0.571;0.586;0.739;0.81;0.6;0.739;0.68;0.308;0.448;0.517;0.533;0.045;0.429;0.4;0.19;0.238;0.818;0.75;0.667;1.0;0.607;0.593
ENSMUST00000056758_90_90;0.815;0.889;0.667;0.483;0.552;0.607;0.621;0.345;0.679;0.75;0.821;0.037;0.667;0.679;0.154;0.192;0.667;0.679;0.607;0.607;1.0;0.92
ENSMUST00000070198_90_90;0.88;0.815;0.593;0.464;0.536;0.654;0.607;0.321;0.731;0.808;0.75;0.04;0.593;0.607;0.167;0.208;0.72;0.667;0.593;0.593;0.92;1.0
