;ENSCAFT00000012435_90_90;ENST00000278422_90_90;ENST00000378312_90_90;ENST00000524972_90_90;ENST00000525035_90_90;ENST00000528110_90_90;ENST00000529403_90_90;ENST00000530114_90_90;ENST00000533602_90_90;ENSMUST00000053664_90_90;ENSMUST00000111664_90_90;ENSMUST00000111665_90_90;ENSMUST00000152149_90_90
ENSCAFT00000012435_90_90;1.0;0.996;0.867;0.346;0.278;0.346;0.278;0.289;0.279;0.997;0.868;0.997;0.271
ENST00000278422_90_90;0.996;1.0;0.872;0.348;0.278;0.348;0.278;0.291;0.281;0.992;0.864;0.992;0.271
ENST00000378312_90_90;0.867;0.872;1.0;0.399;0.288;0.399;0.288;0.333;0.322;0.864;0.991;0.864;0.311
ENST00000524972_90_90;0.346;0.348;0.399;1.0;0.619;1.0;0.619;0.789;0.804;0.348;0.399;0.348;0.78
ENST00000525035_90_90;0.278;0.278;0.288;0.619;1.0;0.619;1.0;0.708;0.72;0.279;0.289;0.279;0.699
ENST00000528110_90_90;0.346;0.348;0.399;1.0;0.619;1.0;0.619;0.789;0.804;0.348;0.399;0.348;0.78
ENST00000529403_90_90;0.278;0.278;0.288;0.619;1.0;0.619;1.0;0.708;0.72;0.279;0.289;0.279;0.699
ENST00000530114_90_90;0.289;0.291;0.333;0.789;0.708;0.789;0.708;1.0;0.962;0.29;0.333;0.29;0.934
ENST00000533602_90_90;0.279;0.281;0.322;0.804;0.72;0.804;0.72;0.962;1.0;0.28;0.322;0.28;0.956
ENSMUST00000053664_90_90;0.997;0.992;0.864;0.348;0.279;0.348;0.279;0.29;0.28;1.0;0.871;1.0;0.272
ENSMUST00000111664_90_90;0.868;0.864;0.991;0.399;0.289;0.399;0.289;0.333;0.322;0.871;1.0;0.871;0.313
ENSMUST00000111665_90_90;0.997;0.992;0.864;0.348;0.279;0.348;0.279;0.29;0.28;1.0;0.871;1.0;0.272
ENSMUST00000152149_90_90;0.271;0.271;0.311;0.78;0.699;0.78;0.699;0.934;0.956;0.272;0.313;0.272;1.0
