;ENSCAFT00000001289_90_90;ENST00000166534_90_90;ENST00000360568_90_90;ENST00000379086_90_90;ENST00000379100_90_90;ENST00000379104_90_90;ENST00000395164_90_90;ENST00000401867_90_90;ENST00000416053_90_90;ENST00000417528_90_90;ENST00000418055_90_90;ENST00000428369_90_90;ENST00000428841_90_90;ENST00000431054_90_90;ENST00000439698_90_90;ENST00000453286_90_90;ENSMUST00000019050_90_90;ENSMUST00000093107_90_90;ENSMUST00000125132_90_90;ENSMUST00000126840_90_90;ENSMUST00000129499_90_90;ENSMUST00000135653_90_90;ENSMUST00000138477_90_90;ENSMUST00000141258_90_90;ENSMUST00000151218_90_90;ENSMUST00000174616_90_90
ENSCAFT00000001289_90_90;1.0;0.952;1.0;1.0;1.0;0.952;0.714;0.952;0.333;0.857;0.476;0.571;0.19;0.81;0.762;0.619;0.9;0.95;0.1;0.3;0.05;0.35;0.6;0.1;0.45;0.95
ENST00000166534_90_90;0.952;1.0;0.909;0.909;0.909;1.0;0.714;1.0;0.333;0.857;0.476;0.571;0.19;0.708;0.762;0.619;0.905;0.818;0.095;0.286;0.045;0.333;0.571;0.1;0.429;0.818
ENST00000360568_90_90;1.0;0.909;1.0;1.0;1.0;0.909;0.714;0.909;0.333;0.857;0.476;0.571;0.19;0.708;0.762;0.619;0.818;0.905;0.095;0.286;0.045;0.333;0.571;0.1;0.429;0.905
ENST00000379086_90_90;1.0;0.909;1.0;1.0;1.0;0.909;0.714;0.909;0.333;0.857;0.476;0.571;0.19;0.708;0.762;0.619;0.818;0.905;0.095;0.286;0.045;0.333;0.571;0.1;0.429;0.905
ENST00000379100_90_90;1.0;0.909;1.0;1.0;1.0;0.909;0.714;0.909;0.333;0.857;0.476;0.571;0.19;0.708;0.762;0.619;0.818;0.905;0.095;0.286;0.045;0.333;0.571;0.1;0.429;0.905
ENST00000379104_90_90;0.952;1.0;0.909;0.909;0.909;1.0;0.714;1.0;0.333;0.857;0.476;0.571;0.19;0.708;0.762;0.619;0.905;0.818;0.095;0.286;0.045;0.333;0.571;0.1;0.429;0.818
ENST00000395164_90_90;0.714;0.714;0.714;0.714;0.714;0.714;1.0;0.714;0.467;0.833;0.667;0.8;0.267;0.75;0.938;0.867;0.619;0.619;0.133;0.4;0.062;0.467;0.8;0.143;0.6;0.619
ENST00000401867_90_90;0.952;1.0;0.909;0.909;0.909;1.0;0.714;1.0;0.333;0.857;0.476;0.571;0.19;0.708;0.762;0.619;0.905;0.818;0.095;0.286;0.045;0.333;0.571;0.1;0.429;0.818
ENST00000416053_90_90;0.333;0.333;0.333;0.333;0.333;0.333;0.467;0.333;1.0;0.389;0.7;0.583;0.571;0.35;0.438;0.538;0.238;0.238;0.286;0.625;0.125;0.556;0.357;0.333;0.455;0.238
ENST00000417528_90_90;0.857;0.857;0.857;0.857;0.857;0.857;0.833;0.857;0.389;1.0;0.556;0.667;0.222;0.81;0.889;0.722;0.762;0.762;0.111;0.333;0.053;0.389;0.667;0.118;0.5;0.762
ENST00000418055_90_90;0.476;0.476;0.476;0.476;0.476;0.476;0.667;0.476;0.7;0.556;1.0;0.833;0.4;0.5;0.625;0.769;0.381;0.381;0.2;0.6;0.091;0.7;0.571;0.222;0.727;0.381
ENST00000428369_90_90;0.571;0.571;0.571;0.571;0.571;0.571;0.8;0.571;0.583;0.667;0.833;1.0;0.333;0.6;0.75;0.923;0.476;0.476;0.167;0.5;0.077;0.583;0.714;0.182;0.75;0.476
ENST00000428841_90_90;0.19;0.19;0.19;0.19;0.19;0.19;0.267;0.19;0.571;0.222;0.4;0.333;1.0;0.2;0.25;0.308;0.143;0.143;0.4;0.375;0.167;0.333;0.214;0.2;0.273;0.143
ENST00000431054_90_90;0.81;0.708;0.708;0.708;0.708;0.708;0.75;0.708;0.35;0.81;0.5;0.6;0.2;1.0;0.8;0.65;0.727;0.727;0.167;0.389;0.167;0.444;0.722;0.111;0.556;0.727
