;transcript40_ENSRNOG00000031503;transcript47_ENSRNOG00000031503;transcript47_ENSMUGG00000013649;transcript47_ENSPEMG00000024651;transcript20_ENSMUGG00000013649;transcript20_ENSMUGG00000013592;transcript19_ENSPEMG00000024651;transcript38_ENSPEMG00000024651;transcript27_ENSNGAG00000018584;transcript7_ENSSTOG00000019743;transcript24_ENSSTOG00000019743;transcript25_ENSSTOG00000019743;transcript32_ENSSTOG00000019743
transcript40_ENSRNOG00000031503;1.0;0.906;0.784;0.658;0.811;0.784;0.726;0.726;0.606;0.853;0.797;0.853;0.853
transcript47_ENSRNOG00000031503;0.906;1.0;0.853;0.716;0.829;0.8;0.667;0.667;0.636;0.773;0.841;0.773;0.773
transcript47_ENSMUGG00000013649;0.784;0.853;1.0;0.838;0.971;0.943;0.781;0.781;0.71;0.907;0.986;0.907;0.907
transcript47_ENSPEMG00000024651;0.658;0.716;0.838;1.0;0.814;0.786;0.919;0.919;0.551;0.76;0.826;0.76;0.76
transcript20_ENSMUGG00000013649;0.811;0.829;0.971;0.814;1.0;0.971;0.808;0.808;0.714;0.933;0.986;0.933;0.933
transcript20_ENSMUGG00000013592;0.784;0.8;0.943;0.786;0.971;1.0;0.781;0.781;0.686;0.907;0.957;0.907;0.907
transcript19_ENSPEMG00000024651;0.726;0.667;0.781;0.919;0.808;0.781;1.0;1.0;0.534;0.827;0.795;0.827;0.827
transcript38_ENSPEMG00000024651;0.726;0.667;0.781;0.919;0.808;0.781;1.0;1.0;0.534;0.827;0.795;0.827;0.827
transcript27_ENSNGAG00000018584;0.606;0.636;0.71;0.551;0.714;0.686;0.534;0.534;1.0;0.667;0.725;0.667;0.667
transcript7_ENSSTOG00000019743;0.853;0.773;0.907;0.76;0.933;0.907;0.827;0.827;0.667;1.0;0.92;1.0;1.0
transcript24_ENSSTOG00000019743;0.797;0.841;0.986;0.826;0.986;0.957;0.795;0.795;0.725;0.92;1.0;0.92;0.92
transcript25_ENSSTOG00000019743;0.853;0.773;0.907;0.76;0.933;0.907;0.827;0.827;0.667;1.0;0.92;1.0;1.0
transcript32_ENSSTOG00000019743;0.853;0.773;0.907;0.76;0.933;0.907;0.827;0.827;0.667;1.0;0.92;1.0;1.0
