;ENSCAFT00000003109_90_90;ENSCAFT00000045366_90_90;ENST00000340022_90_90;ENST00000394503_90_90;ENST00000394505_90_90;ENST00000394507_90_90;ENST00000412043_90_90;ENST00000413688_90_90;ENST00000422347_90_90;ENST00000425073_90_90;ENST00000425919_90_90;ENST00000430102_90_90;ENST00000433016_90_90;ENST00000440209_90_90;ENST00000444960_90_90;ENST00000445516_90_90;ENST00000452773_90_90;ENST00000454017_90_90;ENST00000458177_90_90;ENST00000458493_90_90;ENSMUST00000080085_90_90;ENSMUST00000171023_90_90;ENSMUST00000198079_90_90;ENSMUST00000200386_90_90;ENSMUST00000200577_90_90
ENSCAFT00000003109_90_90;1.0;0.88;0.84;0.955;0.84;0.84;0.84;0.318;0.091;0.045;0.182;0.364;0.545;0.409;0.136;0.12;0.227;0.5;0.682;0.273;0.917;0.833;0.409;0.909;0.739
ENSCAFT00000045366_90_90;0.88;1.0;0.96;0.84;0.96;0.96;0.96;0.28;0.08;0.04;0.16;0.32;0.48;0.36;0.12;0.24;0.2;0.44;0.6;0.24;1.0;0.917;0.375;0.833;0.75
ENST00000340022_90_90;0.84;0.96;1.0;0.88;1.0;1.0;1.0;0.28;0.08;0.04;0.16;0.32;0.52;0.36;0.12;0.24;0.2;0.385;0.64;0.24;0.958;0.875;0.391;0.792;0.708
ENST00000394503_90_90;0.955;0.84;0.88;1.0;0.88;0.88;0.88;0.318;0.091;0.045;0.182;0.364;0.591;0.409;0.136;0.12;0.227;0.435;0.727;0.273;0.875;0.792;0.429;0.864;0.696
ENST00000394505_90_90;0.84;0.96;1.0;0.88;1.0;1.0;1.0;0.28;0.08;0.04;0.16;0.32;0.52;0.36;0.12;0.24;0.2;0.385;0.64;0.24;0.958;0.875;0.391;0.792;0.708
ENST00000394507_90_90;0.84;0.96;1.0;0.88;1.0;1.0;1.0;0.28;0.08;0.04;0.16;0.32;0.52;0.36;0.12;0.24;0.2;0.385;0.64;0.24;0.958;0.875;0.391;0.792;0.708
ENST00000412043_90_90;0.84;0.96;1.0;0.88;1.0;1.0;1.0;0.28;0.08;0.04;0.16;0.32;0.52;0.36;0.12;0.24;0.2;0.385;0.64;0.24;0.958;0.875;0.391;0.792;0.708
ENST00000413688_90_90;0.318;0.28;0.28;0.318;0.28;0.28;0.28;1.0;0.286;0.143;0.571;0.875;0.538;0.778;0.429;0.0;0.714;0.636;0.438;0.857;0.292;0.318;0.778;0.35;0.389
ENST00000422347_90_90;0.091;0.08;0.08;0.091;0.08;0.08;0.08;0.286;1.0;0.5;0.5;0.25;0.154;0.222;0.667;0.0;0.4;0.182;0.125;0.333;0.083;0.091;0.222;0.1;0.111
ENST00000425073_90_90;0.045;0.04;0.04;0.045;0.04;0.04;0.04;0.143;0.5;1.0;0.25;0.125;0.077;0.111;0.333;0.0;0.2;0.091;0.062;0.167;0.042;0.045;0.111;0.05;0.056
ENST00000425919_90_90;0.182;0.16;0.16;0.182;0.16;0.16;0.16;0.571;0.5;0.25;1.0;0.5;0.308;0.444;0.75;0.0;0.8;0.364;0.25;0.667;0.167;0.182;0.444;0.2;0.222
ENST00000430102_90_90;0.364;0.32;0.32;0.364;0.32;0.32;0.32;0.875;0.25;0.125;0.5;1.0;0.615;0.889;0.375;0.0;0.625;0.727;0.5;0.75;0.333;0.364;0.889;0.4;0.444
ENST00000433016_90_90;0.545;0.48;0.52;0.591;0.52;0.52;0.52;0.538;0.154;0.077;0.308;0.615;1.0;0.692;0.231;0.0;0.385;0.714;0.812;0.462;0.5;0.545;0.75;0.6;0.667
ENST00000440209_90_90;0.409;0.36;0.36;0.409;0.36;0.36;0.36;0.778;0.222;0.111;0.444;0.889;0.692;1.0;0.333;0.0;0.556;0.818;0.562;0.667;0.375;0.409;1.0;0.45;0.5
ENST00000444960_90_90;0.136;0.12;0.12;0.136;0.12;0.12;0.12;0.429;0.667;0.333;0.75;0.375;0.231;0.333;1.0;0.0;0.6;0.273;0.188;0.5;0.125;0.136;0.333;0.15;0.167
ENST00000445516_90_90;0.12;0.24;0.24;0.12;0.24;0.24;0.24;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.048;0.0;0.208;0.227;0.0;0.136;0.15
ENST00000452773_90_90;0.227;0.2;0.2;0.227;0.2;0.2;0.2;0.714;0.4;0.2;0.8;0.625;0.385;0.556;0.6;0.0;1.0;0.455;0.312;0.833;0.208;0.227;0.556;0.25;0.278
ENST00000454017_90_90;0.5;0.44;0.385;0.435;0.385;0.385;0.385;0.636;0.182;0.091;0.364;0.727;0.714;0.818;0.273;0.0;0.455;1.0;0.588;0.545;0.458;0.5;0.818;0.55;0.611
ENST00000458177_90_90;0.682;0.6;0.64;0.727;0.64;0.64;0.64;0.438;0.125;0.062;0.25;0.5;0.812;0.562;0.188;0.048;0.312;0.588;1.0;0.375;0.625;0.682;0.6;0.75;0.833
ENST00000458493_90_90;0.273;0.24;0.24;0.273;0.24;0.24;0.24;0.857;0.333;0.167;0.667;0.75;0.462;0.667;0.5;0.0;0.833;0.545;0.375;1.0;0.25;0.273;0.667;0.3;0.333
ENSMUST00000080085_90_90;0.917;1.0;0.958;0.875;0.958;0.958;0.958;0.292;0.083;0.042;0.167;0.333;0.5;0.375;0.125;0.208;0.208;0.458;0.625;0.25;1.0;0.92;0.346;0.769;0.72
ENSMUST00000171023_90_90;0.833;0.917;0.875;0.792;0.875;0.875;0.875;0.318;0.091;0.045;0.182;0.364;0.545;0.409;0.136;0.227;0.227;0.5;0.682;0.273;0.92;1.0;0.375;0.76;0.783
ENSMUST00000198079_90_90;0.409;0.375;0.391;0.429;0.391;0.391;0.391;0.778;0.222;0.111;0.444;0.889;0.75;1.0;0.333;0.0;0.556;0.818;0.6;0.667;0.346;0.375;1.0;0.409;0.474
ENSMUST00000200386_90_90;0.909;0.833;0.792;0.864;0.792;0.792;0.792;0.35;0.1;0.05;0.2;0.4;0.6;0.45;0.15;0.136;0.25;0.55;0.75;0.3;0.769;0.76;0.409;1.0;0.773
ENSMUST00000200577_90_90;0.739;0.75;0.708;0.696;0.708;0.708;0.708;0.389;0.111;0.056;0.222;0.444;0.667;0.5;0.167;0.15;0.278;0.611;0.833;0.333;0.72;0.783;0.474;0.773;1.0
