;ENSCAFT00000006410_90_90;ENSCAFT00000006413_90_90;ENSCAFT00000011282_90_90;ENST00000229471_90_90;ENST00000354650_90_90;ENST00000368667_90_90;ENST00000368678_90_90;ENST00000368682_90_90;ENST00000462598_90_90;ENST00000462856_90_90;ENST00000484067_90_90;ENST00000487824_90_90;ENST00000517419_90_90;ENST00000518295_90_90;ENST00000518630_90_90;ENST00000520518_90_90;ENST00000521062_90_90;ENST00000523238_90_90;ENST00000523570_90_90;ENST00000523574_90_90;ENST00000524310_90_90;ENST00000538466_90_90;ENST00000519728_90_90;ENST00000520050_90_90;ENST00000520220_90_90;ENSMUST00000063091_90_90;ENSMUST00000099967_90_90;ENSMUST00000126486_90_90;ENSMUST00000135242_90_90;ENSMUST00000136659_90_90;ENSMUST00000146287_90_90;ENSMUST00000148152_90_90;ENSMUST00000157009_90_90;ENSMUST00000041377_90_90;ENSMUST00000103010_90_90
ENSCAFT00000006410_90_90;1.0;0.273;0.603;0.836;0.964;0.964;0.821;0.821;0.345;0.764;0.491;0.273;0.673;0.655;0.582;0.691;0.473;0.636;0.564;0.6;0.618;0.821;0.0;0.0;0.0;0.821;0.964;0.821;0.821;0.836;0.821;0.527;0.145;0.632;0.526
ENSCAFT00000006413_90_90;0.273;1.0;0.31;0.312;0.273;0.273;0.306;0.306;0.0;0.255;0.0;0.0;0.149;0.128;0.043;0.17;0.0;0.106;0.021;0.064;0.085;0.306;0.0;0.0;0.0;0.306;0.273;0.306;0.306;0.312;0.306;0.0;0.0;0.341;0.4
ENSCAFT00000011282_90_90;0.603;0.31;1.0;0.564;0.603;0.603;0.554;0.554;0.255;0.547;0.34;0.196;0.481;0.462;0.385;0.5;0.32;0.442;0.365;0.404;0.423;0.554;0.0;0.0;0.0;0.554;0.603;0.554;0.554;0.564;0.554;0.353;0.116;0.902;0.756
ENST00000229471_90_90;0.836;0.312;0.564;1.0;0.87;0.87;0.979;0.979;0.426;0.915;0.596;0.34;0.809;0.787;0.702;0.83;0.574;0.766;0.681;0.723;0.745;0.979;0.0;0.0;0.0;0.979;0.87;0.979;0.979;1.0;0.979;0.638;0.191;0.623;0.509
ENST00000354650_90_90;0.964;0.273;0.603;0.87;1.0;1.0;0.855;0.855;0.37;0.796;0.519;0.296;0.704;0.685;0.611;0.722;0.5;0.667;0.593;0.63;0.648;0.855;0.0;0.0;0.0;0.855;1.0;0.855;0.855;0.87;0.855;0.556;0.167;0.661;0.554
ENST00000368667_90_90;0.964;0.273;0.603;0.87;1.0;1.0;0.855;0.855;0.37;0.796;0.519;0.296;0.704;0.685;0.611;0.722;0.5;0.667;0.593;0.63;0.648;0.855;0.0;0.0;0.0;0.855;1.0;0.855;0.855;0.87;0.855;0.556;0.167;0.661;0.554
ENST00000368678_90_90;0.821;0.306;0.554;0.979;0.855;0.855;1.0;1.0;0.417;0.896;0.583;0.333;0.792;0.771;0.688;0.812;0.562;0.75;0.667;0.708;0.729;1.0;0.0;0.0;0.0;1.0;0.855;1.0;1.0;0.979;1.0;0.625;0.188;0.611;0.5
ENST00000368682_90_90;0.821;0.306;0.554;0.979;0.855;0.855;1.0;1.0;0.417;0.896;0.583;0.333;0.792;0.771;0.688;0.812;0.562;0.75;0.667;0.708;0.729;1.0;0.0;0.0;0.0;1.0;0.855;1.0;1.0;0.979;1.0;0.625;0.188;0.611;0.5
ENST00000462598_90_90;0.345;0.0;0.255;0.426;0.37;0.37;0.417;0.417;1.0;0.465;0.714;0.8;0.526;0.541;0.606;0.513;0.741;0.556;0.625;0.588;0.571;0.417;0.0;0.0;0.0;0.417;0.37;0.417;0.417;0.426;0.417;0.667;0.45;0.283;0.152
ENST00000462856_90_90;0.764;0.255;0.547;0.915;0.796;0.796;0.896;0.896;0.465;1.0;0.651;0.372;0.884;0.86;0.767;0.907;0.628;0.837;0.744;0.791;0.814;0.896;0.0;0.0;0.0;0.896;0.796;0.896;0.896;0.915;0.896;0.698;0.209;0.577;0.462
