id_transcript;block_sequence
ENSCAFT00000018754_90_90;2.4.8.9.10.11.12.13.14.15.16.17.18.19.20.21.22.23.24.25.27.28.29.30.31.32.34.35.36.37.38.39.41.43.45.46.47
ENSCAFT00000042737_90_90;0.10.11.12.13.14.15.16.17.18.19.20.21.22.23.24.25.27.28.29.30.31.32.34.35.36.37.38.39.41.43.45.48.49
ENST00000373836_90_90;5.6.10.11.12.13.14.15.16.17.19.20.21.24.25.27.28.29.30.31.32.33.34.35.36.37.39.41.42.44.45.48.49
ENST00000373839_90_90;0.10.11.12.13.14.15.16.17.19.20.21.24.25.27.28.29.30.31.32.33.34.35.36.37.39.41.42.44.45.48.49
ENST00000493669_90_90;0.7.8.9.10
ENST00000632202_90_90;0.7.8.10.11.12.13.14.15.16.17.19.20.21.24
ENST00000632421_90_90;0.1.2.3
ENST00000633167_90_90;5.6.7.8.10.11.12
ENSMUST00000084170_90_90;0.10.11.14.16.17.19.21.23.24.25.26.27.29.31.32.34.36.39.40.41.43.45.46.49
ENSMUST00000084249_90_90;5.8.9.10.11.12.13.14.16.17.19.21.23.24.25.26.27.29.31.32.34.36.39.40.41.43.45.46.49
ENSMUST00000102568_90_90;0.10.11.12.13.14.16.17.19.21.23.24.25.26.27.29.31.32.34.36.39.40.41.43.45.46.49
ENSMUST00000136711_90_90;5.8.9.10.11.14.16
ENSMUST00000152271_90_90;0.10.11.14.16.17.19.21.23.24.25.26.27.29.31
