;ENSCAFT00000018754_90_90;ENSCAFT00000042737_90_90;ENST00000373836_90_90;ENST00000373839_90_90;ENST00000493669_90_90;ENST00000632202_90_90;ENST00000632421_90_90;ENST00000633167_90_90;ENSMUST00000084170_90_90;ENSMUST00000084249_90_90;ENSMUST00000102568_90_90;ENSMUST00000136711_90_90;ENSMUST00000152271_90_90
ENSCAFT00000018754_90_90;1.0;0.874;0.769;0.783;0.074;0.311;0.014;0.108;0.706;0.77;0.749;0.179;0.368
ENSCAFT00000042737_90_90;0.874;1.0;0.839;0.885;0.065;0.33;0.017;0.097;0.759;0.754;0.805;0.152;0.407
ENST00000373836_90_90;0.769;0.839;1.0;0.942;0.047;0.309;0.0;0.14;0.691;0.752;0.735;0.18;0.365
ENST00000373839_90_90;0.783;0.885;0.942;1.0;0.066;0.341;0.018;0.099;0.732;0.729;0.777;0.156;0.397
ENST00000493669_90_90;0.074;0.065;0.047;0.066;1.0;0.264;0.089;0.416;0.075;0.084;0.072;0.316;0.143
ENST00000632202_90_90;0.311;0.33;0.309;0.341;0.264;1.0;0.038;0.34;0.27;0.305;0.322;0.452;0.476
ENST00000632421_90_90;0.014;0.017;0.0;0.018;0.089;0.038;1.0;0.0;0.022;0.0;0.02;0.0;0.036
ENST00000633167_90_90;0.108;0.097;0.14;0.099;0.416;0.34;0.0;1.0;0.074;0.149;0.107;0.388;0.134
ENSMUST00000084170_90_90;0.706;0.759;0.691;0.732;0.075;0.27;0.022;0.074;1.0;0.867;0.944;0.176;0.523
ENSMUST00000084249_90_90;0.77;0.754;0.752;0.729;0.084;0.305;0.0;0.149;0.867;1.0;0.919;0.232;0.44
ENSMUST00000102568_90_90;0.749;0.805;0.735;0.777;0.072;0.322;0.02;0.107;0.944;0.919;1.0;0.167;0.493
ENSMUST00000136711_90_90;0.179;0.152;0.18;0.156;0.316;0.452;0.0;0.388;0.176;0.232;0.167;1.0;0.338
ENSMUST00000152271_90_90;0.368;0.407;0.365;0.397;0.143;0.476;0.036;0.134;0.523;0.44;0.493;0.338;1.0
