;transcript9_ENSMUNG00000007775;transcript21_ENSMUNG00000007775;transcript23_ENSMUNG00000007775;transcript25_ENSMUNG00000007775;transcript26_ENSMUNG00000007775;transcript30_ENSMUNG00000007775;transcript31_ENSMUNG00000007775;transcript32_ENSMUNG00000007775;transcript33_ENSMUNG00000007775;transcript9_ENSMUNG00000002377;transcript13_ENSMUNG00000002377;transcript23_ENSMUNG00000002377;transcript27_ENSMUNG00000002377;transcript35_ENSMUNG00000002377;transcript36_ENSMUNG00000002377;transcript37_ENSMUNG00000002377;transcript38_ENSMUNG00000002377;transcript10_ENSMUNG00000002391;transcript23_ENSMUNG00000002391;transcript30_ENSMUNG00000002391;transcript33_ENSMUNG00000002391
transcript9_ENSMUNG00000007775;1.0;0.952;0.952;0.882;0.929;0.649;1.0;0.923;1.0;0.708;0.734;0.734;0.688;0.671;0.566;0.722;0.712;0.887;0.911;0.911;0.911
transcript21_ENSMUNG00000007775;0.952;1.0;1.0;0.93;0.978;0.697;0.952;0.972;0.952;0.756;0.78;0.78;0.735;0.717;0.613;0.769;0.76;0.934;0.958;0.958;0.958
transcript23_ENSMUNG00000007775;0.952;1.0;1.0;0.93;0.978;0.697;0.952;0.972;0.952;0.756;0.78;0.78;0.735;0.717;0.613;0.769;0.76;0.934;0.958;0.958;0.958
transcript25_ENSMUNG00000007775;0.882;0.93;0.93;1.0;0.908;0.627;0.882;0.902;0.882;0.686;0.712;0.712;0.667;0.65;0.545;0.701;0.691;0.867;0.891;0.891;0.891
transcript26_ENSMUNG00000007775;0.929;0.978;0.978;0.908;1.0;0.711;0.929;0.95;0.929;0.754;0.778;0.778;0.732;0.716;0.609;0.768;0.758;0.913;0.936;0.936;0.936
transcript30_ENSMUNG00000007775;0.649;0.697;0.697;0.627;0.711;1.0;0.649;0.668;0.649;0.61;0.645;0.645;0.596;0.576;0.816;0.627;0.615;0.645;0.669;0.669;0.669
transcript31_ENSMUNG00000007775;1.0;0.952;0.952;0.882;0.929;0.649;1.0;0.923;1.0;0.708;0.734;0.734;0.688;0.671;0.566;0.722;0.712;0.887;0.911;0.911;0.911
transcript32_ENSMUNG00000007775;0.923;0.972;0.972;0.902;0.95;0.668;0.923;1.0;0.923;0.728;0.754;0.754;0.708;0.691;0.585;0.742;0.748;0.907;0.931;0.931;0.931
transcript33_ENSMUNG00000007775;1.0;0.952;0.952;0.882;0.929;0.649;1.0;0.923;1.0;0.708;0.734;0.734;0.688;0.671;0.566;0.722;0.712;0.887;0.911;0.911;0.911
transcript9_ENSMUNG00000002377;0.708;0.756;0.756;0.686;0.754;0.61;0.708;0.728;0.708;1.0;0.909;0.909;0.889;0.867;0.649;0.98;0.964;0.731;0.754;0.754;0.754
transcript13_ENSMUNG00000002377;0.734;0.78;0.78;0.712;0.778;0.645;0.734;0.754;0.734;0.909;1.0;1.0;0.945;0.923;0.739;0.928;0.914;0.799;0.823;0.823;0.823
transcript23_ENSMUNG00000002377;0.734;0.78;0.78;0.712;0.778;0.645;0.734;0.754;0.734;0.909;1.0;1.0;0.945;0.923;0.739;0.928;0.914;0.799;0.823;0.823;0.823
transcript27_ENSMUNG00000002377;0.688;0.735;0.735;0.667;0.732;0.596;0.688;0.708;0.688;0.889;0.945;0.945;1.0;0.976;0.684;0.873;0.859;0.754;0.778;0.778;0.778
transcript35_ENSMUNG00000002377;0.671;0.717;0.717;0.65;0.716;0.576;0.671;0.691;0.671;0.867;0.923;0.923;0.976;1.0;0.662;0.851;0.837;0.736;0.76;0.76;0.76
transcript36_ENSMUNG00000002377;0.566;0.613;0.613;0.545;0.609;0.816;0.566;0.585;0.566;0.649;0.739;0.739;0.684;0.662;1.0;0.667;0.653;0.605;0.629;0.629;0.629
transcript37_ENSMUNG00000002377;0.722;0.769;0.769;0.701;0.768;0.627;0.722;0.742;0.722;0.98;0.928;0.928;0.873;0.851;0.667;1.0;0.984;0.745;0.768;0.768;0.768
transcript38_ENSMUNG00000002377;0.712;0.76;0.76;0.691;0.758;0.615;0.712;0.748;0.712;0.964;0.914;0.914;0.859;0.837;0.653;0.984;1.0;0.735;0.759;0.759;0.759
transcript10_ENSMUNG00000002391;0.887;0.934;0.934;0.867;0.913;0.645;0.887;0.907;0.887;0.731;0.799;0.799;0.754;0.736;0.605;0.745;0.735;1.0;0.976;0.976;0.976
transcript23_ENSMUNG00000002391;0.911;0.958;0.958;0.891;0.936;0.669;0.911;0.931;0.911;0.754;0.823;0.823;0.778;0.76;0.629;0.768;0.759;0.976;1.0;1.0;1.0
transcript30_ENSMUNG00000002391;0.911;0.958;0.958;0.891;0.936;0.669;0.911;0.931;0.911;0.754;0.823;0.823;0.778;0.76;0.629;0.768;0.759;0.976;1.0;1.0;1.0
transcript33_ENSMUNG00000002391;0.911;0.958;0.958;0.891;0.936;0.669;0.911;0.931;0.911;0.754;0.823;0.823;0.778;0.76;0.629;0.768;0.759;0.976;1.0;1.0;1.0
