;ENSCAFT00000010545_90_90;ENST00000261210_90_90;ENST00000266732_90_90;ENST00000343315_90_90;ENST00000393053_90_90;ENST00000556029_90_90;ENST00000556678_90_90;ENSMUST00000020123_90_90;ENSMUST00000072239_90_90;ENSMUST00000092219_90_90;ENSMUST00000099355_90_90;ENSMUST00000105293_90_90
ENSCAFT00000010545_90_90;1.0;0.38;0.524;0.716;0.574;0.794;0.366;0.509;0.78;0.7;0.629;0.552
ENST00000261210_90_90;0.38;1.0;0.221;0.461;0.532;0.429;0.322;0.231;0.434;0.472;0.511;0.561
ENST00000266732_90_90;0.524;0.221;1.0;0.189;0.203;0.181;0.078;1.0;0.175;0.182;0.19;0.198
ENST00000343315_90_90;0.716;0.461;0.189;1.0;0.85;0.925;0.487;0.19;0.78;0.847;0.77;0.686
ENST00000393053_90_90;0.574;0.532;0.203;0.85;1.0;0.786;0.441;0.206;0.631;0.686;0.744;0.818
ENST00000556029_90_90;0.794;0.429;0.181;0.925;0.786;1.0;0.449;0.182;0.859;0.78;0.708;0.631
ENST00000556678_90_90;0.366;0.322;0.078;0.487;0.441;0.449;1.0;0.084;0.329;0.358;0.388;0.296
ENSMUST00000020123_90_90;0.509;0.231;1.0;0.19;0.206;0.182;0.084;1.0;0.167;0.173;0.18;0.188
ENSMUST00000072239_90_90;0.78;0.434;0.175;0.78;0.631;0.859;0.329;0.167;1.0;0.923;0.854;0.78
ENSMUST00000092219_90_90;0.7;0.472;0.182;0.847;0.686;0.78;0.358;0.173;0.923;1.0;0.925;0.845
ENSMUST00000099355_90_90;0.629;0.511;0.19;0.77;0.744;0.708;0.388;0.18;0.854;0.925;1.0;0.913
ENSMUST00000105293_90_90;0.552;0.561;0.198;0.686;0.818;0.631;0.296;0.188;0.78;0.845;0.913;1.0
