;ENSCAFT00000027249_90_90;ENSCAFT00000027252_90_90;ENST00000327028_90_90;ENST00000343765_90_90;ENST00000448935_90_90;ENST00000553888_90_90;ENST00000556412_90_90;ENST00000557466_90_90;ENST00000557658_90_90;ENSMUST00000021426_90_90;ENSMUST00000072744_90_90;ENSMUST00000179379_90_90
ENSCAFT00000027249_90_90;1.0;0.913;0.784;1.0;0.784;1.0;0.925;0.102;1.0;0.867;0.943;0.867
ENSCAFT00000027252_90_90;0.913;1.0;0.697;0.913;0.697;0.913;0.845;0.112;0.913;0.781;0.856;0.781
ENST00000327028_90_90;0.784;0.697;1.0;0.784;1.0;0.784;0.728;0.135;0.784;0.746;0.827;0.746
ENST00000343765_90_90;1.0;0.913;0.784;1.0;0.784;1.0;0.925;0.102;1.0;0.867;0.943;0.867
ENST00000448935_90_90;0.784;0.697;1.0;0.784;1.0;0.784;0.728;0.135;0.784;0.746;0.827;0.746
ENST00000553888_90_90;1.0;0.913;0.784;1.0;0.784;1.0;0.925;0.102;1.0;0.867;0.943;0.867
ENST00000556412_90_90;0.925;0.845;0.728;0.925;0.728;0.925;1.0;0.093;0.925;0.804;0.873;0.804
ENST00000557466_90_90;0.102;0.112;0.135;0.102;0.135;0.102;0.093;1.0;0.102;0.119;0.108;0.119
ENST00000557658_90_90;1.0;0.913;0.784;1.0;0.784;1.0;0.925;0.102;1.0;0.867;0.943;0.867
ENSMUST00000021426_90_90;0.867;0.781;0.746;0.867;0.746;0.867;0.804;0.119;0.867;1.0;0.918;1.0
ENSMUST00000072744_90_90;0.943;0.856;0.827;0.943;0.827;0.943;0.873;0.108;0.943;0.918;1.0;0.918
ENSMUST00000179379_90_90;0.867;0.781;0.746;0.867;0.746;0.867;0.804;0.119;0.867;1.0;0.918;1.0
