;ENSCAFT00000016458_90_90;ENSCAFT00000047049_90_90;ENST00000257118_90_90;ENST00000373418_90_90;ENST00000373422_90_90;ENST00000431992_90_90;ENSMUST00000030588_90_90;ENSMUST00000106079_90_90;ENSMUST00000106080_90_90;ENSMUST00000120946_90_90;ENSMUST00000133439_90_90;ENSMUST00000134421_90_90;ENSMUST00000136377_90_90;ENSMUST00000138445_90_90;ENSMUST00000143632_90_90;ENSMUST00000147572_90_90
ENSCAFT00000016458_90_90;1.0;0.964;0.857;0.349;0.502;0.904;0.79;0.349;0.79;0.052;0.109;0.202;0.203;0.082;0.082;0.257
ENSCAFT00000047049_90_90;0.964;1.0;0.891;0.336;0.485;0.874;0.823;0.336;0.823;0.05;0.105;0.195;0.237;0.079;0.079;0.247
ENST00000257118_90_90;0.857;0.891;1.0;0.348;0.501;0.944;0.883;0.348;0.883;0.053;0.111;0.204;0.27;0.083;0.083;0.258
ENST00000373418_90_90;0.349;0.336;0.348;1.0;0.655;0.355;0.35;1.0;0.35;0.16;0.333;0.597;0.0;0.249;0.249;0.75
ENST00000373422_90_90;0.502;0.485;0.501;0.655;1.0;0.54;0.533;0.655;0.533;0.102;0.211;0.386;0.0;0.159;0.159;0.487
ENST00000431992_90_90;0.904;0.874;0.944;0.355;0.54;1.0;0.867;0.355;0.867;0.053;0.112;0.206;0.23;0.084;0.084;0.262
ENSMUST00000030588_90_90;0.79;0.823;0.883;0.35;0.533;0.867;1.0;0.35;1.0;0.053;0.112;0.205;0.298;0.083;0.083;0.259
ENSMUST00000106079_90_90;0.349;0.336;0.348;1.0;0.655;0.355;0.35;1.0;0.35;0.16;0.333;0.597;0.0;0.249;0.249;0.75
ENSMUST00000106080_90_90;0.79;0.823;0.883;0.35;0.533;0.867;1.0;0.35;1.0;0.053;0.112;0.205;0.298;0.083;0.083;0.259
ENSMUST00000120946_90_90;0.052;0.05;0.053;0.16;0.102;0.053;0.053;0.16;0.053;1.0;0.463;0.245;0.0;0.348;0.348;0.199
ENSMUST00000133439_90_90;0.109;0.105;0.111;0.333;0.211;0.112;0.112;0.333;0.112;0.463;1.0;0.52;0.0;0.351;0.351;0.417
ENSMUST00000134421_90_90;0.202;0.195;0.204;0.597;0.386;0.206;0.205;0.597;0.205;0.245;0.52;1.0;0.0;0.39;0.39;0.782
ENSMUST00000136377_90_90;0.203;0.237;0.27;0.0;0.0;0.23;0.298;0.0;0.298;0.0;0.0;0.0;1.0;0.0;0.0;0.0
ENSMUST00000138445_90_90;0.082;0.079;0.083;0.249;0.159;0.084;0.083;0.249;0.083;0.348;0.351;0.39;0.0;1.0;1.0;0.314
ENSMUST00000143632_90_90;0.082;0.079;0.083;0.249;0.159;0.084;0.083;0.249;0.083;0.348;0.351;0.39;0.0;1.0;1.0;0.314
ENSMUST00000147572_90_90;0.257;0.247;0.258;0.75;0.487;0.262;0.259;0.75;0.259;0.199;0.417;0.782;0.0;0.314;0.314;1.0
