;transcript8_MGP-PahariEiJ-G0020237;transcript36_MGP-PahariEiJ-G0020237;transcript37_MGP-PahariEiJ-G0020237;transcript38_MGP-PahariEiJ-G0020237;transcript8_ENSRNOG00000031503;transcript32_ENSCGRG00015005362;transcript33_ENSCGRG00015005362;transcript22_ENSCGRG00000018457;transcript26_ENSCGRG00000018457;transcript42_ENSCGRG00000018457;transcript43_ENSCGRG00000018457;transcript7_ENSCGRG00001010245;transcript26_ENSCGRG00001010245;transcript29_ENSCGRG00001010245;transcript37_ENSCGRG00001010245;transcript38_ENSCGRG00001010245;transcript15_ENSPEMG00000024651;transcript22_ENSPEMG00000024651;transcript24_ENSPEMG00000024651;transcript31_ENSPEMG00000024651;transcript5_ENSNGAG00000018584;transcript17_ENSNGAG00000018584;transcript20_ENSNGAG00000018584;transcript5_ENSSTOG00000019743;transcript12_ENSSTOG00000019743;transcript13_ENSSTOG00000019743;transcript14_ENSSTOG00000019743
transcript8_MGP-PahariEiJ-G0020237;1.0;1.0;1.0;1.0;0.996;0.716;0.716;0.716;0.716;0.716;0.716;0.716;0.716;0.716;0.716;0.297;0.716;0.708;0.716;0.708;0.686;0.615;0.615;0.716;0.716;0.507;0.716
transcript36_MGP-PahariEiJ-G0020237;1.0;1.0;1.0;1.0;0.996;0.716;0.716;0.716;0.716;0.716;0.716;0.716;0.716;0.716;0.716;0.297;0.716;0.708;0.716;0.708;0.686;0.615;0.615;0.716;0.716;0.507;0.716
transcript37_MGP-PahariEiJ-G0020237;1.0;1.0;1.0;1.0;0.996;0.716;0.716;0.716;0.716;0.716;0.716;0.716;0.716;0.716;0.716;0.297;0.716;0.708;0.716;0.708;0.686;0.615;0.615;0.716;0.716;0.507;0.716
transcript38_MGP-PahariEiJ-G0020237;1.0;1.0;1.0;1.0;0.996;0.716;0.716;0.716;0.716;0.716;0.716;0.716;0.716;0.716;0.716;0.297;0.716;0.708;0.716;0.708;0.686;0.615;0.615;0.716;0.716;0.507;0.716
transcript8_ENSRNOG00000031503;0.996;0.996;0.996;0.996;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.433;0.971;0.971;0.971;0.971;0.907;0.792;0.792;1.0;1.0;0.706;1.0
transcript32_ENSCGRG00015005362;0.716;0.716;0.716;0.716;1.0;1.0;0.922;1.0;1.0;0.982;0.974;0.887;1.0;0.963;0.887;0.814;0.943;0.974;0.943;0.972;0.938;0.912;0.913;0.99;0.99;0.915;0.99
transcript33_ENSCGRG00015005362;0.716;0.716;0.716;0.716;1.0;0.922;1.0;0.922;0.922;0.905;0.895;0.959;0.922;0.887;0.959;0.737;0.881;0.912;0.881;0.91;0.85;0.825;0.825;0.913;0.913;0.838;0.913
transcript22_ENSCGRG00000018457;0.716;0.716;0.716;0.716;1.0;1.0;0.922;1.0;1.0;0.982;0.974;0.887;1.0;0.963;0.887;0.814;0.943;0.974;0.943;0.972;0.938;0.912;0.913;0.99;0.99;0.915;0.99
transcript26_ENSCGRG00000018457;0.716;0.716;0.716;0.716;1.0;1.0;0.922;1.0;1.0;0.982;0.974;0.887;1.0;0.963;0.887;0.814;0.943;0.974;0.943;0.972;0.938;0.912;0.913;0.99;0.99;0.915;0.99
transcript42_ENSCGRG00000018457;0.716;0.716;0.716;0.716;1.0;0.982;0.905;0.982;0.982;1.0;0.956;0.869;0.982;0.946;0.869;0.796;0.926;0.958;0.926;0.956;0.922;0.897;0.898;0.972;0.972;0.897;0.972
