;ENSCAFT00000009009_90_90;ENST00000227214_90_90;ENST00000354190_90_90;ENST00000398492_90_90;ENST00000398494_90_90;ENST00000535129_90_90;ENST00000535582_90_90;ENST00000536527_90_90;ENST00000538227_90_90;ENST00000539157_90_90;ENST00000540431_90_90;ENST00000541597_90_90;ENST00000542389_90_90;ENST00000543085_90_90;ENST00000543524_90_90;ENST00000545798_90_90;ENST00000546251_90_90;ENSMUST00000079176_90_90;ENSMUST00000107043_90_90;ENSMUST00000107044_90_90;ENSMUST00000107045_90_90;ENSMUST00000107046_90_90;ENSMUST00000107047_90_90;ENSMUST00000116287_90_90;ENSMUST00000138830_90_90;ENSMUST00000139708_90_90;ENSMUST00000151123_90_90;ENSMUST00000208812_90_90
ENSCAFT00000009009_90_90;1.0;0.786;0.925;0.833;0.878;0.786;0.42;0.19;0.576;0.483;0.734;0.673;0.57;0.661;0.635;0.254;0.397;0.988;0.595;0.849;0.941;0.849;0.895;0.941;0.493;0.666;0.96;0.294
ENST00000227214_90_90;0.786;1.0;0.834;0.916;0.902;1.0;0.538;0.24;0.675;0.409;0.865;0.869;0.54;0.824;0.825;0.349;0.464;0.775;0.642;0.934;0.839;0.934;0.855;0.839;0.54;0.724;0.75;0.231
ENST00000354190_90_90;0.925;0.834;1.0;0.909;0.924;0.834;0.444;0.197;0.565;0.467;0.726;0.725;0.59;0.692;0.689;0.285;0.39;0.942;0.532;0.775;0.865;0.775;0.851;0.865;0.444;0.601;0.916;0.281
ENST00000398492_90_90;0.833;0.916;0.909;1.0;0.834;0.916;0.493;0.22;0.621;0.38;0.796;0.796;0.498;0.754;0.756;0.319;0.427;0.851;0.588;0.855;0.775;0.855;0.94;0.775;0.493;0.662;0.826;0.316
ENST00000398494_90_90;0.878;0.902;0.924;0.834;1.0;0.902;0.481;0.213;0.609;0.504;0.782;0.784;0.638;0.748;0.745;0.309;0.419;0.865;0.576;0.839;0.937;0.839;0.775;0.937;0.481;0.649;0.841;0.203
ENST00000535129_90_90;0.786;1.0;0.834;0.916;0.902;1.0;0.538;0.24;0.675;0.409;0.865;0.869;0.54;0.824;0.825;0.349;0.464;0.775;0.642;0.934;0.839;0.934;0.855;0.839;0.54;0.724;0.75;0.231
ENST00000535582_90_90;0.42;0.538;0.444;0.493;0.481;0.538;1.0;0.413;0.692;0.674;0.554;0.62;0.758;0.362;0.653;0.635;0.808;0.406;0.572;0.495;0.44;0.495;0.453;0.44;0.851;0.627;0.415;0.376
ENST00000536527_90_90;0.19;0.24;0.197;0.22;0.213;0.24;0.413;1.0;0.302;0.342;0.248;0.275;0.317;0.071;0.289;0.603;0.363;0.185;0.323;0.229;0.201;0.229;0.209;0.201;0.383;0.29;0.189;0.563
ENST00000538227_90_90;0.576;0.675;0.565;0.621;0.609;0.675;0.692;0.302;1.0;0.505;0.694;0.771;0.679;0.507;0.81;0.446;0.581;0.575;0.834;0.695;0.622;0.695;0.635;0.622;0.714;0.879;0.589;0.294
ENST00000539157_90_90;0.483;0.409;0.467;0.38;0.504;0.409;0.674;0.342;0.505;1.0;0.498;0.461;0.752;0.263;0.481;0.524;0.619;0.469;0.455;0.41;0.508;0.41;0.379;0.508;0.663;0.504;0.479;0.38
ENST00000540431_90_90;0.734;0.865;0.726;0.796;0.782;0.865;0.554;0.248;0.694;0.498;1.0;0.891;0.551;0.696;0.846;0.36;0.475;0.724;0.726;0.871;0.784;0.871;0.798;0.784;0.616;0.814;0.744;0.272
ENST00000541597_90_90;0.673;0.869;0.725;0.796;0.784;0.869;0.62;0.275;0.771;0.461;0.891;1.0;0.611;0.693;0.95;0.402;0.525;0.667;0.74;0.803;0.722;0.803;0.736;0.722;0.624;0.833;0.684;0.263
ENST00000542389_90_90;0.57;0.54;0.59;0.498;0.638;0.54;0.758;0.317;0.679;0.752;0.551;0.611;1.0;0.386;0.64;0.479;0.637;0.55;0.569;0.499;0.597;0.499;0.46;0.597;0.736;0.614;0.564;0.291
ENST00000543085_90_90;0.661;0.824;0.692;0.754;0.748;0.824;0.362;0.071;0.507;0.263;0.696;0.693;0.386;1.0;0.649;0.172;0.307;0.652;0.488;0.779;0.706;0.779;0.714;0.706;0.384;0.569;0.627;0.088
ENST00000543524_90_90;0.635;0.825;0.689;0.756;0.745;0.825;0.653;0.289;0.81;0.481;0.846;0.95;0.64;0.649;1.0;0.423;0.55;0.631;0.779;0.76;0.683;0.76;0.696;0.683;0.658;0.877;0.647;0.275
ENST00000545798_90_90;0.254;0.349;0.285;0.319;0.309;0.349;0.635;0.603;0.446;0.524;0.36;0.402;0.479;0.172;0.423;1.0;0.562;0.247;0.431;0.305;0.268;0.305;0.279;0.268;0.51;0.387;0.252;0.528
ENST00000546251_90_90;0.397;0.464;0.39;0.427;0.419;0.464;0.808;0.363;0.581;0.619;0.475;0.525;0.637;0.307;0.55;0.562;1.0;0.384;0.539;0.471;0.416;0.471;0.43;0.416;0.803;0.597;0.394;0.388
ENSMUST00000079176_90_90;0.988;0.775;0.942;0.851;0.865;0.775;0.406;0.185;0.575;0.469;0.724;0.667;0.55;0.652;0.631;0.247;0.384;1.0;0.591;0.834;0.924;0.834;0.909;0.924;0.474;0.658;0.974;0.316
ENSMUST00000107043_90_90;0.595;0.642;0.532;0.588;0.576;0.642;0.572;0.323;0.834;0.455;0.726;0.74;0.569;0.488;0.779;0.431;0.539;0.591;1.0;0.708;0.639;0.708;0.649;0.639;0.675;0.897;0.607;0.365
ENSMUST00000107044_90_90;0.849;0.934;0.775;0.855;0.839;0.934;0.495;0.229;0.695;0.41;0.871;0.803;0.499;0.779;0.76;0.305;0.471;0.834;0.708;1.0;0.902;1.0;0.916;0.902;0.574;0.79;0.808;0.268
ENSMUST00000107045_90_90;0.941;0.839;0.865;0.775;0.937;0.839;0.44;0.201;0.622;0.508;0.784;0.722;0.597;0.706;0.683;0.268;0.416;0.924;0.639;0.902;1.0;0.902;0.834;1.0;0.513;0.713;0.899;0.239
ENSMUST00000107046_90_90;0.849;0.934;0.775;0.855;0.839;0.934;0.495;0.229;0.695;0.41;0.871;0.803;0.499;0.779;0.76;0.305;0.471;0.834;0.708;1.0;0.902;1.0;0.916;0.902;0.574;0.79;0.808;0.268
ENSMUST00000107047_90_90;0.895;0.855;0.851;0.94;0.775;0.855;0.453;0.209;0.635;0.379;0.798;0.736;0.46;0.714;0.696;0.279;0.43;0.909;0.649;0.916;0.834;0.916;1.0;0.834;0.525;0.724;0.884;0.352
ENSMUST00000116287_90_90;0.941;0.839;0.865;0.775;0.937;0.839;0.44;0.201;0.622;0.508;0.784;0.722;0.597;0.706;0.683;0.268;0.416;0.924;0.639;0.902;1.0;0.902;0.834;1.0;0.513;0.713;0.899;0.239
ENSMUST00000138830_90_90;0.493;0.54;0.444;0.493;0.481;0.54;0.851;0.383;0.714;0.663;0.616;0.624;0.736;0.384;0.658;0.51;0.803;0.474;0.675;0.574;0.513;0.574;0.525;0.513;1.0;0.726;0.486;0.431
ENSMUST00000139708_90_90;0.666;0.724;0.601;0.662;0.649;0.724;0.627;0.29;0.879;0.504;0.814;0.833;0.614;0.569;0.877;0.387;0.597;0.658;0.897;0.79;0.713;0.79;0.724;0.713;0.726;1.0;0.676;0.332
ENSMUST00000151123_90_90;0.96;0.75;0.916;0.826;0.841;0.75;0.415;0.189;0.589;0.479;0.744;0.684;0.564;0.627;0.647;0.252;0.394;0.974;0.607;0.808;0.899;0.808;0.884;0.899;0.486;0.676;1.0;0.323
ENSMUST00000208812_90_90;0.294;0.231;0.281;0.316;0.203;0.231;0.376;0.563;0.294;0.38;0.272;0.263;0.291;0.088;0.275;0.528;0.388;0.316;0.365;0.268;0.239;0.268;0.352;0.239;0.431;0.332;0.323;1.0
