id_transcript;block_sequence
ENSCAFT00000030441_90_90;0.3.8.9.11.12.13.14.15.16.17.18.21.22.23
ENSCAFT00000047641_90_90;9.11.12.13.14.15.16.17.18.21.22.23
ENST00000359786_90_90;2.3.8.9.11.12.13.14.15.16.17.18.19.22.23
ENST00000361007_90_90;9.11.12.13.14.15.16.17.18.19.22.23
ENST00000438665_90_90;4.8.9.11.12.13.14.15.16.17.18.19.22.23
ENST00000545534_90_90;1.8.9.11.12.13.14.15.16.17.18.19.22.23
ENST00000570490_90_90;6.7.8.9.11.12.13
ENST00000570984_90_90;9.11.12.13.14.15.16
ENST00000571715_90_90;9.11
ENST00000573853_90_90;9.11.12.13.14.15
ENST00000574790_90_90;9.11.12.13.14
ENST00000575011_90_90;18.19.20.21.22
ENST00000575158_90_90;9.11.12.13.14.15.16.17.18.19.22.23
ENST00000575335_90_90;9.11.12
ENSMUST00000069057_90_90;9.11.12.13.14.15.16.17.18.21.22.23
ENSMUST00000102504_90_90;9.11.12.13.14.15.16.17.18.21.22.23
ENSMUST00000102505_90_90;2.3.8.9.11.12.13.14.15.16.17.18.21.22.23
ENSMUST00000108431_90_90;4.8.9.11.12.13.14.15.16.17.18.21.22.23
ENSMUST00000136935_90_90;5.7.8.9.10
