;ENSCAFT00000002168_90_90;ENSCAFT00000045695_90_90;ENSCAFT00000013241_90_90;ENSCAFT00000019370_90_90;ENST00000253363_90_90;ENST00000338163_90_90;ENST00000361162_90_90;ENST00000374038_90_90;ENST00000397370_90_90;ENST00000403542_90_90;ENST00000412738_90_90;ENST00000416108_90_90;ENST00000416529_90_90;ENST00000425184_90_90;ENST00000426951_90_90;ENST00000429968_90_90;ENST00000433027_90_90;ENST00000434927_90_90;ENST00000444878_90_90;ENST00000448303_90_90;ENST00000449489_90_90;ENST00000453310_90_90;ENST00000455343_90_90;ENST00000476806_90_90;ENST00000490484_90_90;ENST00000528062_90_90;ENST00000615771_90_90;ENST00000369086_90_90;ENST00000369093_90_90;ENST00000412524_90_90;ENST00000436547_90_90;ENST00000479729_90_90;ENST00000497671_90_90;ENST00000313352_90_90;ENST00000349157_90_90;ENST00000453551_90_90;ENST00000456095_90_90;ENST00000526459_90_90;ENST00000526683_90_90;ENST00000527197_90_90;ENST00000527744_90_90;ENST00000529999_90_90;ENST00000531897_90_90;ENST00000532884_90_90;ENST00000533162_90_90;ENSMUST00000002599_90_90;ENSMUST00000100527_90_90;ENSMUST00000029149_90_90;ENSMUST00000109584_90_90;ENSMUST00000109587_90_90;ENSMUST00000126992_90_90;ENSMUST00000137566_90_90;ENSMUST00000142071_90_90;ENSMUST00000146288_90_90;ENSMUST00000146297_90_90;ENSMUST00000146549_90_90;ENSMUST00000147098_90_90;ENSMUST00000148794_90_90;ENSMUST00000152919_90_90;ENSMUST00000153514_90_90;ENSMUST00000154677_90_90;ENSMUST00000155837_90_90;ENSMUST00000033135_90_90;ENSMUST00000106226_90_90;ENSMUST00000106228_90_90;ENSMUST00000123666_90_90;ENSMUST00000133089_90_90;ENSMUST00000133444_90_90;ENSMUST00000141126_90_90;ENSMUST00000165023_90_90;ENSMUST00000205278_90_90;ENSMUST00000205835_90_90
ENSCAFT00000002168_90_90;1.0;0.905;0.854;0.945;0.602;0.398;0.585;0.153;0.22;0.042;0.042;0.042;0.0;0.042;0.085;0.051;0.025;0.127;0.042;0.359;0.042;0.042;0.042;0.077;0.205;0.585;0.188;0.128;0.852;0.276;0.852;0.013;0.218;0.902;0.99;0.868;0.901;0.593;0.953;0.936;0.566;0.433;0.386;0.431;0.294;0.971;0.935;0.833;0.043;0.848;0.399;0.036;0.667;0.225;0.833;0.036;0.065;0.464;0.036;0.065;0.0;0.036;0.831;0.831;0.795;0.216;0.085;0.21;0.716;0.831;0.205;0.171
ENSCAFT00000045695_90_90;0.905;1.0;0.951;0.982;0.615;0.41;0.598;0.162;0.231;0.008;0.008;0.008;0.026;0.008;0.094;0.06;0.034;0.137;0.008;0.359;0.008;0.008;0.008;0.077;0.205;0.598;0.188;0.205;0.908;0.373;0.908;0.0;0.253;0.864;0.904;0.901;0.89;0.532;0.94;0.853;0.571;0.455;0.408;0.413;0.366;0.94;0.977;0.839;0.044;0.854;0.401;0.007;0.672;0.226;0.839;0.007;0.066;0.467;0.007;0.066;0.022;0.007;0.867;0.867;0.895;0.244;0.093;0.198;0.674;0.867;0.247;0.122
ENSCAFT00000013241_90_90;0.854;0.951;1.0;1.0;0.333;0.333;0.333;0.333;0.452;0.167;0.167;0.167;0.179;0.119;0.286;0.155;0.131;0.333;0.167;0.0;0.167;0.167;0.167;0.0;0.0;0.333;0.0;0.225;0.915;0.357;0.884;0.054;0.38;0.562;0.711;0.628;0.686;0.694;0.777;0.62;0.752;0.793;0.752;0.281;0.669;0.92;1.0;0.59;0.141;0.59;0.577;0.179;0.59;0.449;0.59;0.179;0.179;0.0;0.179;0.167;0.192;0.179;0.89;0.921;0.787;0.386;0.102;0.244;0.528;0.89;0.386;0.118
ENSCAFT00000019370_90_90;0.945;0.982;1.0;1.0;0.706;0.412;0.686;0.157;0.157;0.039;0.039;0.039;0.0;0.039;0.059;0.039;0.0;0.118;0.039;0.431;0.039;0.039;0.039;0.078;0.176;0.667;0.176;0.026;1.0;0.184;1.0;0.0;0.079;0.925;0.944;0.972;0.981;0.561;0.991;0.935;0.607;0.383;0.336;0.402;0.271;0.954;1.0;0.87;0.039;0.883;0.429;0.026;0.662;0.234;0.87;0.026;0.026;0.506;0.026;0.039;0.0;0.026;0.902;0.902;0.854;0.073;0.049;0.244;0.805;0.902;0.073;0.244
ENST00000253363_90_90;0.602;0.615;0.333;0.706;1.0;0.71;0.976;0.396;0.075;0.049;0.049;0.049;0.048;0.0;0.178;0.085;0.088;0.331;0.049;0.556;0.049;0.049;0.049;0.092;0.309;0.97;0.277;0.103;0.407;0.098;0.446;0.22;0.149;0.586;0.519;0.586;0.548;0.179;0.519;0.548;0.174;0.101;0.101;0.5;0.078;0.6;0.6;0.85;0.066;0.839;0.37;0.062;0.621;0.193;0.85;0.062;0.064;0.451;0.062;0.063;0.06;0.062;0.471;0.429;0.459;0.157;0.0;0.667;0.55;0.471;0.08;0.111
ENST00000338163_90_90;0.398;0.41;0.333;0.412;0.71;1.0;0.727;0.508;0.091;0.061;0.061;0.061;0.06;0.0;0.227;0.108;0.112;0.424;0.061;0.439;0.061;0.061;0.061;0.118;0.389;0.682;0.353;0.103;0.407;0.098;0.446;0.22;0.149;0.379;0.338;0.379;0.355;0.222;0.338;0.355;0.216;0.124;0.124;0.667;0.095;0.4;0.4;0.611;0.093;0.603;0.526;0.086;0.806;0.274;0.611;0.086;0.09;0.444;0.086;0.088;0.083;0.086;0.471;0.429;0.459;0.157;0.0;0.667;0.55;0.471;0.08;0.111
ENST00000361162_90_90;0.585;0.598;0.333;0.686;0.976;0.727;1.0;0.406;0.076;0.05;0.05;0.05;0.049;0.0;0.182;0.087;0.09;0.339;0.05;0.533;0.05;0.05;0.05;0.095;0.316;0.947;0.284;0.103;0.407;0.098;0.446;0.22;0.149;0.569;0.504;0.569;0.532;0.182;0.504;0.532;0.176;0.102;0.102;0.511;0.079;0.583;0.583;0.868;0.067;0.856;0.379;0.063;0.6;0.197;0.868;0.063;0.066;0.461;0.063;0.065;0.062;0.063;0.471;0.429;0.459;0.157;0.0;0.667;0.55;0.471;0.08;0.111
ENST00000374038_90_90;0.153;0.162;0.333;0.157;0.396;0.508;0.406;1.0;0.152;0.11;0.11;0.11;0.105;0.0;0.448;0.203;0.217;0.809;0.11;0.158;0.11;0.11;0.11;0.0;0.134;0.367;0.0;0.103;0.407;0.098;0.446;0.22;0.149;0.132;0.122;0.132;0.123;0.2;0.122;0.123;0.208;0.176;0.176;0.413;0.135;0.158;0.158;0.31;0.176;0.306;0.8;0.153;0.419;0.531;0.31;0.153;0.167;0.171;0.153;0.161;0.143;0.153;0.471;0.429;0.459;0.157;0.0;0.667;0.55;0.471;0.08;0.111
ENST00000397370_90_90;0.22;0.231;0.452;0.157;0.075;0.091;0.076;0.152;1.0;0.145;0.145;0.145;0.136;0.0;0.116;0.278;0.306;0.17;0.145;0.0;0.145;0.145;0.145;0.0;0.0;0.077;0.0;0.349;0.227;0.326;0.247;0.257;0.519;0.134;0.208;0.134;0.144;0.375;0.208;0.144;0.393;0.545;0.545;0.0;0.577;0.208;0.208;0.094;0.762;0.093;0.226;0.25;0.125;0.368;0.094;0.25;0.905;0.0;0.25;0.5;0.225;0.25;0.26;0.238;0.221;0.562;0.333;0.0;0.0;0.26;0.415;0.128
ENST00000403542_90_90;0.042;0.008;0.167;0.039;0.049;0.061;0.05;0.11;0.145;1.0;1.0;1.0;0.209;0.625;0.038;0.243;0.281;0.127;1.0;0.0;1.0;1.0;1.0;0.0;0.0;0.05;0.0;0.0;0.153;0.0;0.167;0.619;0.232;0.0;0.052;0.0;0.057;0.103;0.052;0.057;0.07;0.0;0.0;0.0;0.0;0.058;0.058;0.057;0.29;0.057;0.129;1.0;0.075;0.196;0.057;1.0;0.265;0.0;1.0;0.25;0.209;1.0;0.186;0.169;0.0;0.271;0.0;0.0;0.0;0.186;0.109;0.765
ENST00000412738_90_90;0.042;0.008;0.167;0.039;0.049;0.061;0.05;0.11;0.145;1.0;1.0;1.0;0.209;0.625;0.038;0.243;0.281;0.127;1.0;0.0;1.0;1.0;1.0;0.0;0.0;0.05;0.0;0.0;0.153;0.0;0.167;0.619;0.232;0.0;0.052;0.0;0.057;0.103;0.052;0.057;0.07;0.0;0.0;0.0;0.0;0.058;0.058;0.057;0.29;0.057;0.129;1.0;0.075;0.196;0.057;1.0;0.265;0.0;1.0;0.25;0.209;1.0;0.186;0.169;0.0;0.271;0.0;0.0;0.0;0.186;0.109;0.765
ENST00000416108_90_90;0.042;0.008;0.167;0.039;0.049;0.061;0.05;0.11;0.145;1.0;1.0;1.0;0.209;0.625;0.038;0.243;0.281;0.127;1.0;0.0;1.0;1.0;1.0;0.0;0.0;0.05;0.0;0.0;0.153;0.0;0.167;0.619;0.232;0.0;0.052;0.0;0.057;0.103;0.052;0.057;0.07;0.0;0.0;0.0;0.0;0.058;0.058;0.057;0.29;0.057;0.129;1.0;0.075;0.196;0.057;1.0;0.265;0.0;1.0;0.25;0.209;1.0;0.186;0.169;0.0;0.271;0.0;0.0;0.0;0.186;0.109;0.765
ENST00000416529_90_90;0.0;0.026;0.179;0.0;0.048;0.06;0.049;0.105;0.136;0.209;0.209;0.209;1.0;0.0;0.036;0.22;0.25;0.12;0.209;0.0;0.209;0.209;0.209;0.0;0.0;0.049;0.0;0.227;0.284;0.213;0.198;0.29;0.271;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.2;0.2;0.0;0.212;0.017;0.017;0.056;0.257;0.055;0.122;0.209;0.073;0.18;0.056;0.209;0.237;0.0;0.209;0.225;1.0;0.209;0.208;0.299;0.145;0.291;0.0;0.0;0.0;0.208;0.34;0.29
