;ENSCAFT00000011068_90_90;ENST00000361272_90_90;ENST00000518021_90_90;ENST00000518541_90_90;ENST00000519918_90_90;ENST00000519954_90_90;ENST00000520178_90_90;ENST00000523917_90_90;ENST00000524358_90_90;ENST00000628418_90_90;ENSMUST00000034012_90_90;ENSMUST00000132032_90_90;ENSMUST00000135269_90_90;ENSMUST00000149992_90_90
ENSCAFT00000011068_90_90;;0.899;0.164;0.258;0.529;0.166;0.238;0.742;0.481;0.166;0.0;0.0;0.0;0.0
ENST00000361272_90_90;0.899;;;;;;;;;;0.0;0.0;0.0;0.0
ENST00000518021_90_90;0.164;;;;;;;;;;0.0;0.0;0.0;0.0
ENST00000518541_90_90;0.258;;;;;;;;;;0.0;0.0;0.0;0.0
ENST00000519918_90_90;0.529;;;;;;;;;;0.0;0.0;0.0;0.0
ENST00000519954_90_90;0.166;;;;;;;;;;0.0;0.0;0.0;0.0
ENST00000520178_90_90;0.238;;;;;;;;;;0.0;0.0;0.0;0.0
ENST00000523917_90_90;0.742;;;;;;;;;;0.0;0.0;0.0;0.0
ENST00000524358_90_90;0.481;;;;;;;;;;0.0;0.0;0.0;0.0
ENST00000628418_90_90;0.166;;;;;;;;;;0.0;0.0;0.0;0.0
ENSMUST00000034012_90_90;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;;;
ENSMUST00000132032_90_90;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;;;
ENSMUST00000135269_90_90;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;;;
ENSMUST00000149992_90_90;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;;;
