;ENSCAFT00000009524_90_90;ENSCAFT00000009525_90_90;ENST00000305852_90_90;ENST00000357996_90_90;ENST00000379245_90_90;ENST00000405912_90_90;ENST00000413938_90_90;ENST00000414288_90_90;ENST00000432869_90_90;ENST00000441005_90_90;ENST00000451623_90_90;ENSMUST00000070039_90_90;ENSMUST00000112487_90_90
ENSCAFT00000009524_90_90;1.0;0.928;0.465;0.652;0.962;0.892;0.168;0.324;0.183;0.366;0.791;0.926;0.997
ENSCAFT00000009525_90_90;0.928;1.0;0.5;0.702;0.892;0.959;0.181;0.348;0.132;0.392;0.851;0.997;0.926
ENST00000305852_90_90;0.465;0.5;1.0;0.697;0.479;0.516;0.0;0.651;0.232;0.735;0.38;0.501;0.466
ENST00000357996_90_90;0.652;0.702;0.697;1.0;0.646;0.696;0.256;0.48;0.17;0.529;0.588;0.704;0.654
ENST00000379245_90_90;0.962;0.892;0.479;0.646;1.0;0.929;0.166;0.322;0.177;0.378;0.803;0.889;0.959
ENST00000405912_90_90;0.892;0.959;0.516;0.696;0.929;1.0;0.178;0.346;0.126;0.405;0.864;0.956;0.889
ENST00000413938_90_90;0.168;0.181;0.0;0.256;0.166;0.178;1.0;0.0;0.0;0.0;0.207;0.181;0.168
ENST00000414288_90_90;0.324;0.348;0.651;0.48;0.322;0.346;0.0;1.0;0.296;0.649;0.23;0.349;0.325
ENST00000432869_90_90;0.183;0.132;0.232;0.17;0.177;0.126;0.0;0.296;1.0;0.232;0.011;0.132;0.184
ENST00000441005_90_90;0.366;0.392;0.735;0.529;0.378;0.405;0.0;0.649;0.232;1.0;0.279;0.393;0.367
ENST00000451623_90_90;0.791;0.851;0.38;0.588;0.803;0.864;0.207;0.23;0.011;0.279;1.0;0.848;0.788
ENSMUST00000070039_90_90;0.926;0.997;0.501;0.704;0.889;0.956;0.181;0.349;0.132;0.393;0.848;1.0;0.928
ENSMUST00000112487_90_90;0.997;0.926;0.466;0.654;0.959;0.889;0.168;0.325;0.184;0.367;0.788;0.928;1.0
