;ENSCAFT00000026918_90_90;ENST00000268049_90_90;ENST00000380324_90_90;ENST00000538686_90_90;ENST00000540797_90_90;ENST00000557884_90_90;ENST00000558157_90_90;ENST00000558285_90_90;ENST00000559192_90_90;ENST00000559257_90_90;ENST00000559276_90_90;ENST00000559711_90_90;ENST00000559771_90_90;ENST00000559873_90_90;ENST00000560070_90_90;ENST00000560202_90_90;ENST00000561442_90_90;ENSMUST00000098613_90_90;ENSMUST00000127569_90_90;ENSMUST00000139547_90_90;ENSMUST00000174387_90_90
ENSCAFT00000026918_90_90;1.0;0.758;0.828;0.03;0.727;0.052;0.052;0.754;0.115;0.697;0.071;0.632;0.268;0.126;0.263;0.127;0.229;0.939;1.0;0.147;0.807
ENST00000268049_90_90;0.758;1.0;0.916;0.03;0.732;0.0;0.0;0.931;0.062;0.794;0.165;0.684;0.452;0.07;0.264;0.132;0.29;0.702;0.758;0.063;0.657
ENST00000380324_90_90;0.828;0.916;1.0;0.03;0.807;0.052;0.052;0.911;0.117;0.775;0.124;0.667;0.397;0.126;0.328;0.127;0.354;0.77;0.828;0.118;0.727
ENST00000538686_90_90;0.03;0.03;0.03;1.0;0.0;0.0;0.0;0.03;0.0;0.042;0.0;0.0;0.061;0.0;0.0;0.0;0.063;0.033;0.03;0.0;0.0
ENST00000540797_90_90;0.727;0.732;0.807;0.0;1.0;0.064;0.064;0.728;0.146;0.754;0.08;0.808;0.212;0.154;0.425;0.147;0.17;0.667;0.727;0.151;0.871
ENST00000557884_90_90;0.052;0.0;0.052;0.0;0.064;1.0;1.0;0.0;0.272;0.0;0.0;0.0;0.0;0.311;0.151;0.0;0.135;0.055;0.052;0.303;0.064
ENST00000558157_90_90;0.052;0.0;0.052;0.0;0.064;1.0;1.0;0.0;0.272;0.0;0.0;0.0;0.0;0.311;0.151;0.0;0.135;0.055;0.052;0.303;0.064
ENST00000558285_90_90;0.754;0.931;0.911;0.03;0.728;0.0;0.0;1.0;0.062;0.79;0.126;0.68;0.4;0.07;0.263;0.131;0.29;0.699;0.754;0.062;0.653
ENST00000559192_90_90;0.115;0.062;0.117;0.0;0.146;0.272;0.272;0.062;1.0;0.0;0.263;0.0;0.126;0.23;0.334;0.0;0.293;0.122;0.115;0.268;0.11
ENST00000559257_90_90;0.697;0.794;0.775;0.042;0.754;0.0;0.0;0.79;0.0;1.0;0.0;0.841;0.246;0.085;0.231;0.155;0.14;0.637;0.697;0.082;0.709
ENST00000559276_90_90;0.071;0.165;0.124;0.0;0.08;0.0;0.0;0.126;0.263;0.0;1.0;0.0;0.349;0.0;0.158;0.0;0.265;0.075;0.071;0.0;0.047
ENST00000559711_90_90;0.632;0.684;0.667;0.0;0.808;0.0;0.0;0.68;0.0;0.841;0.0;1.0;0.148;0.091;0.253;0.165;0.051;0.573;0.632;0.091;0.754
ENST00000559771_90_90;0.268;0.452;0.397;0.061;0.212;0.0;0.0;0.4;0.126;0.246;0.349;0.148;1.0;0.0;0.399;0.0;0.522;0.283;0.268;0.125;0.154
ENST00000559873_90_90;0.126;0.07;0.126;0.0;0.154;0.311;0.311;0.07;0.23;0.085;0.0;0.091;0.0;1.0;0.139;0.0;0.122;0.135;0.126;0.256;0.154
ENST00000560070_90_90;0.263;0.264;0.328;0.0;0.425;0.151;0.151;0.263;0.334;0.231;0.158;0.253;0.399;0.139;1.0;0.0;0.303;0.278;0.263;0.349;0.325
ENST00000560202_90_90;0.127;0.132;0.127;0.0;0.147;0.0;0.0;0.131;0.0;0.155;0.0;0.165;0.0;0.0;0.0;1.0;0.0;0.137;0.127;0.0;0.147
ENST00000561442_90_90;0.229;0.29;0.354;0.063;0.17;0.135;0.135;0.29;0.293;0.14;0.265;0.051;0.522;0.122;0.303;0.0;1.0;0.241;0.229;0.197;0.115
ENSMUST00000098613_90_90;0.939;0.702;0.77;0.033;0.667;0.055;0.055;0.699;0.122;0.637;0.075;0.573;0.283;0.135;0.278;0.137;0.241;1.0;0.939;0.157;0.746
ENSMUST00000127569_90_90;1.0;0.758;0.828;0.03;0.727;0.052;0.052;0.754;0.115;0.697;0.071;0.632;0.268;0.126;0.263;0.127;0.229;0.939;1.0;0.147;0.807
ENSMUST00000139547_90_90;0.147;0.063;0.118;0.0;0.151;0.303;0.303;0.062;0.268;0.082;0.0;0.091;0.125;0.256;0.349;0.0;0.197;0.157;0.147;1.0;0.194
ENSMUST00000174387_90_90;0.807;0.657;0.727;0.0;0.871;0.064;0.064;0.653;0.11;0.709;0.047;0.754;0.154;0.154;0.325;0.147;0.115;0.746;0.807;0.194;1.0
