;ENSCAFT00000048684_90_90;ENST00000335135_90_90;ENST00000526716_90_90;ENST00000526974_90_90;ENST00000528027_90_90;ENST00000528712_90_90;ENST00000532059_90_90;ENST00000532977_90_90;ENST00000622443_90_90;ENSMUST00000067417_90_90;ENSMUST00000118022_90_90;ENSMUST00000121312_90_90;ENSMUST00000132122_90_90;ENSMUST00000137244_90_90;ENSMUST00000156782_90_90
ENSCAFT00000048684_90_90;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.547;0.547;0.0;0.262;0.154;0.154
ENST00000335135_90_90;0.0;1.0;0.263;0.142;0.466;0.369;0.986;0.095;0.961;0.823;0.841;0.383;0.0;0.0;0.0
ENST00000526716_90_90;0.0;0.263;1.0;0.0;0.0;0.684;0.261;0.0;0.269;0.272;0.275;0.709;0.0;0.0;0.0
ENST00000526974_90_90;0.0;0.142;0.0;1.0;0.271;0.0;0.139;0.681;0.134;0.13;0.134;0.0;0.0;0.0;0.0
ENST00000528027_90_90;0.0;0.466;0.0;0.271;1.0;0.0;0.457;0.184;0.426;0.449;0.461;0.0;0.0;0.0;0.0
ENST00000528712_90_90;0.0;0.369;0.684;0.0;0.0;1.0;0.367;0.0;0.379;0.374;0.379;1.0;0.0;0.0;0.0
ENST00000532059_90_90;0.0;0.986;0.261;0.139;0.457;0.367;1.0;0.093;0.948;0.842;0.823;0.378;0.0;0.0;0.0
ENST00000532977_90_90;0.0;0.095;0.0;0.681;0.184;0.0;0.093;1.0;0.085;0.089;0.091;0.0;0.0;0.0;0.0
ENST00000622443_90_90;0.0;0.961;0.269;0.134;0.426;0.379;0.948;0.085;1.0;0.768;0.784;0.397;0.0;0.0;0.0
ENSMUST00000067417_90_90;0.547;0.823;0.272;0.13;0.449;0.374;0.842;0.089;0.768;1.0;0.988;0.351;0.09;0.054;0.054
ENSMUST00000118022_90_90;0.547;0.841;0.275;0.134;0.461;0.379;0.823;0.091;0.784;0.988;1.0;0.353;0.092;0.056;0.056
ENSMUST00000121312_90_90;0.0;0.383;0.709;0.0;0.0;1.0;0.378;0.0;0.397;0.351;0.353;1.0;0.0;0.0;0.0
ENSMUST00000132122_90_90;0.262;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.09;0.092;0.0;1.0;0.647;0.647
ENSMUST00000137244_90_90;0.154;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.054;0.056;0.0;0.647;1.0;1.0
ENSMUST00000156782_90_90;0.154;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.054;0.056;0.0;0.647;1.0;1.0
