;ENSCAFT00000011893_90_90;ENST00000265997_90_90;ENST00000412050_90_90;ENST00000614585_90_90;ENSMUST00000079754_90_90;ENSMUST00000123727_90_90;ENSMUST00000124158_90_90;ENSMUST00000126188_90_90;ENSMUST00000126781_90_90;ENSMUST00000128642_90_90;ENSMUST00000131917_90_90;ENSMUST00000132580_90_90;ENSMUST00000133988_90_90;ENSMUST00000136286_90_90;ENSMUST00000142973_90_90;ENSMUST00000154376_90_90
ENSCAFT00000011893_90_90;1.0;0.714;0.8;0.714;0.667;0.636;0.273;0.652;0.583;0.158;0.211;0.667;0.368;0.636;0.263;0.667
ENST00000265997_90_90;0.714;1.0;0.8;1.0;0.6;0.565;0.333;0.52;0.462;0.1;0.15;0.6;0.3;0.714;0.2;0.6
ENST00000412050_90_90;0.8;0.8;1.0;0.8;0.6;0.636;0.273;0.652;0.583;0.1;0.15;0.6;0.3;0.565;0.2;0.6
ENST00000614585_90_90;0.714;1.0;0.8;1.0;0.6;0.565;0.333;0.52;0.462;0.1;0.15;0.6;0.3;0.714;0.2;0.6
ENSMUST00000079754_90_90;0.667;0.6;0.6;0.6;1.0;0.818;0.455;0.909;0.826;0.182;0.227;1.0;0.364;0.818;0.273;1.0
ENSMUST00000123727_90_90;0.636;0.565;0.636;0.565;0.818;1.0;0.4;0.9;0.81;0.222;0.278;0.818;0.444;0.8;0.333;0.818
ENSMUST00000124158_90_90;0.273;0.333;0.273;0.333;0.455;0.4;1.0;0.364;0.304;0.0;0.0;0.455;0.0;0.4;0.0;0.455
ENSMUST00000126188_90_90;0.652;0.52;0.652;0.52;0.909;0.9;0.364;1.0;0.905;0.2;0.25;0.909;0.4;0.727;0.3;0.909
ENSMUST00000126781_90_90;0.583;0.462;0.583;0.462;0.826;0.81;0.304;0.905;1.0;0.2;0.25;0.826;0.4;0.652;0.3;0.826
ENSMUST00000128642_90_90;0.158;0.1;0.1;0.1;0.182;0.222;0.0;0.2;0.2;1.0;0.8;0.182;0.5;0.222;0.667;0.182
ENSMUST00000131917_90_90;0.211;0.15;0.15;0.15;0.227;0.278;0.0;0.25;0.25;0.8;1.0;0.227;0.625;0.278;0.833;0.227
ENSMUST00000132580_90_90;0.667;0.6;0.6;0.6;1.0;0.818;0.455;0.909;0.826;0.182;0.227;1.0;0.364;0.818;0.273;1.0
ENSMUST00000133988_90_90;0.368;0.3;0.3;0.3;0.364;0.444;0.0;0.4;0.4;0.5;0.625;0.364;1.0;0.444;0.75;0.364
ENSMUST00000136286_90_90;0.636;0.714;0.565;0.714;0.818;0.8;0.4;0.727;0.652;0.222;0.278;0.818;0.444;1.0;0.333;0.818
ENSMUST00000142973_90_90;0.263;0.2;0.2;0.2;0.273;0.333;0.0;0.3;0.3;0.667;0.833;0.273;0.75;0.333;1.0;0.273
ENSMUST00000154376_90_90;0.667;0.6;0.6;0.6;1.0;0.818;0.455;0.909;0.826;0.182;0.227;1.0;0.364;0.818;0.273;1.0
