;transcript2_ENSHGLG00100003156;transcript2_ENSPCIG00000036398;transcript8_ENSHGLG00100003156;transcript8_ENSHGLG00000019563;transcript16_ENSHGLG00100003156;transcript16_ENSHGLG00000019563;transcript18_ENSHGLG00100003156;transcript21_ENSHGLG00100003156;transcript22_ENSHGLG00100003156;transcript23_ENSHGLG00100003156;transcript13_ENSHGLG00000019563;transcript19_ENSHGLG00000019563;transcript19_ENSPCIG00000036398;transcript26_ENSHGLG00000019563;transcript27_ENSHGLG00000019563;transcript28_ENSHGLG00000019563;transcript7_ENSHGLG00100006079;transcript14_ENSHGLG00100006079
transcript2_ENSHGLG00100003156;1.0;1.0;0.853;0.853;0.988;0.988;0.866;0.924;0.826;0.988;0.866;0.866;0.866;0.762;0.698;0.588;0.902;0.902
transcript2_ENSPCIG00000036398;1.0;1.0;0.853;0.853;0.988;0.988;0.866;0.924;0.826;0.988;0.866;0.866;0.866;0.762;0.698;0.588;0.902;0.902
transcript8_ENSHGLG00100003156;0.853;0.853;1.0;1.0;0.841;0.841;0.985;0.795;0.679;0.841;0.985;0.985;0.985;0.865;0.811;0.664;0.773;0.773
transcript8_ENSHGLG00000019563;0.853;0.853;1.0;1.0;0.841;0.841;0.985;0.795;0.679;0.841;0.985;0.985;0.985;0.865;0.811;0.664;0.773;0.773
transcript16_ENSHGLG00100003156;0.988;0.988;0.841;0.841;1.0;1.0;0.855;0.935;0.815;1.0;0.855;0.855;0.855;0.75;0.686;0.577;0.891;0.891
transcript16_ENSHGLG00000019563;0.988;0.988;0.841;0.841;1.0;1.0;0.855;0.935;0.815;1.0;0.855;0.855;0.855;0.75;0.686;0.577;0.891;0.891
transcript18_ENSHGLG00100003156;0.866;0.866;0.985;0.985;0.855;0.855;1.0;0.79;0.693;0.855;1.0;1.0;1.0;0.88;0.805;0.679;0.769;0.769
transcript21_ENSHGLG00100003156;0.924;0.924;0.795;0.795;0.935;0.935;0.79;1.0;0.75;0.935;0.79;0.79;0.79;0.686;0.733;0.512;0.952;0.952
transcript22_ENSHGLG00100003156;0.826;0.826;0.679;0.679;0.815;0.815;0.693;0.75;1.0;0.815;0.693;0.693;0.693;0.588;0.524;0.712;0.761;0.761
transcript23_ENSHGLG00100003156;0.988;0.988;0.841;0.841;1.0;1.0;0.855;0.935;0.815;1.0;0.855;0.855;0.855;0.75;0.686;0.577;0.891;0.891
transcript13_ENSHGLG00000019563;0.866;0.866;0.985;0.985;0.855;0.855;1.0;0.79;0.693;0.855;1.0;1.0;1.0;0.88;0.805;0.679;0.769;0.769
transcript19_ENSHGLG00000019563;0.866;0.866;0.985;0.985;0.855;0.855;1.0;0.79;0.693;0.855;1.0;1.0;1.0;0.88;0.805;0.679;0.769;0.769
transcript19_ENSPCIG00000036398;0.866;0.866;0.985;0.985;0.855;0.855;1.0;0.79;0.693;0.855;1.0;1.0;1.0;0.88;0.805;0.679;0.769;0.769
transcript26_ENSHGLG00000019563;0.762;0.762;0.865;0.865;0.75;0.75;0.88;0.686;0.588;0.75;0.88;0.88;0.88;1.0;0.915;0.772;0.69;0.69
transcript27_ENSHGLG00000019563;0.698;0.698;0.811;0.811;0.686;0.686;0.805;0.733;0.524;0.686;0.805;0.805;0.805;0.915;1.0;0.688;0.738;0.738
transcript28_ENSHGLG00000019563;0.588;0.588;0.664;0.664;0.577;0.577;0.679;0.512;0.712;0.577;0.679;0.679;0.679;0.772;0.688;1.0;0.542;0.542
transcript7_ENSHGLG00100006079;0.902;0.902;0.773;0.773;0.891;0.891;0.769;0.952;0.761;0.891;0.769;0.769;0.769;0.69;0.738;0.542;1.0;1.0
transcript14_ENSHGLG00100006079;0.902;0.902;0.773;0.773;0.891;0.891;0.769;0.952;0.761;0.891;0.769;0.769;0.769;0.69;0.738;0.542;1.0;1.0
