;ENSCAFT00000013561_90_90;ENSCAFT00000013564_90_90;ENST00000233330_90_90;ENST00000272430_90_90;ENST00000305557_90_90;ENST00000640304_90_90;ENSMUST00000065512_90_90;ENSMUST00000087938_90_90;ENSMUST00000121093_90_90;ENSMUST00000129316_90_90;ENSMUST00000130622_90_90;ENSMUST00000135490_90_90;ENSMUST00000213056_90_90
ENSCAFT00000013561_90_90;1.0;0.533;0.615;0.667;0.562;0.067;0.733;0.625;0.625;0.077;0.2;0.231;0.067
ENSCAFT00000013564_90_90;0.533;1.0;0.5;0.467;0.467;0.182;0.438;0.438;0.438;0.1;0.25;0.3;0.182
ENST00000233330_90_90;0.615;0.5;1.0;0.667;0.667;0.1;0.615;0.615;0.615;0.125;0.182;0.375;0.1
ENST00000272430_90_90;0.667;0.467;0.667;1.0;0.714;0.071;0.923;0.667;0.667;0.083;0.308;0.25;0.071
ENST00000305557_90_90;0.562;0.467;0.667;0.714;1.0;0.071;0.667;0.786;0.786;0.083;0.308;0.25;0.071
ENST00000640304_90_90;0.067;0.182;0.1;0.071;0.071;1.0;0.067;0.067;0.067;0.0;0.0;0.0;1.0
ENSMUST00000065512_90_90;0.733;0.438;0.615;0.923;0.667;0.067;1.0;0.733;0.733;0.077;0.286;0.231;0.067
ENSMUST00000087938_90_90;0.625;0.438;0.615;0.667;0.786;0.067;0.733;1.0;1.0;0.077;0.286;0.231;0.067
ENSMUST00000121093_90_90;0.625;0.438;0.615;0.667;0.786;0.067;0.733;1.0;1.0;0.077;0.286;0.231;0.067
ENSMUST00000129316_90_90;0.077;0.1;0.125;0.083;0.083;0.0;0.077;0.077;0.077;1.0;0.2;0.333;0.0
ENSMUST00000130622_90_90;0.2;0.25;0.182;0.308;0.308;0.0;0.286;0.286;0.286;0.2;1.0;0.333;0.0
ENSMUST00000135490_90_90;0.231;0.3;0.375;0.25;0.25;0.0;0.231;0.231;0.231;0.333;0.333;1.0;0.0
ENSMUST00000213056_90_90;0.067;0.182;0.1;0.071;0.071;1.0;0.067;0.067;0.067;0.0;0.0;0.0;1.0
