;ENSCAFT00000009605_90_90;ENST00000301244_90_90;ENST00000454580_90_90;ENST00000587090_90_90;ENST00000587334_90_90;ENST00000587516_90_90;ENST00000590510_90_90;ENST00000590738_90_90;ENST00000592007_90_90;ENSMUST00000098604_90_90;ENSMUST00000108236_90_90;ENSMUST00000207601_90_90
ENSCAFT00000009605_90_90;1.0;0.074;0.083;0.0;0.0;0.091;0.0;0.0;0.0;0.174;0.1;0.182
ENST00000301244_90_90;0.074;1.0;0.87;0.783;0.4;0.783;0.087;0.467;0.13;0.375;0.345;0.304
ENST00000454580_90_90;0.083;0.87;1.0;0.81;0.455;0.652;0.048;0.519;0.095;0.323;0.385;0.35
ENST00000587090_90_90;0.0;0.783;0.81;1.0;0.5;0.565;0.111;0.56;0.167;0.258;0.259;0.19
ENST00000587334_90_90;0.0;0.4;0.455;0.5;1.0;0.304;0.0;0.375;0.0;0.222;0.273;0.0
ENST00000587516_90_90;0.091;0.783;0.652;0.565;0.304;1.0;0.053;0.444;0.05;0.258;0.214;0.25
ENST00000590510_90_90;0.0;0.087;0.048;0.111;0.0;0.053;1.0;0.0;0.667;0.095;0.059;0.125
ENST00000590738_90_90;0.0;0.467;0.519;0.56;0.375;0.444;0.0;1.0;0.0;0.235;0.276;0.077
ENST00000592007_90_90;0.0;0.13;0.095;0.167;0.0;0.05;0.667;0.0;1.0;0.143;0.118;0.25
ENSMUST00000098604_90_90;0.174;0.375;0.323;0.258;0.222;0.258;0.095;0.235;0.143;1.0;0.762;0.217
ENSMUST00000108236_90_90;0.1;0.345;0.385;0.259;0.273;0.214;0.059;0.276;0.118;0.762;1.0;0.278
ENSMUST00000207601_90_90;0.182;0.304;0.35;0.19;0.0;0.25;0.125;0.077;0.25;0.217;0.278;1.0
