;ENSCAFT00000020388_90_90;ENSCAFT00000043901_90_90;ENST00000256953_90_90;ENST00000393736_90_90;ENST00000536465_90_90;ENST00000537647_90_90;ENST00000538313_90_90;ENST00000545567_90_90;ENST00000546331_90_90;ENSMUST00000032347_90_90;ENSMUST00000117919_90_90;ENSMUST00000119610_90_90;ENSMUST00000149100_90_90;ENSMUST00000203003_90_90
ENSCAFT00000020388_90_90;1.0;0.5;1.0;1.0;1.0;1.0;1.0;0.0;1.0;1.0;1.0;1.0;1.0;0.0
ENSCAFT00000043901_90_90;0.5;1.0;1.0;1.0;1.0;1.0;1.0;0.0;1.0;1.0;1.0;1.0;1.0;0.0
ENST00000256953_90_90;1.0;1.0;1.0;0.389;1.0;0.737;1.0;0.684;0.722;0.455;0.455;0.455;0.727;0.182
ENST00000393736_90_90;1.0;1.0;0.389;1.0;0.389;0.467;0.389;0.235;0.176;0.286;0.286;0.286;0.5;0.0
ENST00000536465_90_90;1.0;1.0;1.0;0.389;1.0;0.737;1.0;0.684;0.722;0.455;0.455;0.455;0.727;0.182
ENST00000537647_90_90;1.0;1.0;0.737;0.467;0.737;1.0;0.737;0.611;0.474;0.182;0.182;0.182;1.0;0.0
ENST00000538313_90_90;1.0;1.0;1.0;0.389;1.0;0.737;1.0;0.684;0.722;0.455;0.455;0.455;0.727;0.182
ENST00000545567_90_90;0.0;0.0;0.684;0.235;0.684;0.611;0.684;1.0;0.421;0.091;0.091;0.091;0.667;0.125
ENST00000546331_90_90;1.0;1.0;0.722;0.176;0.722;0.474;0.722;0.421;1.0;0.625;0.625;0.625;0.455;0.25
ENSMUST00000032347_90_90;1.0;1.0;0.455;0.286;0.455;0.182;0.455;0.091;0.625;1.0;1.0;0.889;0.188;0.333
ENSMUST00000117919_90_90;1.0;1.0;0.455;0.286;0.455;0.182;0.455;0.091;0.625;1.0;1.0;0.889;0.188;0.333
ENSMUST00000119610_90_90;1.0;1.0;0.455;0.286;0.455;0.182;0.455;0.091;0.625;0.889;0.889;1.0;0.2;0.375
ENSMUST00000149100_90_90;1.0;1.0;0.727;0.5;0.727;1.0;0.727;0.667;0.455;0.188;0.188;0.2;1.0;0.0
ENSMUST00000203003_90_90;0.0;0.0;0.182;0.0;0.182;0.0;0.182;0.125;0.25;0.333;0.333;0.375;0.0;1.0
