;transcript7_ENSMPUG00000020072;transcript7_ENSSTOG00000019743;transcript7_ENSCCNG00000000226;transcript7_ENSCPOG00000024843;transcript10_ENSMPUG00000020072;transcript10_ENSECAG00000007947;transcript17_ENSMPUG00000020072;transcript17_ENSECAG00000007947;transcript17_ENSSTOG00000019743;transcript17_ENSCPOG00000024843;transcript20_ENSMPUG00000020072;transcript22_ENSMPUG00000020072;transcript22_ENSMLUG00000027828;transcript23_ENSMPUG00000020072;transcript24_ENSMPUG00000020072;transcript24_ENSCCNG00000000226;transcript24_ENSCPOG00000024843;transcript25_ENSMPUG00000020072;transcript12_ENSECAG00000007947;transcript9_ENSMLUG00000027828;transcript9_ENSSTOG00000019743;transcript9_ENSCCNG00000000226;transcript9_ENSCPOG00000024843;transcript13_ENSMLUG00000027828;transcript14_ENSMLUG00000027828;transcript26_ENSSTOG00000019743;transcript26_ENSCCNG00000000226;transcript18_ENSCCNG00000000226;transcript18_ENSCPOG00000024843;transcript32_ENSCPOG00000024843;transcript33_ENSCPOG00000024843
transcript7_ENSMPUG00000020072;1.0;0.7;0.766;0.882;0.511;0.429;0.513;0.43;0.385;0.445;0.513;0.414;0.317;0.545;0.393;0.329;0.341;0.52;0.43;0.079;0.061;0.075;0.088;0.403;0.423;0.413;0.45;0.544;0.594;0.37;0.445
transcript7_ENSSTOG00000019743;0.7;1.0;0.715;0.811;0.379;0.387;0.38;0.388;0.499;0.41;0.38;0.321;0.293;0.402;0.287;0.313;0.324;0.385;0.388;0.066;0.082;0.071;0.08;0.374;0.392;0.539;0.418;0.506;0.546;0.339;0.41
transcript7_ENSCCNG00000000226;0.766;0.715;1.0;0.87;0.414;0.425;0.415;0.426;0.39;0.439;0.415;0.35;0.32;0.44;0.334;0.418;0.365;0.42;0.426;0.071;0.067;0.086;0.084;0.403;0.423;0.419;0.555;0.682;0.586;0.367;0.439
transcript7_ENSCPOG00000024843;0.882;0.811;0.87;1.0;0.479;0.487;0.48;0.488;0.447;0.505;0.48;0.386;0.35;0.508;0.368;0.388;0.401;0.486;0.488;0.078;0.067;0.075;0.09;0.464;0.487;0.479;0.513;0.619;0.674;0.403;0.505
transcript10_ENSMPUG00000020072;0.511;0.379;0.414;0.479;1.0;0.758;0.998;0.756;0.705;0.871;0.998;0.79;0.593;0.938;0.872;0.658;0.761;0.984;0.756;0.043;0.034;0.041;0.048;0.754;0.72;0.663;0.706;0.574;0.674;0.715;0.871
transcript10_ENSECAG00000007947;0.429;0.387;0.425;0.487;0.758;1.0;0.756;0.998;0.707;0.873;0.756;0.622;0.598;0.714;0.679;0.698;0.799;0.743;0.998;0.043;0.036;0.041;0.05;0.766;0.732;0.665;0.708;0.6;0.686;0.71;0.873
transcript17_ENSMPUG00000020072;0.513;0.38;0.415;0.48;0.998;0.756;1.0;0.757;0.703;0.869;1.0;0.792;0.594;0.941;0.874;0.656;0.759;0.986;0.757;0.041;0.032;0.039;0.045;0.755;0.718;0.661;0.704;0.572;0.671;0.713;0.869
transcript17_ENSECAG00000007947;0.43;0.388;0.426;0.488;0.756;0.998;0.757;1.0;0.705;0.871;0.757;0.623;0.599;0.715;0.68;0.695;0.797;0.745;1.0;0.041;0.034;0.039;0.048;0.768;0.73;0.663;0.706;0.597;0.684;0.708;0.871
transcript17_ENSSTOG00000019743;0.385;0.499;0.39;0.447;0.705;0.707;0.703;0.705;1.0;0.821;0.703;0.578;0.553;0.668;0.622;0.641;0.743;0.691;0.705;0.036;0.044;0.038;0.043;0.717;0.69;0.925;0.665;0.548;0.636;0.664;0.821
transcript17_ENSCPOG00000024843;0.445;0.41;0.439;0.505;0.871;0.873;0.869;0.871;0.821;1.0;0.869;0.688;0.652;0.817;0.759;0.767;0.891;0.857;0.871;0.042;0.036;0.04;0.048;0.869;0.825;0.759;0.791;0.644;0.75;0.783;1.0
transcript20_ENSMPUG00000020072;0.513;0.38;0.415;0.48;0.998;0.756;1.0;0.757;0.703;0.869;1.0;0.792;0.594;0.941;0.874;0.656;0.759;0.986;0.757;0.041;0.032;0.039;0.045;0.755;0.718;0.661;0.704;0.572;0.671;0.713;0.869
transcript22_ENSMPUG00000020072;0.414;0.321;0.35;0.386;0.79;0.622;0.792;0.623;0.578;0.688;0.792;1.0;0.733;0.732;0.666;0.531;0.579;0.778;0.623;0.052;0.04;0.049;0.057;0.572;0.534;0.533;0.58;0.441;0.485;0.878;0.688
transcript22_ENSMLUG00000027828;0.317;0.293;0.32;0.35;0.593;0.598;0.594;0.599;0.553;0.652;0.594;0.733;1.0;0.559;0.514;0.529;0.577;0.585;0.599;0.061;0.042;0.048;0.06;0.751;0.696;0.488;0.525;0.424;0.463;0.832;0.652
transcript23_ENSMPUG00000020072;0.545;0.402;0.44;0.508;0.938;0.714;0.941;0.715;0.668;0.817;0.941;0.732;0.559;1.0;0.815;0.613;0.708;0.927;0.715;0.043;0.034;0.041;0.048;0.724;0.757;0.625;0.661;0.528;0.618;0.66;0.817
transcript24_ENSMPUG00000020072;0.393;0.287;0.334;0.368;0.872;0.679;0.874;0.68;0.622;0.759;0.874;0.666;0.514;0.815;1.0;0.738;0.853;0.86;0.68;0.047;0.036;0.044;0.052;0.682;0.643;0.579;0.628;0.493;0.559;0.6;0.759
transcript24_ENSCCNG00000000226;0.329;0.313;0.418;0.388;0.658;0.698;0.656;0.695;0.641;0.767;0.656;0.531;0.529;0.613;0.738;1.0;0.862;0.647;0.695;0.044;0.041;0.052;0.051;0.69;0.652;0.597;0.823;0.651;0.58;0.615;0.767
transcript24_ENSCPOG00000024843;0.341;0.324;0.365;0.401;0.761;0.799;0.759;0.797;0.743;0.891;0.759;0.579;0.577;0.708;0.853;0.862;1.0;0.748;0.797;0.047;0.04;0.045;0.054;0.799;0.754;0.68;0.72;0.569;0.64;0.674;0.891
