;ENSCAFT00000003676_90_90;ENST00000242066_90_90;ENST00000399357_90_90;ENST00000403527_90_90;ENST00000403685_90_90;ENST00000405192_90_90;ENST00000405218_90_90;ENST00000405358_90_90;ENST00000420159_90_90;ENST00000421381_90_90;ENST00000430479_90_90;ENST00000431887_90_90;ENST00000433547_90_90;ENST00000438956_90_90;ENST00000443137_90_90;ENST00000443608_90_90;ENSMUST00000095767_90_90;ENSMUST00000159334_90_90;ENSMUST00000160244_90_90;ENSMUST00000160701_90_90;ENSMUST00000160856_90_90;ENSMUST00000160996_90_90;ENSMUST00000161164_90_90;ENSMUST00000161513_90_90;ENSMUST00000161980_90_90;ENSMUST00000162563_90_90
ENSCAFT00000003676_90_90;1.0;0.925;0.704;0.826;0.925;0.892;0.972;0.928;0.778;0.324;0.972;0.239;0.076;0.614;0.807;0.355;1.0;0.853;0.92;0.732;0.953;0.491;0.076;0.451;0.807;1.0
ENST00000242066_90_90;0.925;1.0;0.653;0.77;1.0;0.873;0.953;0.82;0.805;0.277;0.953;0.192;0.081;0.641;0.704;0.293;0.925;0.743;0.846;0.627;0.97;0.532;0.084;0.381;0.776;0.925
ENST00000399357_90_90;0.704;0.653;1.0;0.865;0.653;0.622;0.698;0.655;0.814;0.154;0.698;0.1;0.0;0.633;0.477;0.517;0.671;0.834;0.595;0.964;0.627;0.218;0.0;0.212;0.782;0.671
ENST00000403527_90_90;0.826;0.77;0.865;1.0;0.77;0.738;0.814;0.764;0.948;0.168;0.814;0.087;0.0;0.768;0.585;0.448;0.787;0.968;0.712;0.834;0.743;0.337;0.0;0.327;0.916;0.787
ENST00000403685_90_90;0.925;1.0;0.653;0.77;1.0;0.873;0.953;0.82;0.805;0.277;0.953;0.192;0.081;0.641;0.704;0.293;0.925;0.743;0.846;0.627;0.97;0.532;0.084;0.381;0.776;0.925
ENST00000405192_90_90;0.892;0.873;0.622;0.738;0.873;1.0;0.92;0.791;0.694;0.355;0.92;0.261;0.084;0.536;0.673;0.316;0.892;0.712;0.968;0.595;0.846;0.553;0.088;0.461;0.667;0.892
ENST00000405218_90_90;0.972;0.953;0.698;0.814;0.953;0.92;1.0;0.862;0.77;0.324;1.0;0.239;0.076;0.612;0.747;0.338;0.972;0.787;0.892;0.671;0.925;0.506;0.08;0.425;0.743;0.972
ENST00000405358_90_90;0.928;0.82;0.655;0.764;0.82;0.791;0.862;1.0;0.724;0.249;0.862;0.174;0.029;0.572;0.639;0.316;0.857;0.758;0.784;0.646;0.815;0.423;0.032;0.528;0.716;0.857
ENST00000420159_90_90;0.778;0.805;0.814;0.948;0.805;0.694;0.77;0.724;1.0;0.124;0.77;0.043;0.0;0.81;0.543;0.396;0.743;0.916;0.667;0.782;0.776;0.353;0.0;0.282;0.966;0.743
ENST00000421381_90_90;0.324;0.277;0.154;0.168;0.277;0.355;0.324;0.249;0.124;1.0;0.324;0.744;0.224;0.145;0.362;0.256;0.324;0.168;0.355;0.154;0.277;0.511;0.224;0.477;0.124;0.324
ENST00000430479_90_90;0.972;0.953;0.698;0.814;0.953;0.92;1.0;0.862;0.77;0.324;1.0;0.239;0.076;0.612;0.747;0.338;0.972;0.787;0.892;0.671;0.925;0.506;0.08;0.425;0.743;0.972
ENST00000431887_90_90;0.239;0.192;0.1;0.087;0.192;0.261;0.239;0.174;0.043;0.744;0.239;1.0;0.305;0.051;0.269;0.166;0.239;0.087;0.261;0.1;0.192;0.356;0.305;0.334;0.043;0.239
ENST00000433547_90_90;0.076;0.081;0.0;0.0;0.081;0.084;0.076;0.029;0.0;0.224;0.076;0.305;1.0;0.0;0.083;0.0;0.076;0.0;0.084;0.0;0.081;0.154;1.0;0.055;0.0;0.076
ENST00000438956_90_90;0.614;0.641;0.633;0.768;0.641;0.536;0.612;0.572;0.81;0.145;0.612;0.051;0.0;1.0;0.644;0.487;0.585;0.736;0.509;0.601;0.613;0.431;0.0;0.342;0.777;0.585
ENST00000443137_90_90;0.807;0.704;0.477;0.585;0.704;0.673;0.747;0.639;0.543;0.362;0.747;0.269;0.083;0.644;1.0;0.381;0.807;0.629;0.727;0.513;0.76;0.614;0.091;0.511;0.585;0.807
ENST00000443608_90_90;0.355;0.293;0.517;0.448;0.293;0.316;0.338;0.316;0.396;0.256;0.338;0.166;0.0;0.487;0.381;1.0;0.338;0.448;0.316;0.517;0.293;0.334;0.0;0.319;0.396;0.338
ENSMUST00000095767_90_90;1.0;0.925;0.671;0.787;0.925;0.892;0.972;0.857;0.743;0.324;0.972;0.239;0.076;0.585;0.807;0.338;1.0;0.814;0.92;0.698;0.953;0.491;0.076;0.405;0.77;1.0
ENSMUST00000159334_90_90;0.853;0.743;0.834;0.968;0.743;0.712;0.787;0.758;0.916;0.168;0.787;0.087;0.0;0.736;0.629;0.448;0.814;1.0;0.738;0.865;0.77;0.329;0.0;0.311;0.948;0.814
ENSMUST00000160244_90_90;0.92;0.846;0.595;0.712;0.846;0.968;0.892;0.784;0.667;0.355;0.892;0.261;0.084;0.509;0.727;0.316;0.92;0.738;1.0;0.622;0.873;0.534;0.084;0.435;0.694;0.92
ENSMUST00000160701_90_90;0.732;0.627;0.964;0.834;0.627;0.595;0.671;0.646;0.782;0.154;0.671;0.1;0.0;0.601;0.513;0.517;0.698;0.865;0.622;1.0;0.653;0.212;0.0;0.202;0.814;0.698
ENSMUST00000160856_90_90;0.953;0.97;0.627;0.743;0.97;0.846;0.925;0.815;0.776;0.277;0.925;0.192;0.081;0.613;0.76;0.293;0.953;0.77;0.873;0.653;1.0;0.515;0.081;0.364;0.805;0.953
ENSMUST00000160996_90_90;0.491;0.532;0.218;0.337;0.532;0.553;0.506;0.423;0.353;0.511;0.506;0.356;0.154;0.431;0.614;0.334;0.491;0.329;0.534;0.212;0.515;1.0;0.154;0.627;0.344;0.491
ENSMUST00000161164_90_90;0.076;0.084;0.0;0.0;0.084;0.088;0.08;0.032;0.0;0.224;0.08;0.305;1.0;0.0;0.091;0.0;0.076;0.0;0.084;0.0;0.081;0.154;1.0;0.051;0.0;0.076
ENSMUST00000161513_90_90;0.451;0.381;0.212;0.327;0.381;0.461;0.425;0.528;0.282;0.477;0.425;0.334;0.055;0.342;0.511;0.319;0.405;0.311;0.435;0.202;0.364;0.627;0.051;1.0;0.269;0.405
ENSMUST00000161980_90_90;0.807;0.776;0.782;0.916;0.776;0.667;0.743;0.716;0.966;0.124;0.743;0.043;0.0;0.777;0.585;0.396;0.77;0.948;0.694;0.814;0.805;0.344;0.0;0.269;1.0;0.77
ENSMUST00000162563_90_90;1.0;0.925;0.671;0.787;0.925;0.892;0.972;0.857;0.743;0.324;0.972;0.239;0.076;0.585;0.807;0.338;1.0;0.814;0.92;0.698;0.953;0.491;0.076;0.405;0.77;1.0
